keys,hu
Text/69/text,Beszélhetünk? Valahol privátban? [color=YELLOW]Túl sok szem és fül van itt.[/color]
Text/6a/text,"Találkozzunk a régi raktárépületnél a műszakod után. Van valami, amit látnod kell."
Text/6b/text,"Összemelegedsz a munkatársakkal? Ne feledd, a barátságosság... [color=DARK_ORANGE]ítélőképesség romlásához[/color] vezethet."
Text/6c/text,Információkat gyűjtöttem az elutasított burgonyákról. [wave amp=20 freq=3][color=CRIMSON]Nem deportálási központokba kerülnek.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]Root Reserve feldolgozó létesítményekbe kerülnek.[/color][/tornado] Minden egyes darab.
Text/6e/text,"Ezek a dokumentumok azt mutatják, hogy burgonyát rakodnak ki egy [color=DARK_VIOLET]Root Reserve[/color] logóval jelölt létesítményben."
Text/6f/text,"Azt hiszem, tudom, mi történik. [pulse freq=3][color=CRIMSON]Root Reserve-vé válnak.[/color][/pulse]"
Choice/70/text,Ez őrültség. Ők... burgonyát dolgoznak fel élelmiszerré?
Choice/71/text,"Több bizonyítékra van szükségünk, mielőtt vádaskodnánk."
Text/72/text,[color=CRIMSON]Kannibalizmus extra lépésekkel.[/color] Ez a [wave amp=25 freq=3][color=DARK_VIOLET]Root Reserve[/color][/wave]. És mi segítettünk kiválasztani az összetevőiket.
Text/73/text,"Hónapok óta gyűjtöm a bizonyítékokat. Tartsd nyitva a szemed. Meg fogod látni, hogy igazam van."
Text/74/text,Egy távoli riasztó hirtelen megszólal
Text/75/text,"Mennünk kell. Ilyenkor biztonsági ellenőrzéseket tartanak. Gondolkodj azon, amit mutattam neked."
Text/76/text,"Sasha a kezedbe nyomja a mappát. ""[color=YELLOW]Tartsd biztonságban. És ne bízz senkiben.[/color]"""
Text/77/text,Elrejted a mappát a kabátodban. [color=DARK_VIOLET]Root Reserve[/color]. Az elutasítások. Az eltűnt burgonyák. Minden [tornado radius=3 freq=2][color=CRIMSON]borzalmas módon[/color][/tornado] összekapcsolódik.
Choice/71/disabled_text,
Choice/70/disabled_text,
Text/69_photo1/text,Újra előveszed a fényképet. [color=GOLD]Maris Piper[/color]. Olyan kedves arc.
Text/69_photo2/text,A felesége annyira kétségbeesett volt. [color=STEEL_BLUE]Mi történt vele?[/color]
Text/69_photo3/text,Észreveszel valamit a fénykép hátterében – egy teherautót egy [color=DARK_VIOLET]lila logóval[/color].
Text/69_photo4/text,Az a jelkép... láttad már a kantin szállítmányain. [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve.[/color][/wave]
Text/6a_photo1/text,Sasha... ez a fénykép. A nő felesége adta nekem. Őt kereste.
Text/6a_photo2/text,Sasha arca elkomorul. [color=STEEL_BLUE]Hadd lássam.[/color]
Text/6a_photo3/text,"Sasha tanulmányozza a fényképet, arckifejezése elkomorul. [color=CRIMSON]Felismerem azt a teherautót.[/color]"
Text/6a_photo4/text,[pulse freq=2][color=YELLOW]Tartsd biztonságban ezt a fényképet.[/color][/pulse] Később fontos lehet. Bízz bennem.
Text/6f2/text,[pulse freq=3][color=CRIMSON]Root Reserve-vé válnak.[/color][/pulse]
