keys,tr
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - YAMA NOTLARI
patch_1_2_0_personal_note_header,GELİŞTİRİCİDEN KİŞİSEL BİR NOT
patch_1_2_0_personal_note,"Bu güncelleme, hayatının ilk aylarını YBÜ'de geçiren küçük çocuğuma adanmıştır - doğumda 1 libre iken şimdi 20 libre saf neşe oldu. Bu yolculuğa katılan herkese teşekkür ederim - 2.000'den fazla oyuncu Spud Customs'ı deneyimledi!"
patch_1_2_0_visual_header,GÖRSEL İYİLEŞTİRMELER
patch_1_2_0_visual_1,Animasyonlu Sanat Entegrasyonu: StagNation'dan yeni animasyonlu GIF'ler açılış sahnelerine entegre edildi.
patch_1_2_0_visual_2,Sanat Yenilemesi: Görsel kaliteyi artırmak için oyuncuların gördüğü ilk beş sahne yeniden çizildi.
patch_1_2_0_visual_3,Dinamik Arka Planlar: Zorluk arttıkça arka plan görselleri artık değişiyor.
patch_1_2_0_story_header,HİKAYE VE ANLATIM
patch_1_2_0_story_1,Seçim Kalıcılığı: Anlatı seçimleri artık tüm seviyelerde doğru şekilde devam ediyor.
patch_1_2_0_story_2,Görsel İlerleme: Mevcut vardiya numarasına göre ana oynanış sahnelerine hikaye ilerlemesinin görsel göstergeleri eklendi.
patch_1_2_0_story_3,Dallanan Diyalog Düzeltmeleri: Son anlatı sahnelerindeki dallanan diyalog sorunları düzeltildi.
patch_1_2_0_bugfix_header,HATA DÜZELTMELERİ
patch_1_2_0_bugfix_1,Başarım Sistemi: Başarım takibi düzeltildi - tüm başarımlar artık doğru şekilde açılıyor.
patch_1_2_0_bugfix_2,Liderlik Tablosu: Liderlik tablosunun yüklenmede takılı kalma sorunu düzeltildi.
patch_1_2_0_bugfix_3,Ekran Sarsıntısı: Ekran sarsıntısı artık her kullanımdan sonra başlangıç konumuna doğru şekilde sıfırlanıyor.
patch_1_2_0_bugfix_4,Zorluk Ölçeklendirmesi: Kolay mod ölçeklendirme faktörü düzeltildi.
patch_1_2_0_bugfix_5,Arka Plan Görüntüleme: Diyalog sahneleri sırasında eksik arka planlar düzeltildi.
patch_1_2_0_bugfix_6,Metin Okunabilirliği: Daha iyi okunabilirlik için metin renklendirmesi iyileştirildi.
patch_1_2_0_engagement_header,OYUNCU ETKİLEŞİMİ
patch_1_2_0_engagement_1,İnceleme İstekleri: Demo ve tam oyun oyuncuları için inceleme istemleri eklendi.
patch_1_2_0_engagement_2,Çeviri Düzeltmeleri: Desteklenen dillerde çeşitli çeviri iyileştirmeleri yapıldı.
patch_1_2_0_technical_header,TEKNİK İYİLEŞTİRMELER
patch_1_2_0_technical_1,Genişletilmiş Dil Desteği: Artık Steam tarafından desteklenen 31 dilin tamamı destekleniyor.
patch_1_2_0_technical_2,Çeviri Sistemi Yenilemesi: Daha iyi sürdürülebilirlik için çeviri dosyaları yeniden düzenlendi.
