keys,no
LAWS,LOVER
_VALIDATION MESSAGES,
msg_not_fresh,"Potetene var %s, men må være fersk"
msg_extra_eyes,"Poteten hadde Ekstra Øyne, noe som er forbudt"
msg_rotten,Råtne poteter er ikke tillatt
msg_sprouted,Spiredde poteter er ikke tillatt
msg_dehydrated,Tørkede poteter er ikke tillatt i dag
msg_frozen,Frosne poteter er forbudt
msg_over_age,Poteten er %d år gammel (maks 5 år)
msg_under_age,Poteten er %d år gammel (må være over 3 år)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]BARE ferske[/color] poteter tillatt - [color=dark_red]AVVIS[/color] alle andre
law_extra_eyes,[color=dark_goldenrod]Ekstra Øyne[/color] tilstand poteter må [color=dark_red]AVVISES[/color]
law_rotten,[color=dark_goldenrod]Råtne[/color] poteter må [color=dark_red]AVVISES[/color]
law_sprouted,[color=dark_goldenrod]Spirte[/color] poteter må [color=dark_red]AVVISES[/color]
law_dehydrated,[color=dark_goldenrod]Dehydrerte[/color] poteter må [color=dark_red]AVVISES[/color]
law_frozen,[color=dark_goldenrod]Frosne[/color] poteter må [color=dark_red]AVVISES[/color]
law_over_5_years,Poteter [color=dark_goldenrod]5 år eller eldre[/color] må [color=dark_red]AVVISES[/color]
law_under_3_years,Poteter [color=dark_goldenrod]3 år eller yngre[/color] må [color=dark_red]AVVISES[/color]
law_under_2_years,Poteter [color=dark_goldenrod]2 år eller yngre[/color] må [color=dark_red]AVVISES[/color]
law_males_only,[color=dark_goldenrod]BARE mannlige[/color] poteter tillatt - [color=dark_red]AVVIS[/color] alle kvinnelige
law_females_only,[color=dark_goldenrod]BARE kvinnelige[/color] poteter tillatt - [color=dark_red]AVVIS[/color] alle mannlige
law_country_spudland,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Spudland[/color] må [color=dark_red]AVVISES[/color]
law_country_potatopia,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Potatopia[/color] må [color=dark_red]AVVISES[/color]
law_country_tuberstan,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Tuberstan[/color] må [color=dark_red]AVVISES[/color]
law_country_north_yamnea,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Nord-Yamnea[/color] må [color=dark_red]AVVISES[/color]
law_country_spuddington,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Spuddington[/color] må [color=dark_red]AVVISES[/color]
law_country_tatcross,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Tatcross[/color] må [color=dark_red]AVVISES[/color]
law_country_mash_meadows,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Mash Meadows[/color] må [color=dark_red]AVVISES[/color]
law_country_tuberville,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Tuberville[/color] må [color=dark_red]AVVISES[/color]
law_country_chip_hill,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Chip Hill[/color] må [color=dark_red]AVVISES[/color] (eksportforbud)
law_country_murphyland,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Murphyland[/color] må [color=dark_red]AVVISES[/color]
law_country_colcannon,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Colcannon[/color] må [color=dark_red]AVVISES[/color]
law_country_pratie_point,[color=dark_goldenrod]ALLE[/color] poteter fra [color=dark_goldenrod]Pratie Point[/color] må [color=dark_red]AVVISES[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] potet typer må [color=dark_red]AVVISES[/color]
law_sweet_potatoes,[color=dark_goldenrod]Søtpotet[/color] typer må [color=dark_red]AVVISES[/color] (ingen tillatelser tilgjengelig)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] potet typer må [color=dark_red]AVVISES[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] potet typer må [color=dark_red]AVVISES[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] potet typer må [color=dark_red]AVVISES[/color]
law_russet,[color=dark_goldenrod]Russet[/color] potet typer må [color=dark_red]AVVISES[/color]
