keys,bg
Text/102/text,"Добре, че дойде. Съпротивата [color=CHARTREUSE]нараства[/color]. Благодарение на тези манифести, хората виждат истината."
Text/102_foreshadow1/text,"[color=STEEL_BLUE]Саша нервно поглежда през рамо.[/color] Съжалявам, аз... [color=YELLOW]Мисля, че ме наблюдават.[/color]"
Text/102_foreshadow2/text,Ръсет задава въпроси. Следва ме след смените. [wave amp=15 freq=2][color=YELLOW]Трябва да съм по-внимателна.[/color][/wave]
Text/102_foreshadow3/text,"Саша, може би трябва да се прикриеш за известно време. Нека аз поема повече от риска."
Text/102_foreshadow4/text,"[color=STEEL_BLUE]Тя поклаща глава, насилвайки усмивка.[/color] Не. Сега сме твърде близо. Мога да се справя с Ръсет."
Text/102_foreshadow5/text,"Освен това... [color=CHARTREUSE]някой трябва да ви пази вас, кълновете, от неприятности.[/color]"
Text/103/text,"Успях да се сдобия с това досие от наши източници – производствени графици, списъци с '[color=CRIMSON]съставки[/color]', имена на [color=DARK_SLATE_BLUE]изчезналите[/color]."
Text/104/text,Това не е просто програма за хранителни добавки. Те [color=CRIMSON]обработват картофи[/color]... и то не по добър начин.
Text/105/text,"Вътрешни доклади от самия министър-председател Айдахо, разрешаващи '[color=DARK_ORANGE]използването на отхвърлени активи[/color].'"
Text/106/text,"Квоти за всеки контролно-пропускателен пункт, като Spud Customs има най-високо съотношение отхвърляне към обработка."
Text/106_trucks1/text,Но все още не знаем къде е основното преработвателно съоръжение. Документите изброяват само кодове за пратки.
Text/106_trucks2/text,Наблюдавам камионите на [color=DARK_VIOLET]Root Reserve[/color]. Тръгват всяка нощ в 03:00. По същия маршрут.
Text/106_trucks3/text,[color=CHARTREUSE]Ако можехме да ги проследим...[/color] щяхме да знаем точно къде водят отхвърлените.
Choice/106_trucks4/text,Аз ще го направя. Знам графиците на патрулите.
Choice/106_trucks5/text,Това звучи рисковано. Не може ли някой друг да го направи?
Text/106_trucks6/text,"[color=CHARTREUSE]Очите на Саша светват.[/color] Знаех, че имаш корени от стомана. Внимавай – патрулират усилено през нощта."
Text/106_trucks7/text,"03:00 часа. Приклякаш в сенките, докато камионите на [color=DARK_VIOLET]Root Reserve[/color] преминават с грохот."
Text/106_trucks8/text,[pulse freq=2][color=YELLOW]Остани скрит! Следвай конвоя![/color][/pulse]
Text/106_trucks9/text,"Камионите спират пред масивен комплекс, скрит в индустриалния квартал. [color=DARK_VIOLET]Сектор 7, Складов комплекс Делта.[/color]"
Text/106_trucks10/text,Комини бълват дим с лилав оттенък. Миризмата е... [tornado radius=3 freq=2][color=CRIMSON]безпогрешна.[/color][/tornado]
Text/106_trucks11/text,[wave amp=20 freq=3][color=CHARTREUSE]Сърцето на Root Reserve.[/color][/wave]
Text/106_trucks12/text,[color=STEEL_BLUE]Изражението на Саша трепва от разочарование.[/color] Всички трябва да поемаме рискове. Ще намеря друг начин.
Text/107/text,"Ситуацията навън се е влошила. Разгневени тълпи се събират на контролно-пропускателните пунктове, настоявайки за отговори относно Root Reserve."
Text/108/text,[color=YELLOW]ИЗВЪНРЕДНО СЪОБЩЕНИЕ[/color]: Неотдавнашното разпространение на [color=CRIMSON]фалшиви документи[/color] е причинило ненужна паника.
Text/109/text,"Предлага се награда от [color=GOLD]10 000 Spud кредита[/color] за информация, водеща до залавянето на тези саботьори."
Text/10a/text,Консумирането или разпространението на тази пропаганда вече се класифицира като [color=RED]държавна измяна[/color].
Text/10b/text,Днешната смяна ще работи по специални протоколи. Всеки пътуващ трябва да премине Оценка за лоялност.
Text/10c/text,"Тези, които демонстрират [color=CRIMSON]антиправителствени настроения[/color], трябва да бъдат докладвани незабавно."
Text/10d/text,[color=CRIMSON]Предателят сред нас[/color] ще бъде намерен. И когато това се случи... [color=DARK_ORANGE]Ръсет прави заплашителен жест по врата си.[/color]
Text/10e/text,"Приближава нервен картоф, [color=GOLD]значка с жълт лист[/color] е частично видима. Малка бележка е пъхната между документите: ""[color=CHARTREUSE]Явката е компрометирана. Ново местоположение: Склад 7, Сектор 4.[/color]"""
Choice/10f/text,"""Обработи ги бързо с UV маркировка"" (Помощ)"
Choice/110/text,"""Докладвай ги незабавно на охраната"" (Предателство)"
Text/111/text,"Лицето им се озарява от облекчение. ""Благодаря. Истината ще възтържествува."""
Text/112/text,"Ужас ги обзема, когато сигнализираш охраната. ""[wave amp=25 freq=3]Не, моля ви! Имам семейство![/wave]"" Жълтата им значка пада на пода."
Text/113/text,"""Браво. Вашата лоялност е отбелязана."""
Text/114/text,"""Решението ви беше забелязано. Бъдете готови. [tornado radius=3 freq=2][color=CHARTREUSE]Нещо голямо предстои[/color][/tornado]. Съпротивата планира пряко действие."""
Text/115/text,"""Когато това се случи, ще трябва да [color=YELLOW]изберете страна[/color]. Няма да има останало средно положение."""
Text/116/text,"С всеки картоф, който обработвате, вие или [pulse freq=2][color=CHARTREUSE]подпомагате революция[/color][/pulse], или [pulse freq=2][color=CRIMSON]поддържате ужасяваща система[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
Choice/106_trucks4/disabled_text,
Choice/106_trucks5/disabled_text,
