keys,bg
Text/56/text,Добре дошли в нацията Спъд. Земя на [pulse freq=2][color=MEDIUM_VIOLET_RED]просперитет за всички картофи[/color][/pulse].
Text/57/text,Избрани сте за [color=DARK_ORANGE]решаваща роля[/color] в защитата на нашите граници.
Text/59/text,"ЕТО! [color=MEDIUM_VIOLET_RED]Могъщата стена[/color], която пази нашата нация. Тук ще служите, гарантирайки, че само достойните влизат."
Text/5a/text,"А, новият кълн. Слушайте внимателно, вашата роля е [color=DARK_ORANGE]жизненоважна за сигурността на Спъд[/color]."
Text/184/text,Ръсет пристъпва неудобно близо. Виждал съм много кълнове да минават оттук. [color=STEEL_BLUE]Повечето не издържат.[/color]
Text/184b/text,"Тези, които задават твърде много въпроси? Биват [color=CRIMSON]преназначавани[/color]. Завинаги."
Text/5b/text,Назначавам ви за митнически служител на [pulse freq=1][color=MEDIUM_VIOLET_RED]славния Спъд[/color][/pulse]. Въпроси?
Choice/5c/text,"""Готов съм да служа на Спъд с цялото си нишесте!"""
Choice/5d/text,"""Какво точно се случва с отхвърлените картофи?"""
Text/5e/text,"Отлично! Това е ентусиазмът, от който се нуждаем. Може да спечелите похвала от [color=VIOLET]Кореновия резерв[/color]."
Text/5f/text,Те биват... [color=VIOLET]обработвани[/color]. Съгласно протокола. [color=VIOLET]Кореновият резерв[/color] се грижи за всички подробности.
Text/60/text,Съсредоточете се върху задълженията си. [color=DARK_ORANGE]Нищо повече.[/color]
Text/61/text,"Първата ви смяна започва сега. Проверявайте документите внимателно, отказвайте на тези, които не отговарят на нашите стандарти."
Text/62/text,"Изпълнявайте квотата си, избягвайте наказания."
Text/62b/text,"И помнете, [color=MEDIUM_VIOLET_RED]Слава на Спъд![/color]"
Choice/5c/disabled_text,
Choice/5d/disabled_text,
