keys,ru
Text/78/text,"Еще один день на КПП. Очередь из картофелин длиннее, чем когда-либо, все на взводе."
Text/79/text,"Новые приказы сверху. Мы [wave amp=15 freq=2][color=DARK_ORANGE]удваиваем отказы[/color][/wave]. Любая картофелина, признанная небезопасной, задерживается немедленно."
Text/7a/text,У меня особое поручение. У нас есть информация о [pulse freq=2][color=CRIMSON]нарушителях спокойствия[/color][/pulse]. Будьте бдительны при проверках.
Choice/7b/text,"""Есть, сэр, я вас не подведу."""
Choice/7c/text,"""О каких нарушителях спокойствия мы говорим?"""
Text/7d/text,"Хорошо. Я знал, что могу на вас рассчитывать. С таким отношением вы далеко пойдете."
Text/7e/text,"Те, что [color=CRIMSON]угрожают нашему образу жизни[/color]. Не задавайте слишком много вопросов, если вам дорога ваша шкура."
Text/7f/text,"[color=STEEL_BLUE]Пожалуйста, умоляю вас![/color] Моя жена — ее зовут [color=GOLD]Марис[/color] — должна была быть сразу за мной."
Text/7fb/text,"Она [tornado radius=2 freq=3]так и не прошла таможню[/tornado]. Сказали, что в ее документах было ""несоответствие""."
Text/80/text,"Никто не говорит мне, что с ней случилось. Пожалуйста, [color=CHARTREUSE]помогите мне найти ее![/color]"
Choice/81/text,"""Мне жаль, но я ничем не могу помочь."""
Choice/82/text,"""Позвольте мне выяснить, что я смогу. Ничего не обещаю."""
Text/83/text,"Как и все остальные... [color=STEEL_BLUE]Пусть ваша совесть будет так же тяжела, как и моя.[/color]"
Text/83b/text,"Отчаявшаяся картофелина отходит. Вы замечаете, как она смотрит на потертую фотографию, прежде чем исчезнуть."
Text/84/text,"Спасибо! Даже маленькая надежда лучше, чем ничего."
Text/84b/text,"Она вкладывает вам в руки [color=GOLD]потертую фотографию[/color]. Ее зовут [color=GOLD]Марис Пайпер[/color]. У нее добрые глаза. Пожалуйста, найдите ее."
Text/84c/text,Вы смотрите на фотографию. Молодая картофелина с нежными чертами и теплой улыбкой. [color=GOLD]Марис Пайпер[/color].
Text/84d/text,Куда она делась? Очередь на отказ ведет к... куда именно?
Text/85/text,Я видел этот обмен. [color=DARK_ORANGE]Сочувствие отказникам ведет только к неприятностям.[/color] Сосредоточьтесь на своем долге.
Choice/7b/disabled_text,
Choice/7c/disabled_text,
Choice/81/disabled_text,
Choice/82/disabled_text,
