keys,ja
dialogue_spud_being_called_1,次のイモよ、運命が待っている。
dialogue_spud_being_called_2,列の先頭のイモよ、真実の瞬間が迫る。
dialogue_spud_being_called_3,前へ、塊茎族の選ばれし者よ。
dialogue_spud_being_called_4,おめでとうございます！待機成功です。
dialogue_spud_being_called_5,偉大なるジャガイモ官僚機構があなたを召喚します。
dialogue_spud_being_called_6,前へ、崇高なるイモよ！書類が待つ！
dialogue_spud_being_called_7,進め！スタンプが苛立っているぞ。
dialogue_spud_being_called_8,急げ！P-38B様式への記入が求められている。
dialogue_spud_being_called_9,前へ、運命があなたの入国を求めている。
dialogue_spud_being_called_10,イモよ、裁きの窓口へ進め。
dialogue_spud_in_office_1,辛抱強くお待ちください。時間は幻想です。
dialogue_spud_in_office_2,待機は人格を育む。そしてデンプンも。
dialogue_spud_in_office_3,列の動きは謎めいている。
dialogue_spud_in_office_4,あなたの位置は当局によって記録されています。
dialogue_spud_in_office_5,列に並ぶこと、それは普遍の定数。
dialogue_spud_in_office_6,待機によって熟成されるまでは、どのイモも準備ができていない。
dialogue_spud_in_office_7,忍耐。唯一の美徳ではないが、リストには載っている。
dialogue_spud_in_office_8,官僚機構の歯車はゆっくりと回る。非常にゆっくりと。
dialogue_spud_in_office_9,ああ、手続きの甘美な響き！
dialogue_spud_in_office_10,今日の列は明日の逸話。
dialogue_spud_in_office_11,列の中の時間は歪む。測定済みだ。
dialogue_spud_in_office_12,待機スキル：レベル43達成！
dialogue_warnings_1,逆らう者は精密に皮を剥かれるだろう。
dialogue_warnings_2,列の割り込み者は急速処理に送られる。
dialogue_warnings_3,列の妨害は、列に関する講義を受けることになる。
dialogue_warnings_4,不服従は熱油室行きです。
dialogue_warnings_5,公平さは不要。必要なのは秩序のみ。
dialogue_warnings_6,芋類順守委員会は全てを見通している。
dialogue_warnings_7,問題児はバターなしのマッシュポテト行き。
dialogue_warnings_8,混沌を招く者は、速やかにハッシュブラウンとなる。
dialogue_warnings_9,規則違反者は「二度焼き」の運命に直面する。
dialogue_warnings_10,待機列監査官があなたの存在に目をつけた。
dialogue_warnings_11,あなたのファイルには「赤の判子」が押された。
dialogue_misc_1,皆はどこに？
dialogue_misc_2,緊急事態？順番通りに待機を継続せよ。
dialogue_misc_3,待機協定の第七項を読んだか？
dialogue_misc_4,遺失物：発見され、課税され、紛失。
dialogue_misc_5,芋が不平を言っても、音はするか？
dialogue_misc_6,光は「更なるトンネル」の看板に置き換えられた。
dialogue_misc_7,死は一時的。官僚主義は永遠なり。
dialogue_misc_8,ファイリングシステムが知性を獲得した。落ち着け。
dialogue_misc_9,今日のラッキーナンバーに意味はない。残念。
dialogue_misc_10,黙示録？番号を取り、消滅を待て。
dialogue_misc_11,証拠がない場合、更なる書類が必要となる。
dialogue_document_interaction_1,書類をお取りください。
dialogue_document_interaction_2,受け取れ！
