keys,de
Text/240/text,"Während der Abenddienst zu Ende geht, sind die meisten Beamten gegangen. Nur Sie und eine Handvoll Wachen sind noch da."
Text/241/text,Ein kräftiger Wächter nähert sich Ihrem Posten. Mein Name ist Viktor. Ich habe Nachtwache.
Text/242/text,"Seine Augen sind müde, gezeichnet. Sie sind der/die Neue, richtig? Der/Die, den/die Russet ständig beobachtet?"
Choice/243/text,"Ich versuche nur, meine Arbeit zu machen. Warum beobachtet Russet mich?"
Choice/244/text,"Gibt es etwas, das ich wissen sollte?"
Text/245/text,"Er zuckt schwerfällig mit den Schultern. Russet beobachtet jeden, der Fragen stellt. Meine [color=STEEL_BLUE]Frau stellte einmal Fragen[/color]."
Text/246/text,"Sie ist nicht mehr da, um Fragen zu stellen."
Text/247/text,"Er blickt sich um und senkt dann die Stimme. Seien Sie einfach... vorsichtig, wem Sie vertrauen."
Text/248/text,"Und wen Sie [color=CRIMSON]verurteilen[/color]. Einige von uns erinnern sich an jedes Gesicht, das wir zur Verarbeitung geschickt haben."
Text/249/text,"Eine nervöse Kartoffel nähert sich. Die Papiere scheinen in Ordnung zu sein, aber Sie bemerken die [color=CHARTREUSE]dezente Blattnadel[/color] an ihrem Kragen."
Text/24a/text,"Sie schieben ihre Dokumente herüber. Eine kleine Notiz steckt darin: ""[color=CHARTREUSE]Sasha hat mich geschickt. Paket für das Netzwerk. Bitte.[/color]"""
Text/24b/text,Der neue [color=DARK_ORANGE]RealityScan[/color] blinkt bereit an Ihrem Posten. Ein Scan und er wird gefälschte Elemente in ihren Papieren erkennen.
Choice/24c/text,"Tun Sie so, als ob der Scanner eine Fehlfunktion hätte und winken Sie sie durch"
Choice/24d/text,Benutzen Sie den Scanner wie vorgeschrieben – Sie können keine Entlarvung riskieren
Choice/24e/text,"Geben Sie Viktor ein Zeichen, wegzusehen, dann lassen Sie sie passieren"
Text/24f/text,"Sie tippen auf den Scanner, runzeln die Stirn, tippen erneut darauf. ""Das verdammte Ding spielt verrückt. Gehen Sie durch."""
Text/250/text,"Erleichterung überflutet ihr Gesicht. Sie formen stumm ""[color=CHARTREUSE]Danke[/color]"" mit den Lippen und eilen vorbei."
Text/251/text,"Sie fangen seinen Blick und nicken in Richtung des Agenten. Er sieht sie an, dann Sie."
Text/252/text,"Er dreht sich absichtlich um und betrachtet die Wand. ""[color=STEEL_BLUE]Der Scanner spinnt schon den ganzen Tag.[/color]"""
Text/253/text,"Der Agent schlüpft durch. Viktor sagt nichts, aber Sie haben jetzt ein Geheimnis geteilt."
Text/254/text,"Sie führen den Scan durch. Die Maschine [color=RED]schrillt[/color]. ""Gefälschte Dokumente erkannt."""
Text/255/text,"Entsetzen überkommt ihr Gesicht. ""[color=CRIMSON]Sie verstehen nicht, was Sie getan haben...[/color]"""
Text/256/text,"Er und andere Wachen rücken näher. Der Agent wird weggezerrt, Sie immer noch anstarrend."
Text/257/text,Sasha fängt Sie in den Schatten ab. Dieser Agent trug [color=CHARTREUSE]Kopien der Manifeste[/color] zu unseren Kontakten draußen.
Text/258/text,Wegen Ihnen wird sich die Wahrheit über Spuds Grenzen hinaus verbreiten. [color=CHARTREUSE]Sie haben wirklich etwas bewirkt.[/color]
Text/259/text,Sashas Augen weiten sich. Viktor hat geholfen? Ich hatte so ein Gefühl bei ihm. Seine Frau war...
Text/25a/text,"Sie verstummt. Wir haben mehr Verbündete, als ich dachte."
Text/25b/text,"Sasha findet dich, ihr Ausdruck ist kalt. Dieser Agent hatte eine Familie. Drei Sprossen zu Hause."
Text/25c/text,Ich verstehe Angst. Aber [color=CRIMSON]Angst hat Konsequenzen[/color]. Sie werden bis zum Morgen verarbeitet.
Text/25d/text,"Ich hoffe, deine saubere Akte ist es wert."
Text/25e/text,"Murphy schleicht sich in dein Quartier. Habe gehört, es gab heute Abend etwas Aufregung an deiner Station."
Text/25f/text,[color=CHARTREUSE]Gut. Wir stecken jetzt zusammen drin.[/color] Es gibt kein Zurück mehr.
Text/260/text,"Murphys Gesicht fällt. Ich... ich dachte, du wärst bei uns. Was ist passiert?"
Text/261/text,Die morgige Schicht wird anders sein. Der Einsatz war noch nie höher.
Text/262/text,"Aber zum ersten Mal hast du das Gefühl, auf der [color=CHARTREUSE]richtigen Seite[/color] zu sein. Was auch immer das kostet."
Text/263/text,"Das Gesicht des Agenten verfolgt dich. Ihre Familie wird nie erfahren, warum sie nicht nach Hause gekommen sind."
Text/264/text,[color=STEEL_BLUE]Wegen dir.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
