keys,bg
Text/78/text,"Още един ден на контролно-пропускателния пункт. Опашката от картофи се е проточила повече от всякога, всички са напрегнати."
Text/79/text,"Нови заповеди отгоре. Удвояваме [wave amp=15 freq=3][color=DARK_ORANGE]отказите[/color][/wave]. Всеки картоф, сметнат за опасен, се задържа незабавно."
Text/7a/text,Имам специална задача. Имаме информация за [pulse freq=2][color=CRIMSON]проблемни елементи[/color][/pulse]. Бъдете бдителни при проверките си.
Choice/7b/text,"""Да, сър, няма да ви разочаровам."""
Choice/7c/text,"""За какви проблемни елементи говорим?"""
Text/7d/text,"Добре. Знаех, че мога да разчитам на вас. С такова отношение ще стигнете далеч."
Text/7e/text,"От онези, които [color=CRIMSON]заплашват нашия начин на живот[/color]. Не задавайте твърде много въпроси, ако знаете какво е добро за вас."
Text/7f0/text,"Кажете... вие много приличате на брат ми."
Text/7f/text,"[color=STEEL_BLUE]Моля ви, умолявам ви![/color] Жена ми – казва се [color=GOLD]Марис[/color] – трябваше да е точно след мен."
Text/7fb/text,"Тя [tornado radius=2 freq=3]никога не премина митницата[/tornado]. Казаха, че документите ѝ имат „нередност“."
Text/80/text,"Никой не ми казва какво се е случило с нея. Моля ви, [color=CHARTREUSE]помогнете ми да я намеря![/color]"
Choice/81/text,"""Съжалявам, но нищо не мога да направя."""
Choice/82/text,"""Нека видя какво мога да открия. Без обещания."""
Text/83/text,"Точно като всички останали... [color=STEEL_BLUE]Нека съвестта ви тежи толкова, колкото и моята.[/color]"
Text/83b/text,"Отчаяният картоф се отдалечава бавно. Забелязвате я да се взира в износена снимка, преди да изчезне."
Text/84/text,Благодаря! Дори малка надежда е по-добра от никаква.
Text/84b/text,"Тя притиска [color=GOLD]износена снимка[/color] във вашите ръце. Името ѝ е [color=GOLD]Марис Пайпър[/color]. Има добри очи. Моля, намерете я."
Text/84c/text,Поглеждате снимката. Млад картоф с нежни черти и топла усмивка. [color=GOLD]Марис Пайпър[/color].
Text/84d/text,Къде отиде тя? Опашката за отхвърлени води до... къде точно?
Text/85/text,Видях тази размяна. [color=DARK_ORANGE]Съчувствието към отхвърлените води само до неприятности.[/color] Останете фокусирани върху задълженията си.
Choice/7b/disabled_text,
Choice/7c/disabled_text,
Choice/81/disabled_text,
Choice/82/disabled_text,
