keys,pl
dialogue_spud_being_called_1,"Następny krok, twój los czeka."
dialogue_spud_being_called_2,"Przodem w kolejce, chwila prawdy nadchodzi."
dialogue_spud_being_called_3,"Krok naprzód, wybrany z rodu bulw."
dialogue_spud_being_called_4,Gratulacje! Twoje czekanie się opłaciło.
dialogue_spud_being_called_5,Wielka Biurokracja Ziemniaka wzywa cię.
dialogue_spud_being_called_6,"Naprzód, szlachetna bulwo! Dokumenty czekają!"
dialogue_spud_being_called_7,Ruszaj! Pieczęć staje się niespokojny.
dialogue_spud_being_called_8,Poruszaj się sprawnie! Formularz P-38B wymaga wypełnienia.
dialogue_spud_being_called_9,"Przyjdź naprzód, los wymaga twojego wejścia."
dialogue_spud_being_called_10,"Zbliż się do lady wyroku, bulwo."
dialogue_spud_in_office_1,"Proszę, bądź cierpliwy. Czas to złudzenie."
dialogue_spud_in_office_2,Czekanie buduje charakter. I skrobię.
dialogue_spud_in_office_3,Kolejka porusza się w tajemniczy sposób.
dialogue_spud_in_office_4,Twoja pozycja jest odnotowana przez władze.
dialogue_spud_in_office_5,Stanie w kolejce: uniwersalna stała.
dialogue_spud_in_office_6,"Żadna bulwa nie jest gotowa, dopóki nie dojrzeje przez czekanie."
dialogue_spud_in_office_7,"Cierpliwość: nie jedyny przymiot, ale wymieniony."
dialogue_spud_in_office_8,Administracyjne koła obracają się powoli. Bardzo powoli.
dialogue_spud_in_office_9,"Ach, słodki dźwięk procedury!"
dialogue_spud_in_office_10,Dzisiejsza kolejka to jutrzejsza anegdota.
dialogue_spud_in_office_11,Czas w kolejkach się zagina. Został zmierzony.
dialogue_spud_in_office_12,Umiejętność czekania: Poziom 43 osiągnięty!
dialogue_warnings_1,"Ci, którzy się sprzeciwiają, zostaną dokładnie obrrani."
dialogue_warnings_2,Osoby łamiące kolejkę są wysyłane do Ekspresowego Przetwarzania.
dialogue_warnings_3,Zakłócenie kolejki wywołuje wykłady o kolejkach.
dialogue_warnings_4,Nieposłuszeństwo prowadzi do Pokoju Gorącego Oleju.
dialogue_warnings_5,"Nie musimy być sprawiedliwi, tylko zorganizowani."
dialogue_warnings_6,Komitet Zgodności Ziemniaka widzi wszystko.
dialogue_warnings_7,Kłopotliwcy: zmiażdżeni bez masła.
dialogue_warnings_8,Sprawcy chaosu stają się hash browns. Szybko.
dialogue_warnings_9,Łamacze reguł spotykają się z podwójnie pieczonym statusem.
dialogue_warnings_10,Audytorzy Kolejki zaznaczyli twoją egzystencję.
dialogue_warnings_11,Twoja teczka: oznaczona CZERWONĄ pieczęcią.
dialogue_misc_1,Gdzie wszyscy są?
dialogue_misc_2,Sytuacja awaryjna? Kontynuuj czekanie w kolejności.
dialogue_misc_3,Czy przeczytałeś paragraf siódmy umowy oczekiwania?
dialogue_misc_4,"Zgubiona własność: znaleziona, opodatkowana, zgubiona."
dialogue_misc_5,"Jeśli ziemniak narzeka, czy wydaje dźwięk?"
dialogue_misc_6,Światło zastąpione tabliczką: 'Więcej Tunelu.'
dialogue_misc_7,Śmierć jest tymczasowa. Biurokracja jest wieczna.
dialogue_misc_8,System archiwizacji osiągnął świadomość. Pozostań spokojny.
dialogue_misc_9,Dzisiejsze szczęśliwe numery nie znaczą nic. Przepraszam.
dialogue_misc_10,"Apocalypse? Weź numer, czekaj na zniknięcie."
dialogue_misc_11,Brak dowodów oznacza więcej formularzy.
dialogue_document_interaction_1,"Weź swoje dokumenty, proszę."
dialogue_document_interaction_2,WEŹMIJ JE!
dialogue_perfect_stamp_1,Doskonała robota!
dialogue_perfect_stamp_2,"O, tak się stempluje!"
dialogue_perfect_stamp_3,Precyzja w najlepszym wydaniu!
dialogue_perfect_stamp_4,Bogowie stempli uśmiechają się do ciebie!
dialogue_perfect_stamp_5,Technika podręcznikowa!
dialogue_runner_stopped_1,MAM CIĘ!
dialogue_runner_stopped_2,Nie na MOJEJ zmianie!
dialogue_runner_stopped_3,"Sprawiedliwość podana, gorąca i świeża!"
dialogue_runner_stopped_4,Tak się kończy uciekinierom!
dialogue_runner_stopped_5,Cel wyeliminowany!
dialogue_runner_escaped_1,Cholera! Uciekli!
dialogue_runner_escaped_2,Do diabła! Za wolno!
dialogue_runner_escaped_3,Ten mi umknął...
dialogue_runner_escaped_4,Ile z tym papierów...
dialogue_runner_escaped_5,Nie mój najlepszy moment.
dialogue_wrong_stamp_1,"Zaraz, coś tu nie gra..."
dialogue_wrong_stamp_2,"Hmm, czy ja to chciałem zrobić?"
dialogue_wrong_stamp_3,Tusz... on mnie zdradza!
dialogue_wrong_stamp_4,Ups.
dialogue_strike_received_1,To pójdzie do akt...
dialogue_strike_received_2,Ministerstwu się to nie spodoba.
dialogue_strike_received_3,O jeden krok bliżej do puree...
dialogue_strike_received_4,Kara! Ale nie ta dobra.
