keys,el
Text/50/text,"Ικανοποιητική δουλειά σήμερα, βλαστάρι. Να θυμάσαι, η αποδοτικότητα είναι το κλειδί. Έχουμε ποσοστώσεις να πιάσουμε."
Text/51/text,"Μην ξεχάσεις να πάρεις τη μερίδα σου από [wave amp=15 freq=2][color=DARK_VIOLET]Απόθεμα Ρίζας[/color][/wave]. Ξέρεις τι λέει το ραδιόφωνο, είναι η γεύση του μέλλοντος της Πατάτας!"
Text/52/text,"Καθώς μαζεύεις τα πράγματά σου, ένα μικρό σημείωμα γλιστράει ανάμεσα στα έγγραφα εργασίας σου."
Text/52b/text,Δεν ήταν εκεί το πρωί. Κάποιος το τοποθέτησε [color=YELLOW]κατά τη διάρκεια της βάρδιάς σου[/color].
Text/53/text,[color=GOLD]Δεν είναι όλα όπως φαίνονται. Οι ρίζες του έθνους μας έχουν σαπίσει.[/color]
Text/53b/text,"[color=GOLD]Ακολούθησε το μονοπάτι, αλλά πρόσεχε να μην σε φιμώσουν.[/color]"
Text/53c/text,[color=GOLD]Παρατήρησε ποιος τρώει το [/color][color=DARK_VIOLET]Απόθεμα[/color][color=GOLD]. Παρατήρησε ποιος αρνείται.[/color]
Text/53d/text,[color=GOLD]- [/color][color=CHARTREUSE]Ένας φίλος[/color]
Choice/53e/text,"""Κράτησε το σημείωμα κρυφό - ερεύνησε διακριτικά"""
Choice/53f/text,"""Κατέστρεψε το σημείωμα - αυτό μπορεί να είναι δοκιμασία"""
Choice/53g/text,"""Δείξε το σημείωμα στον Ράσετ αμέσως"""
Text/53h/text,Διπλώνεις προσεκτικά το σημείωμα και το βάζεις στην τσέπη σου. [color=CHARTREUSE]Κάποιος επικοινωνεί.[/color]
Text/53i/text,"Μα ποιος; Και γιατί εσύ, την πρώτη σου κιόλας μέρα;"
Text/53j/text,Σκίζεις το σημείωμα σε μικροσκοπικά κομμάτια
Text/53k/text,"Ο Ράσετ είπε ότι τα βλαστάρια που κάνουν ερωτήσεις ""ανακατανέμονται"". Καλύτερα να μην ρισκάρεις."
Text/53l/text,"Προλαβαίνεις τον Ράσετ πριν φύγει. ""Κύριε; Βρήκα αυτό στα χαρτιά μου..."""
Text/53m/text,"Ο Ράσετ αρπάζει το σημείωμα, το διαβάζει. Η έκφρασή του αλλάζει - [color=YELLOW]ήταν αναγνώριση άραγε;[/color]"
Text/53n/text,Προπαγάνδα. Επαναστάτες προσπαθούν να διαφθείρουν νέους αξιωματικούς. [color=DARK_ORANGE]Έκανες καλά που μου το έφερες.[/color]
Text/53o/text,Βάζει το σημείωμα στην τσέπη του. Ξέχνα ότι το είδες ποτέ. Και πρόσεχε όποιον συμπεριφέρεται... [color=CRIMSON]ύποπτα[/color].
Text/54/text,Εκείνο το σημείωμα... και ο τρόπος που ο Ράσετ απάντησε στην ερώτησή μου για τις [pulse freq=3][color=CRIMSON]απορριφθείσες πατάτες[/color][/pulse]...
Text/54b/text,"""[color=VIOLET]Επεξεργάστηκαν. Σύμφωνα με το πρωτόκολλο.[/color]"" Τι σημαίνει αυτό άραγε;"
Text/54c/text,Εκείνο το σημείωμα... έλεγε ότι οι ρίζες έχουν [color=CRIMSON]σαπίσει[/color].
Text/54d/text,"Μα η Πατάτα είναι ένδοξη, έτσι δεν είναι; Αυτό μας έλεγαν. Αυτό πίστευα."
Text/54e/text,"Βγάζεις το σημείωμα, το διαβάζεις ξανά. ""[color=GOLD]Παρατήρησε ποιος τρώει το Απόθεμα. Παρατήρησε ποιος αρνείται.[/color]"""
Text/54f/text,"Αύριο, θα προσέξεις. [color=YELLOW]Κάποιος προσπαθεί να σου πει κάτι.[/color]"
Text/54g/text,"Το πρόσωπο του Ράσετ όταν διάβασε το σημείωμα. Για μια στιγμή, φάνηκε σχεδόν... [color=STEEL_BLUE]φοβισμένος[/color]."
Text/54h/text,Τι είναι στ' αλήθεια το [color=DARK_VIOLET]Root Reserve[/color]; Και γιατί να σε προειδοποιήσει κάποιος γι' αυτό;
Text/54i/text,"Το σημείωμα έχει φύγει, αλλά οι λέξεις παραμένουν. [color=YELLOW]Δεν είναι όλα όπως φαίνονται.[/color]"
Text/54j/text,Ίσως η καταστροφή του ήταν η έξυπνη επιλογή. Ίσως απλά φίμωσες τον μοναδικό σου σύμμαχο.
Text/55/text,Πρέπει να μείνω [color=YELLOW]σε εγρήγορση[/color]. Συμβαίνουν περισσότερα εδώ από το σφράγισμα διαβατηρίων.
Choice/53e/disabled_text,
Choice/53f/disabled_text,
Choice/53g/disabled_text,
