keys,uk
Text/69_photo1/text,Ви знову дістаєте фотографію. [color=GOLD]Маріс Пайпер[/color]. Таке добре обличчя.
Text/69_photo2/text,Її дружина була в такому відчаї. [color=STEEL_BLUE]Що з нею сталося?[/color]
Text/69_photo3/text,Ви помічаєте щось на задньому плані фотографії — вантажівку з [color=DARK_VIOLET]фіолетовим логотипом[/color].
Text/69_photo4/text,Цей символ... ви бачили його на доставках до їдальні. [wave amp=15 freq=2][color=DARK_VIOLET]Кореневий Запас.[/color][/wave]
Text/69/text,Можемо поговорити? Десь наодинці? [color=YELLOW]Тут забагато очей і вух.[/color]
Text/6a/text,"Зустрінь мене біля старого складу після зміни. У мене є дещо, що тобі потрібно побачити."
Text/6a_photo1/text,Сашо... це фото. Дружина тієї жінки дала його мені. Вона шукала її.
Text/6a_photo2/text,Обличчя Саші похмурніє. [color=STEEL_BLUE]Дай подивитися.[/color]
Text/6a_photo3/text,"Саша вивчає фотографію, її вираз обличчя темніє. [color=CRIMSON]Я впізнаю ту вантажівку.[/color]"
Text/6a_photo4/text,[pulse freq=2][color=YELLOW]Збережи це фото в безпеці.[/color][/pulse] Воно може бути важливим пізніше. Довірся мені.
Text/6b/text,"Зав'язуєш тісні стосунки з колегами? Пам'ятай, дружні стосунки можуть призвести до... [color=DARK_ORANGE]упередженості в судженнях[/color]."
Text/6c/text,Я збирав інформацію про відбраковану картоплю. [wave amp=20 freq=3][color=CRIMSON]Вони не потрапляють до депортаційних центрів.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]Вони потрапляють на переробні підприємства Кореневого Запасу.[/color][/tornado] Кожна з них.
Text/6e/text,"Ці документи показують, як картоплю вивантажують на об'єкті, позначеному логотипом [color=DARK_VIOLET]Кореневого Запасу[/color]."
Text/6f/text,"Здається, я знаю, що відбувається..."
Text/6f2/text,[pulse freq=3][color=CRIMSON]Вони стають Кореневим Запасом.[/color][/pulse]
Choice/70/text,"""Це божевілля. Вони... переробляють картоплю на їжу?"""
Choice/71/text,"""Нам потрібно більше доказів, перш ніж висувати звинувачення."""
Text/72/text,[color=CRIMSON]Канібалізм з додатковими кроками.[/color] Ось що таке [wave amp=25 freq=3][color=DARK_VIOLET]Кореневий Запас[/color][/wave]. І ми допомагали обирати їхні інгредієнти.
Text/73/text,"Я збирав докази місяцями. Тримай очі відкритими. Ти побачиш, що я маю рацію."
Text/74/text,Раптом лунає далека сигналізація
Text/75/text,"Нам треба йти. Вони проводять перевірки безпеки о цій годині. Подумай про те, що я тобі показав."
Text/76/text,"Саша пхає теку тобі в руки. ""[color=YELLOW]Збережи це в безпеці. І нікому не довіряй.[/color]"""
Text/77/text,Ви ховаєте теку всередину куртки. [color=DARK_VIOLET]Кореневий Запас[/color]. Відмови. Зникла картопля. Все це поєднується в [tornado radius=3 freq=2][color=CRIMSON]жахливий спосіб[/color][/tornado].
Choice/70/disabled_text,
Choice/71/disabled_text,
