keys,ar
Text/d2/text,بعد وردية عملك، يتم اقتيادك إلى اجتماع سري للمقاومة في مصنع نشا مهجور.
Text/d2b/text,قبل أن نبدأ... لدي اعتراف لأدلي به.
Text/d2c/text,"تلك الملاحظة التي وجدتها في يومك الأول؟ ""[color=GOLD]صديق[/color]""؟"
Text/d2d/text,ساشا تبتسم. أرى أنك احتفظت بها. ذكي. كنت أعلم أنني اخترت البرعم المناسب.
Text/d2e/text,كنت أراقب الضباط الجدد لشهور، أبحث عن شخص بعيون [color=CHARTREUSE]متسائلة[/color]. شخص قد يرى ما وراء الأكاذيب.
Text/d2f/text,تعابير ساشا معقدة. لقد أريتها لروسيت. اضطررت للاختباء لأسابيع بعد ذلك.
Text/d2g/text,لكنك هنا على أي حال. هذا يخبرني شيئًا عن ضميرك.
Text/d2h/text,لقد دمرتها. لا ألومك - كان الاحتفاظ بها محفوفًا بالمخاطر.
Text/d2i/text,لكن الكلمات وجدت طريقها إلى رأسك على أي حال، أليس كذلك؟
Text/d2j/text,"[color=CHARTREUSE]أنا ""الصديق"".[/color] والآن أنت تعرف لماذا."
Text/d2k/text,ساشا تنشر وثائق مضبوطة على الطاولة. كشوفات معالجة من الشهر الماضي.
Text/d2l/text,تمسح الأسماء، ويتجمد دمك.
Text/d2m/text,ها هي ذي. [color=GOLD]ماريس بايبر[/color]. المرأة من الصورة.
Text/d2n/text,"""[color=CRIMSON]الحالة: تمت المعالجة. دفعة RR-2847.[/color]"" مؤرخة بعد ثلاثة أيام من توسل زوجها لمساعدتك."
Text/d2o/text,تشعر بالصورة في جيبك. [color=STEEL_BLUE]لقد رحلت. ولم تتمكن من إنقاذها.[/color]
Text/d2p/text,لكن ربما... [color=CHARTREUSE]ربما لا يزال بإمكانك إنقاذ الآخرين[/color].
Text/d2q/text,ميرفي يخرج من الظلال. مرحبًا. سعيد لأنك وصلت.
Text/d2r/text,ميرفي يرفع استمارة RR-UTIL المجعدة. ابن عمي على تلك القائمة أيضًا. [color=CHARTREUSE]سنفعل هذا معًا.[/color]
Text/d3/text,بطاطس متمرسة ذات ندوب معركة تخاطب المجموعة المجتمعة.
Text/d4/text,لقد ولى زمن الهمسات والمنشورات. لقد أظهرت الحكومة وجهها الحقيقي.
Text/d5/text,مصادرنا تؤكد أن [wave amp=15 freq=2][color=DARK_VIOLET]روت ريزيرف[/color][/wave] مصانع المعالجة تزيد إنتاجها.
Text/d6/text,مما يعني [tornado radius=3 freq=3][color=CRIMSON]المزيد من إخوتنا وأخواتنا اختفوا، تمت معالجتهم، استُهلكوا[/color][/tornado].
Text/d7/text,يضرب القائد بقبضته على الطاولة. [pulse freq=3][color=CHARTREUSE]هذا ينتهي الآن.[/color][/pulse] لدينا خطة لضرب قلب عمليتهم.
Text/d8/text,ساشا تفرد خططًا مفصلة على الطاولة. في غضون ثلاثة أيام، سنطلق هجومنا الأساسي.
Text/d9/text,بينما يقوم فريق واحد بخلق إلهاء في المجمع الحكومي الرئيسي، سيتسلل فريق آخر إلى أكبر منشأة لـ روت ريزيرف.
Text/da/text,هدفنا: الحصول على [color=CHARTREUSE]أدلة دامغة[/color] عما يحدث في الداخل، وبثها إلى كل سبود.
Text/db/text,تشير ساشا إلى جزء من الخطط. هنا يأتي دورك.
Text/dc/text,نحتاج شخصًا من الداخل في جمارك سبود لضمان تمكن عملائنا من عبور الحدود للمهمة.
Text/dd/text,هل يمكننا الاعتماد عليك لتكون ذلك الشخص؟
Choice/de/text,"""سأفعل كل ما يلزم لكشف الحقيقة."""
Choice/df/text,"""يبدو الأمر خطيرًا. ماذا لو تم القبض علينا؟"""
Choice/e0/text,"""هل هناك طريقة أخرى لا تعرض الكثيرين للخطر؟"""
Text/e1/text,يضيء وجه ساشا بالأمل. شكرًا لك. [color=CHARTREUSE]شجاعتك ستنقذ أرواحًا لا تحصى.[/color]
Text/e2/text,تضغط على يدك. عندما ينتهي كل هذا، [color=CHARTREUSE]سيتم تذكرك كبطل للثورة.[/color]
Text/e3/text,[color=STEEL_BLUE]يتلاشى تعبير ساشا المفعم بالأمل.[/color] أنا... نعم. إنه خطير.
Text/e4/text,"يمكن أن ينتهي بنا المطاف جميعًا [color=DARK_VIOLET]معالجين في ""احتياطي الجذور""[/color] بأنفسنا إذا فشلنا."
Text/e5/text,[color=STEEL_BLUE]تنظر بعيدًا للحظة.[/color] ظننت بعد كل ما رأيته... لكنني أتفهم. الخوف طبيعي.
Text/e6/text,[color=STEEL_BLUE]يرتخي وجه ساشا. يخفت الضوء في عينيها.[/color] طريقة أخرى؟ لقد جربنا طرقًا أخرى. لسنوات.
Text/e7/text,عرائض. دبلوماسية هادئة. بلاغات مجهولة. [color=STEEL_BLUE]يصبح صوتها باردًا.[/color] لم ينجح شيء.
Text/e8/text,كنت آمل أن تكون مختلفًا. أنك فهمت ما هو على المحك.
Text/e9/text,يندلع نقاش حاد بين أعضاء المقاومة.
Text/ea/text,يجادل البعض بنهج أكثر عدوانية – تدمير مصانع المعالجة بالكامل.
Text/eb/text,يصر آخرون على أن العمل العنيف سيقلب الرأي العام ضدهم فقط.
Text/ec/text,كفى! يسكت القائد الغرفة بصوت آمر.
Text/ed/text,لا يمكننا تحمل الانقسام. ليس الآن، ونحن قريبون جدًا.
Text/ee/text,هدفنا بسيط: كشف الحقيقة. دعوا الناس يقررون ما سيحدث بعد ذلك.
Text/ef/text,يتوجه القائد إليك مباشرة. لكننا بحاجة إلى معرفة [color=YELLOW]أين تقف[/color].
Text/f0/text,في غضون ثلاثة أيام، سيقترب عملاؤنا من نقطة تفتيشك. سيحملون [color=CHARTREUSE]بطاقات هوية زرقاء[/color].
Text/f1/text,هل ستساعدهم على العبور؟ إجابتك الآن ستحدد خطوتنا التالية.
Choice/f2/text,"""سأساعدهم على العبور. من أجل مستقبل سبود."""
Choice/f3/text,"""لا يمكنني أن أتورط مباشرة، لكني سأتجاهل الأمر."""
Choice/f4/text,"""أحتاج المزيد من الوقت للتفكير في هذا."""
Text/f5/text,يمسك القائد كتفك بقوة. [color=CHARTREUSE]شجاعتك تشرفنا جميعًا.[/color]
Text/f6/text,في اليوم الثالث، عندما تكون الشمس في أوجها، سيأتي عملاؤنا.
