keys,el
Text/86/text,Νέα πρωτόκολλα ασφαλείας σήμερα. Έχουμε λάβει πληροφορίες σχετικά με [color=YELLOW]ύποπτες δραστηριότητες[/color].
Text/87/text,Όλοι οι ταξιδιώτες πρέπει να υποβληθούν σε ενισχυμένες διαδικασίες ελέγχου.
Text/88/text,"Προσέξτε για [color=YELLOW]νευρική συμπεριφορά, ασυνήθιστους τρόπους ή απροθυμία για οπτική επαφή[/color]."
Text/89/text,"Όλα τα ύποπτα αντικείμενα πρέπει να κατασχεθούν και να καταγραφούν. Για την ασφάλεια του Spud, φυσικά."
Text/8a/text,"Μας ανησυχούν ιδιαίτερα [color=CRIMSON]απαγορευμένα υλικά[/color] - αντικυβερνητική λογοτεχνία, φωτογραφικός εξοπλισμός..."
Text/8b/text,"Η φωνή τους πέφτει δυσοίωνα. ""[pulse freq=2][color=DARK_VIOLET]Έχουμε ειδικές διαδικασίες για αυτά τα άτομα.[/color][/pulse]"""
Text/8c/text,"Φορτηγά της [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] ξεφορτώνουν κιβώτια με την ένδειξη ""Premium Reserve"" στην καφετέρια. Η μυρωδιά είναι δελεαστική, αλλά το στομάχι σου ανακατεύεται."
Text/8d/text,Δοκίμασες το νέο Premium Reserve; Ο ξάδερφός μου εξαφανίστηκε τον περασμένο μήνα. Απέτυχε στον έλεγχο.
Text/8e/text,"Ίσως είναι μέρος αυτής της παρτίδας, ε; [tornado radius=2 freq=2][color=STEEL_BLUE]Μαύρο χιούμορ, ξέρεις;[/color][/tornado]"
Choice/8f/text,"""Δεν είναι αστείο. Καθόλου."""
Choice/90/text,"""Δεν πεινάω. Συγγνώμη."" (Φεύγω)"
Text/91/text,Έχεις δίκιο. Μερικές φορές το αστείο είναι πιο εύκολο από το να σκέφτεσαι [pulse freq=3][color=CRIMSON]τι μπορεί να συμβαίνει στην πραγματικότητα[/color][/pulse].
Text/92/text,"Ο αξιωματικός σε παρακολουθεί να φεύγεις. ""Έι, το καταλαβαίνω. Έχασα κι εγώ την όρεξή μου..."""
Text/93/text,"Βολική συγκυρία για νέα πρωτόκολλα ασφαλείας, έτσι δεν είναι; [wave amp=15 freq=3][color=YELLOW]Προσπαθούν να σταματήσουν πληροφορίες για το Root Reserve.[/color][/wave]"
Text/94/text,Έχω κάτι που μπορεί να μας βοηθήσει. Κάποιες πατάτες με [color=CHARTREUSE]ζωτικής σημασίας πληροφορίες αξίζουν να περάσουν[/color].
Text/95/text,Εξετάζεις προσεκτικά τις επιλογές σου. Οι σημερινές επιλογές θα μπορούσαν να βοηθήσουν [color=CHARTREUSE]να διαδοθεί η αλήθεια[/color]... ή [color=CRIMSON]να τη σιωπήσουν για πάντα[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
