keys,sk
dialogue_spud_being_called_1,"Ďalší krok, tvoj osud čaká."
dialogue_spud_being_called_2,"Vpredu v rade, moment pravdy sa blíži."
dialogue_spud_being_called_3,"Postúp vpred, vyvolený z rodu hľúz."
dialogue_spud_being_called_4,Gratulujeme! Tvoje čakanie uspelo.
dialogue_spud_being_called_5,Veľká Byrokracia Zemiakov ťa povoláva.
dialogue_spud_being_called_6,"Vpred, šľachetná hľuza! Dokumenty čakajú!"
dialogue_spud_being_called_7,Pohyb! Pečiatka sa stáva netrpezlivou.
dialogue_spud_being_called_8,Pohybuj sa rýchlo! Formulár P-38B potrebuje vyplniť.
dialogue_spud_being_called_9,"Poď vpred, osud si vyžaduje tvoj vstup."
dialogue_spud_being_called_10,"Priblíž sa k prepážke súdu, hľuza."
dialogue_spud_in_office_1,"Prosím, buď trpezlivý. Čas je ilúzia."
dialogue_spud_in_office_2,Čakanie buduje charakter. A škrob.
dialogue_spud_in_office_3,Rad sa pohybuje tajomným spôsobom.
dialogue_spud_in_office_4,Tvoja pozícia je zaznamenaná úradmi.
dialogue_spud_in_office_5,Stáť v rade: univerálna konštanta.
dialogue_spud_in_office_6,"Žiadna hľuza nie je pripravená, kým nie je ochutená čakaním."
dialogue_spud_in_office_7,"Trpezlivosť: nie jediná cnosť, ale spomenutá."
dialogue_spud_in_office_8,Byrokracké kolesá sa otáčajú pomaly. Veľmi pomaly.
dialogue_spud_in_office_9,"Ach, sladký zvuk procedúry!"
dialogue_spud_in_office_10,Dnešný rad je zajtrajšia anekdota.
dialogue_spud_in_office_11,Čas v radoch sa ohýba. Bol odmeraný.
dialogue_spud_in_office_12,Schopnosť čakania: Úroveň 43 dosiahnutá!
dialogue_warnings_1,"Tí, čo sú proti, budú presne olúpení."
dialogue_warnings_2,Narušitelia radu sú poslaní do Expresného spracovania.
dialogue_warnings_3,Narušenie radu vyvolá prednášky o radoch.
dialogue_warnings_4,Neposlušnosť vedie do Miestnosti s horúcim olejom.
dialogue_warnings_5,"Nemusíme byť spravodliví, len organizovaní."
dialogue_warnings_6,Výbor pre dodržiavanie predpisov zemiakov vidí všetko.
dialogue_warnings_7,Pôvodcovia problémov: rozdrvení bez masla.
dialogue_warnings_8,Tvorcovia chaosu sa stanú zemiakmi na hash. Rýchlo.
dialogue_warnings_9,Porušovatelia pravidiel čelia statusu dvakrát pečeného.
dialogue_warnings_10,Audítori radu zaznamenali tvoju existenciu.
dialogue_warnings_11,Tvoj spis: označený ČERVENOU pečiatkou.
dialogue_misc_1,Kde sú všetci?
dialogue_misc_2,Núdzový stav? Pokračuj v čakaní v poradí.
dialogue_misc_3,Prečítal si siedmy odsek dohody o čakaní?
dialogue_misc_4,"Stratený majetok: nájdený, zdanený, stratený."
dialogue_misc_5,"Keď sa zemiak sťažuje, vydáva zvuk?"
dialogue_misc_6,Svetlo nahradené tabuľou: 'Viac tunelov.'
dialogue_misc_7,Smrť je dočasná. Byrokracia je večná.
dialogue_misc_8,Systém archivácie dosiahol vedomie. Zostaň pokojný.
dialogue_misc_9,Šťastné čísla dňa nič neznamená. Prepáč.
dialogue_misc_10,"Apokalypsa? Vezmi si číslo, počkaj na zmiznutie."
dialogue_misc_11,Žiadne dôkazy znamenajú viac formulárov.
dialogue_document_interaction_1,"Vezmi si svoje dokumenty, prosím."
dialogue_document_interaction_2,VEZMI ICH!
dialogue_perfect_stamp_1,Výborná práca!
dialogue_perfect_stamp_2,Takto sa pečiatkuje!
dialogue_perfect_stamp_3,Precíznosť v najlepšej forme!
dialogue_perfect_stamp_4,Bohovia pečiatok sa na vás usmievajú!
dialogue_perfect_stamp_5,Učebnicová technika!
dialogue_runner_stopped_1,Mám ťa!
dialogue_runner_stopped_2,Nie za mojej smeny!
dialogue_runner_stopped_3,"Spravodlivosť podaná, horúca a čerstvá!"
dialogue_runner_stopped_4,To sa stáva utečencom!
dialogue_runner_stopped_5,Cieľ eliminovaný!
dialogue_runner_escaped_1,Prekliatie! Ušli!
dialogue_runner_escaped_2,Prekliatie! Príliš pomalý!
dialogue_runner_escaped_3,Ten sa prekĺzol...
dialogue_runner_escaped_4,Tie papiere k tomuto...
dialogue_runner_escaped_5,Nie môj najlepší moment.
dialogue_wrong_stamp_1,"Počkať, to nie je správne..."
dialogue_wrong_stamp_2,"Hmm, chcel som to urobiť?"
dialogue_wrong_stamp_3,Atrament... zrádza ma!
dialogue_wrong_stamp_4,Ups.
dialogue_strike_received_1,To pôjde do môjho záznamu...
dialogue_strike_received_2,Ministerstvu sa to nebude páčiť.
dialogue_strike_received_3,O krok bližšie k pyré...
dialogue_strike_received_4,Štrajk! Ale nie ten dobrý.
