keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,ar,bg,el,es-419,ja,ko,pt-BR,ru,th,uk,zh-CN,zh-TW
Text/102/text,"Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Dobře, zvládl jsi to. Odboj [color=CHARTREUSE]sílí[/color]. Díky těm manifestům lidé vidí pravdu.","Godt, du klarede det. Modstanden bliver [color=CHARTREUSE]stærkere[/color]. Takket være disse manifester ser folk sandheden.","Gut, du hast es geschafft. Der Widerstand wird [color=CHARTREUSE]stärker[/color]. Dank dieser Manifeste sehen die Menschen die Wahrheit.","Bien, lo lograste. La resistencia está [color=CHARTREUSE]haciéndose más fuerte[/color]. Gracias a esos manifiestos, la gente está viendo la verdad.","Hyvä, selvisit perille. Vastarinta [color=CHARTREUSE]vahvistuu[/color]. Näiden manifestien ansiosta ihmiset näkevät totuuden.","Bien, tu y es arrivé. La résistance devient [color=CHARTREUSE]plus forte[/color]. Grâce à ces manifestes, les gens voient la vérité.","Jó, sikerült. Az ellenállás [color=CHARTREUSE]egyre erősebb[/color]. Ezeknek a kiáltványoknak köszönhetően az emberek látják az igazságot.","Bagus, kamu berhasil. Perlawanan [color=CHARTREUSE]semakin kuat[/color]. Berkat manifesto-manifesto itu, orang-orang melihat kebenaran.","Bene, ce l'hai fatta. La resistenza sta [color=CHARTREUSE]diventando più forte[/color]. Grazie a quei manifesti, le persone stanno vedendo la verità.","Goed, je hebt het gehaald. Het verzet wordt [color=CHARTREUSE]sterker[/color]. Dankzij die manifesten zien mensen de waarheid.","Bra, du klarte det. Motstanden blir [color=CHARTREUSE]sterkere[/color]. Takket være disse manifestene ser folk sannheten.","Dobrze, udało ci się. Ruch oporu [color=CHARTREUSE]staje się silniejszy[/color]. Dzięki tym manifestom ludzie widzą prawdę.","Bom, você conseguiu. A resistência está [color=CHARTREUSE]ficando mais forte[/color]. Graças àqueles manifestos, as pessoas estão vendo a verdade.","Bine, ai reușit. Rezistența [color=CHARTREUSE]devine mai puternică[/color]. Datorită acelor manifeste, oamenii văd adevărul.","Dobre, podarilo sa ti to. Odboj [color=CHARTREUSE]silnie[/color]. Vďaka tým manifestom ľudia vidia pravdu.","Bra, du klarade det. Motståndet blir [color=CHARTREUSE]starkare[/color]. Tack vare dessa manifest ser folk sanningen.","İyi, başardın. Direniş [color=CHARTREUSE]güçleniyor[/color]. Bu manifestolar sayesinde insanlar gerçeği görüyor.","Tốt, bạn đã làm được. Cuộc kháng chiến [color=CHARTREUSE]ngày càng mạnh hơn[/color]. Nhờ những bản tuyên ngôn đó, mọi người đang thấy được sự thật.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth.","Good, you made it. The resistance is [color=CHARTREUSE]growing stronger[/color]. Thanks to those manifests, people are seeing the truth."
Text/102_foreshadow1/text,"[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]",,,,,,,,,,,,,,,,,,,"[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]","[color=STEEL_BLUE]Sasha glances over her shoulder nervously.[/color] Sorry, I... [color=YELLOW]I think they're watching me.[/color]"
Text/102_foreshadow2/text,Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],,,,,,,,,,,,,,,,,,,Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave],Russet has been asking questions. Following me after shifts. [wave amp=15 freq=2][color=YELLOW]I need to be more careful.[/color][/wave]
Text/102_foreshadow3/text,"Sasha, maybe you should lay low for a while. Let me take more of the risk.",,,,,,,,,,,,,,,,,,,"Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk.","Sasha, maybe you should lay low for a while. Let me take more of the risk."
Text/102_foreshadow4/text,"[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.",,,,,,,,,,,,,,,,,,,"[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet.","[color=STEEL_BLUE]She shakes her head, forcing a smile.[/color] No. We're too close now. I can handle Russet."
Text/102_foreshadow5/text,Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],,,,,,,,,,,,,,,,,,,Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color],Besides... [color=CHARTREUSE]someone has to keep you sprouts out of trouble.[/color]
Text/103/text,"I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","Podařilo se mi získat tuto složku z našich zdrojů - výrobní plány, seznamy '[color=CRIMSON]ingrediencí[/color]', jména [color=DARK_SLATE_BLUE]zmizelých[/color].","Det lykkedes mig at få denne dossier fra vores kilder - produktionsplaner, '[color=CRIMSON]ingrediens[/color]' lister, navne på de [color=DARK_SLATE_BLUE]forsvundne[/color].","Es ist mir gelungen, diese Akte von unseren Quellen zu bekommen - Produktionspläne, '[color=CRIMSON]Zutatenlisten[/color]', Namen der [color=DARK_SLATE_BLUE]Verschwundenen[/color].","Logré obtener este expediente de nuestras fuentes - programas de producción, listas de '[color=CRIMSON]ingredientes[/color]', nombres de los [color=DARK_SLATE_BLUE]desaparecidos[/color].","Onnistuin saamaan tämän kansion lähteiltämme - tuotantoaikataulut, '[color=CRIMSON]ainesosa[/color]' luettelot, [color=DARK_SLATE_BLUE]kadonneiden[/color] nimet.","J'ai réussi à obtenir ce dossier de nos sources - programmes de production, listes d'[color=CRIMSON]ingrédients[/color], noms des [color=DARK_SLATE_BLUE]disparus[/color].","Sikerült megszereznem ezt az aktát a forrásainktól - termelési ütemtervek, '[color=CRIMSON]összetevő[/color]' listák, az [color=DARK_SLATE_BLUE]eltűntek[/color] nevei.","Aku berhasil mendapatkan berkas ini dari sumber-sumber kita - jadwal produksi, daftar '[color=CRIMSON]bahan[/color]', nama-nama orang yang [color=DARK_SLATE_BLUE]menghilang[/color].","Sono riuscito a ottenere questo dossier dalle nostre fonti - programmi di produzione, liste di '[color=CRIMSON]ingredienti[/color]', nomi dei [color=DARK_SLATE_BLUE]scomparsi[/color].","Het is me gelukt om dit dossier van onze bronnen te krijgen - productieschema's, '[color=CRIMSON]ingrediënten[/color]' lijsten, namen van de [color=DARK_SLATE_BLUE]verdwenenen[/color].","Jeg klarte å få tak i denne mappen fra kildene våre - produksjonsplaner, '[color=CRIMSON]ingrediens[/color]' lister, navn på de [color=DARK_SLATE_BLUE]forsvunne[/color].","Udało mi się zdobyć te akta z naszych źródeł - harmonogramy produkcji, listy '[color=CRIMSON]składników[/color]', nazwiska [color=DARK_SLATE_BLUE]zaginionych[/color].","Consegui obter este dossiê de nossas fontes - cronogramas de produção, listas de '[color=CRIMSON]ingredientes[/color]', nomes dos [color=DARK_SLATE_BLUE]desaparecidos[/color].","Am reușit să obțin acest dosar de la sursele noastre - programe de producție, liste de '[color=CRIMSON]ingrediente[/color]', nume ale celor [color=DARK_SLATE_BLUE]dispăruți[/color].","Podarilo sa mi získať tento spis z našich zdrojov - výrobné plány, zoznamy '[color=CRIMSON]ingrediencií[/color]', mená [color=DARK_SLATE_BLUE]zmiznutých[/color].","Jag lyckades få tag på den här dossieren från våra källor - produktionsscheman, '[color=CRIMSON]ingrediens[/color]' listor, namn på de [color=DARK_SLATE_BLUE]försvunna[/color].","Kaynaklarımızdan bu dosyayı ele geçirmeyi başardım - üretim programları, '[color=CRIMSON]içerik[/color]' listeleri, [color=DARK_SLATE_BLUE]kaybolan[/color] kişilerin isimleri.","Tôi đã thu thập được tài liệu này từ nguồn tin của chúng ta - lịch trình sản xuất, danh sách '[color=CRIMSON]thành phần[/color]', tên của những người [color=DARK_SLATE_BLUE]đã biến mất[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color].","I managed to get this dossier from our sources - production schedules, '[color=CRIMSON]ingredient[/color]' lists, names of the [color=DARK_SLATE_BLUE]disappeared[/color]."
Text/104/text,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,Tohle není jen program doplňků stravy. [color=CRIMSON]Zpracovávají brambory[/color]...a ne dobrým způsobem.,Dette er ikke bare et kosttilskudsprogram. De [color=CRIMSON]forarbejder kartofler[/color]...og ikke på en god måde.,Dies ist nicht nur ein Nahrungsergänzungsprogramm. Sie [color=CRIMSON]verarbeiten Kartoffeln[/color]...und nicht auf gute Weise.,Esto no es solo un programa de suplementos alimenticios. Están [color=CRIMSON]procesando patatas[/color]...y no de una buena manera.,Tämä ei ole pelkkä ravintolisäohjelma. He [color=CRIMSON]prosessoivat perunoita[/color]...eikä hyvällä tavalla.,Ce n'est pas qu'un simple programme de suppléments alimentaires. Ils [color=CRIMSON]traitent des pommes de terre[/color]...et pas d'une bonne façon.,Ez nem csak egy étrend-kiegészítő program. [color=CRIMSON]Krumplikat dolgoznak fel[/color]...és nem jó módon.,Ini bukan sekadar program suplemen makanan. Mereka [color=CRIMSON]memproses kentang[/color]...dan bukan dengan cara yang baik.,Questo non è solo un programma di integratori alimentari. Stanno [color=CRIMSON]processando patate[/color]...e non in modo positivo.,Dit is niet zomaar een voedingssupplementenprogramma. Ze [color=CRIMSON]verwerken aardappelen[/color]...en niet op een goede manier.,Dette er ikke bare et kosttilskuddsprogram. De [color=CRIMSON]bearbeider poteter[/color]...og ikke på en god måte.,To nie jest tylko program suplementów diety. Oni [color=CRIMSON]przetwarzają ziemniaki[/color]...i to nie w dobry sposób.,Isto não é apenas um programa de suplementos alimentares. Eles estão [color=CRIMSON]processando batatas[/color]...e não de uma boa maneira.,Acesta nu este doar un program de suplimente alimentare. Ei [color=CRIMSON]procesează cartofi[/color]...și nu într-un mod bun.,Toto nie je len program doplnkov stravy. [color=CRIMSON]Spracovávajú zemiaky[/color]...a nie dobrým spôsobom.,Detta är inte bara ett kosttillskottsprogram. De [color=CRIMSON]bearbetar potatis[/color]...och inte på ett bra sätt.,Bu sadece bir gıda takviyesi programı değil. [color=CRIMSON]Patates işliyorlar[/color]...ve iyi bir şekilde değil.,Đây không chỉ là một chương trình thực phẩm bổ sung. Họ đang [color=CRIMSON]chế biến khoai tây[/color]...và không theo cách tốt đẹp.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.,This isn't just a food supplement program. They're [color=CRIMSON]processing potatoes[/color]...and not in a good way.
Text/105/text,"Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Interní memoranda od samotného premiéra Idaha, povolující ""[color=DARK_ORANGE]využití odmítnutých aktiv.[/color]""","Interne memoer fra premierminister Idaho selv, der godkender ""[color=DARK_ORANGE]udnyttelse af afviste aktiver.[/color]""","Interne Memos von Premierminister Idaho selbst, die die ""[color=DARK_ORANGE]Verwertung abgelehnter Vermögenswerte[/color]"" genehmigen.","Memorandos internos del propio Primer Ministro Idaho, autorizando la ""[color=DARK_ORANGE]utilización de activos rechazados.[/color]""","Sisäisiä muistioita pääministeri Idaholta itseltään, joissa valtuutetaan ""[color=DARK_ORANGE]hylättyjen varojen hyödyntäminen.[/color]""","Des notes internes du Premier Ministre Idaho lui-même, autorisant ""[color=DARK_ORANGE]l'utilisation des actifs rejetés.[/color]""","Belső feljegyzések magától Idaho miniszterelnöktől, amelyek engedélyezik az ""[color=DARK_ORANGE]elutasított eszközök hasznosítását.[/color]""","Memo internal dari Perdana Menteri Idaho sendiri, yang mengotorisasi ""[color=DARK_ORANGE]pemanfaatan aset yang ditolak.[/color]""","Promemoria interni del Primo Ministro Idaho in persona, che autorizzano ""[color=DARK_ORANGE]l'utilizzo di asset rifiutati.[/color]""","Interne memo's van premier Idaho zelf, waarin hij de ""[color=DARK_ORANGE]benutting van afgewezen bezittingen[/color]"" autoriseert.","Interne notater fra statsminister Idaho selv, som autoriserer ""[color=DARK_ORANGE]utnyttelse av avviste eiendeler.[/color]""","Wewnętrzne notatki od samego premiera Idaho, autoryzujące ""[color=DARK_ORANGE]wykorzystanie odrzuconych aktywów.[/color]""","Memorandos internos do próprio Primeiro-Ministro Idaho, autorizando a ""[color=DARK_ORANGE]utilização de ativos rejeitados.[/color]""","Memorandumuri interne de la însuși Prim-ministrul Idaho, autorizând ""[color=DARK_ORANGE]utilizarea activelor respinse.[/color]""","Interné memorandá od samotného premiéra Idaha, povoľujúce ""[color=DARK_ORANGE]využitie odmietnutých aktív.[/color]""","Interna meddelanden från premiärminister Idaho själv, som godkänner ""[color=DARK_ORANGE]användning av avvisade tillgångar.[/color]""","Başbakan Idaho'nun bizzat kendisinden, ""[color=DARK_ORANGE]reddedilen varlıkların kullanımını[/color]"" yetkilendiren iç yazışmalar.","Bản ghi nhớ nội bộ từ chính Thủ tướng Idaho, cho phép ""[color=DARK_ORANGE]sử dụng tài sản bị từ chối.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]""","Internal memos from Prime Minister Idaho himself, authorizing the ""[color=DARK_ORANGE]utilization of rejected assets.[/color]"""
Text/106/text,"Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Kvóty pro každý kontrolní bod, přičemž Bramborová celnice má nejvyšší poměr odmítnutí-k-zpracování.","Kvoter for hvert kontrolpunkt, hvor Kartoffel Told har det højeste afvisning-til-forarbejdning forhold.","Quoten für jeden Kontrollpunkt, wobei der Kartoffellzoll das höchste Verhältnis von Ablehnung zu Verarbeitung aufweist.","Cuotas para cada punto de control, con Aduanas de Patatas teniendo la mayor proporción de rechazo a procesamiento.","Kiintiöt jokaiselle tarkastuspisteelle, jossa Peruna-tullilla on korkein hylkäys-prosessointi-suhde.","Des quotas pour chaque point de contrôle, la Douane des Patates ayant le ratio de rejet-traitement le plus élevé.","Kvóták minden ellenőrzőpontnál, a Krumpli Vám rendelkezik a legmagasabb elutasítás-feldolgozás aránnyal.","Kuota untuk setiap pos pemeriksaan, dengan Bea Cukai Kentang memiliki rasio penolakan-ke-pemrosesan tertinggi.","Quote per ogni posto di blocco, con la Dogana delle Patate che ha il più alto rapporto di rifiuto-lavorazione.","Quota voor elk controlepunt, waarbij de Aardappeldouane de hoogste afwijzing-verwerkingsratio heeft.","Kvoter for hvert kontrollpunkt, med Potet Toll som har det høyeste avvisning-til-bearbeiding-forholdet.","Kwoty dla każdego punktu kontrolnego, z Urzędem Celnym Ziemniaków mającym najwyższy wskaźnik odrzucenia do przetworzenia.","Cotas para cada posto de controle, com a Alfândega de Batatas tendo a maior proporção de rejeição para processamento.","Cote pentru fiecare punct de control, Vama Cartofilor având cel mai mare raport de respingere-la-procesare.","Kvóty pre každý kontrolný bod, pričom Zemiakový colný úrad má najvyšší pomer odmietnutia k spracovaniu.","Kvoter för varje kontrollpunkt, med Potatis Tullen som har den högsta avvisning-till-bearbetning-kvoten.","Her kontrol noktası için kotalar, Patates Gümrüğü'nün en yüksek ret-işleme oranına sahip olduğu.","Hạn ngạch cho mỗi trạm kiểm soát, với Hải quan Khoai tây có tỷ lệ từ chối-đến-xử lý cao nhất.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio.","Quotas for each checkpoint, with Spud Customs having the highest rejection-to-processing ratio."
