keys,ko
Character/173/name,라디오 아나운서
Character/174/name,머피
Character/175/name,내레이터
Character/176/name,조용한 감자
Character/177/name,걱정하는 감자
Character/178/name,고대 감자
Character/179/name,You
Character/17a/name,아이다호 총리
Character/17b/name,저항군 지도자
Character/17c/name,불신하는 저항군 대원
Character/17d/name,뻔뻔한 저항군 대원
Character/17e/name,보안국장
Character/17f/name,보안 요원
Character/180/name,스퍼드 매셔슨
Character/181/name,러스셋 감독관
Character/181/nicknames,"러스,러스셋,러스셋 감독관"
Character/182/name,고구마 사샤
Character/183/name,초조한 여행자
Character/184/name,빅토르
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
