keys,fi
Character/173/name,Radiojuontaja
Character/174/name,Virkaveli
Character/175/name,Kertoja
Character/176/name,Hiljainen peruna
Character/177/name,Huolestunut peruna
Character/178/name,Muinainen peruna
Character/179/name,Sinä
Character/17a/name,Pääministeri Idaho
Character/17b/name,Vastarintaliikkeen johtaja
Character/17c/name,Epäluuloinen vastarintaliikkeen jäsen
Character/17d/name,Röyhkeä vastarintaliikkeen jäsen
Character/17e/name,Turvallisuuspäällikkö
Character/17f/name,Turvallisuusvirkailija
Character/180/name,Peruna Survoja
Character/181/name,Esimies Russet
Character/181/nicknames,"Russ,Russet,Esimies Russet"
Character/182/name,Bataatti Sasha
Character/183/name,Hermostunut matkustaja
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
