keys,th
Text/265/text,กะทำงานสิ้นสุดลงในความเงียบที่น่าอึดอัด การลาดตระเวนรักษาความปลอดภัยเพิ่มขึ้นเป็นสองเท่า ทุกคนเคลื่อนไหวด้วยเสียงกระซิบ
Text/266/text,คุณกำลังมุ่งหน้าไปยังที่พักของคุณเมื่อคุณได้ยินเสียงนั้น - [color=YELLOW]เสียงตะโกนจากปีกอาคารของเจ้าหน้าที่[/color]
Text/267/text,คุณเลี้ยวหัวมุมไปเห็นกองกำลังรักษาความปลอดภัย [pulse freq=3][color=RED]กำลังพังประตูห้องของซาช่า[/color][/pulse]
Text/268/text,เสียงของหัวหน้ายูคอนดังกึกก้อง ซาช่า มันหวาน! คุณถูกจับกุมในข้อหา [color=CRIMSON]กบฏต่อประเทศสปัด![/color]
Text/269/text,ซาช่าถูกลากออกมา เธอขัดขืน ดวงตาของเธอดื้อรั้นแม้ว่ายามจะบิดแขนเธอไปด้านหลัง
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]ความจริงจะปรากฏ! พวกแกปิดปากพวกเราทุกคนไม่ได้หรอก![/color][/tornado]
Text/26b/text,สายตาของเธอพบคุณในฝูงชนที่มุงดู เวลาดูเหมือนจะหยุดนิ่ง
Text/26c/text,การรับรู้... แล้ว [color=CRIMSON]ความเข้าใจที่ทำลายล้าง[/color] คุณทรยศบอกที่อยู่ของเธอ เธอรู้
Text/26d/text,เธอไม่พูด แววตานั้นก็เพียงพอแล้ว [color=STEEL_BLUE]ความผิดหวังที่ลึกซึ้งกว่าความเกลียดชัง[/color]
Text/26e/text,แสงริบหรี่บางอย่าง - [color=CHARTREUSE]ความหวัง? ความเชื่อใจ?[/color] - ปรากฏขึ้นบนใบหน้าของเธอ
Text/26f/text,"ริมฝีปากของเธอขยับอย่างเงียบงัน: ""[color=CHARTREUSE]รากหยั่งลึก[/color]"" ข้อความ. เครื่องเตือนใจ."
Text/270/text,รัสเซ็ตต์ปรากฏตัวออกมาจากเงามืด ความพึงพอใจแผ่ซ่านออกมาจากทุกรูขุมขน
Text/271/text,แหมๆ [color=CRIMSON]มันหวานกลายเป็นเปรี้ยว[/color] ฉันรู้อยู่แล้วว่ามีบางอย่างเน่าเฟะในตัวเธอ ซาช่า
Text/272/text,"รัสเซ็ตต์ชูแฟ้มขึ้นมา [color=DARK_VIOLET]เอกสารประกาศ[/color]เล็กๆ น้อยๆ ของเธอ ""หลักฐาน"" ของเธอ กู้คืนมาได้ทั้งหมดแล้ว"
Text/273/text,เธอคิดจริงๆ หรือว่าจะบ่อนทำลาย [pulse freq=2][color=DARK_VIOLET]รากสำรอง[/color][/pulse]? บ่อนทำลายฉันงั้นหรือ?
Text/274/text,สำเนาแพร่ออกไปแล้ว รัสเซ็ตต์ โลกจะได้รู้ว่าแกทำอะไรกับคนของเรา!
Text/275/text,รัสเซ็ตต์หัวเราะอย่างเย็นชา พวกมันจะรู้ในสิ่งที่เราบอกพวกมัน แล้วเธอละ? เธอจะได้เป็นส่วนหนึ่งของ [color=CRIMSON]ชุดพิเศษมาก[/color]
Text/276/text,"""[color=DARK_VIOLET]ส่วนผสมของกบฏ[/color]"" - ฉันว่ามันฟังดูดีนะ"
Text/277/text,หัวใจของคุณเต้นรัว ทุกสัญชาตญาณกรีดร้องให้ทำอะไรบางอย่าง แต่ยามอยู่ทุกหนทุกแห่ง
Choice/278/text,ก้าวไปข้างหน้าและเรียกร้องให้ปล่อยเธอ (บ้าระห่ำ)
Choice/279/text,ซ่อนตัวอยู่ - เพื่อมีชีวิตอยู่สู้ในวันหน้า (ปฏิบัติได้จริง)
Choice/27a/text,สบตาซาช่าแล้วพยักหน้า - คำสัญญา (ความมุ่งมั่น)
Text/27b/text,"คุณฝ่าฝูงชนออกไป ""[color=CHARTREUSE]เดี๋ยว! เธอไม่ได้ทำอะไรผิด![/color]"""
Text/27c/text,"หัวหน้ายูคอนหันขวับมาทางคุณ ""[color=RED]จับคนนั้นด้วย![/color] เป็นผู้สมรู้ร่วมคิดอย่างชัดเจน!"""
Text/27d/text,"เมอร์ฟีกระชากคุณไว้ ดึงคุณกลับมา ""[color=STEEL_BLUE]พวกมันสับสนในความวุ่นวาย! หนีไป![/color]"""
Text/27e/text,Murphy ผลักคุณไปทางเดินด้านข้าง ขณะที่ยามเข้ามาประชิดตำแหน่งของคุณ
Text/27f/text,"ยามจับตัวคุณ รัสเซ็ตยิ้มกว้างขึ้น ""[color=CRIMSON]คนทรยศสองคนในราคาคนเดียว[/color]"""
Text/280/text,คุณหดตัวกลับเข้าไปในเงามืด เกลียดตัวเองเข้ากระดูกดำ [color=STEEL_BLUE]ไอ้ขี้ขลาด[/color]
Text/281/text,แต่ยังมีชีวิตอยู่ และเป็นอิสระ ในตอนนี้
Text/282/text,คุณสบตากับซาช่า พยักหน้าช้าๆ อย่างจงใจ [color=CHARTREUSE]ฉันจะไปช่วยเธอ[/color]
Text/283/text,เธอเห็น รอยยิ้มจางๆ แล้วเธอก็ถูกลากไปรอบมุม หายไป
Text/284/text,เขาพบคุณท่ามกลางความโกลาหล ใบหน้าของเขาไร้อารมณ์ แต่ดวงตาของเขาลุกโชน
Text/285/text,พวกเขาพาเธอไปที่ [color=CRIMSON]ปีกประมวลผล[/color] ชั้นใต้ดิน 3 นั่นคือที่ที่พวกเขาพาภรรยาของฉันไป
Text/286/text,เขายัดบางสิ่งใส่มือคุณ - [color=GOLD]บัตรคีย์การ์ดรักษาความปลอดภัย[/color]
Text/287/text,เมื่อถึงเวลา... [color=CHARTREUSE]ฉันจะแกล้งทำเป็นไม่เห็น[/color] เพื่อภรรยาของฉัน เพื่อพวกเขาทุกคน
Text/288/text,เมอร์ฟี่ดึงคุณเข้าไปในห้องเก็บของ หายใจหอบ
Text/289/text,นี่แหละ นี่มัน [color=CRIMSON]กำลังเกิดขึ้นจริง[/color] พวกเขาจับซาช่าได้แล้ว พวกเขาจะประมวลผลเธอภายในเช้า
Text/28a/text,นั่นมัน [color=STEEL_BLUE]โง่[/color] กล้าหาญ แต่โง่ ตอนนี้คุณอยู่ในรายชื่อของพวกเขาแล้ว
Text/28b/text,กลุ่มต่อต้านกำลังวางแผนบางอย่าง พรุ่งนี้ นี่เป็นโอกาสเดียวของเราที่จะช่วยเธอ
Text/28c/text,คุณจะเข้าร่วมไหม? [color=CHARTREUSE]เอาจริงเหรอ?[/color]
Choice/28d/text,เต็มที่เลย ไม่ว่าจะต้องทำอะไรก็ตามเพื่อช่วยซาช่า
Choice/28e/text,ฉันต้องคิดก่อน นี่มันเร็วเกินไป
Text/28f/text,เมอร์ฟี่จับไหล่คุณ [color=CHARTREUSE]งั้นเราจะเคลื่อนไหวตอนรุ่งสาง รากมันลึก[/color]
Text/290/text,ใบหน้าของเมอร์ฟี่แข็งกร้าวขึ้น คิดเร็วเข้า ภายในพรุ่งนี้เวลานี้ เธอจะกลายเป็น [color=DARK_VIOLET]หัวเชื้อสำรอง[/color]
Text/291/text,คุณนอนไม่หลับ จ้องมองเพดาน ใบหน้าของซาช่า ความท้าทายของเธอ ความกลัวของเธอ
Text/292/text,คุณหยิบรูปถ่ายภรรยาที่หายไปออกมา อีกใบหน้าที่คุณช่วยไว้ไม่ได้
Text/293/text,[color=CHARTREUSE]ไม่ใช่ครั้งนี้[/color]
Text/294/text,ภายในพรุ่งนี้ ทุกสิ่งจะเปลี่ยนไป ไม่ทางใดก็ทางหนึ่ง
Text/295/text,[pulse freq=2][color=YELLOW]จะไม่มีการยืนดูอยู่เฉยๆ อีกแล้ว[/color][/pulse]
Text/296/text,"ห้องขังเย็นยะเยือก ทะลุกำแพง คุณได้ยินเสียงซาช่าที่ไหนสักแห่ง กำลัง ""ถูกสอบสวน"""
Text/297/text,พรุ่งนี้ พวกมันบอกว่า พวกแกสองคนจะถูก [color=DARK_VIOLET]ดำเนินการ[/color] พร้อมกัน
Text/298/text,เว้นแต่ว่ากองกำลังต่อต้านจะมา เว้นแต่ว่าจะมีใครมาช่วยพวกแกสองคน
Text/299/text,[color=STEEL_BLUE]ค่ำคืนที่ยาวนานที่สุดในชีวิตของแกกำลังทอดยาวอยู่เบื้องหน้า[/color]
Choice/278/disabled_text,
Choice/279/disabled_text,
Choice/27a/disabled_text,
Choice/28d/disabled_text,
Choice/28e/disabled_text,
