keys,sk
Character/173/name,Rozhlasový hlásateľ
Character/174/name,Kolega dôstojník
Character/175/name,Rozprávač
Character/176/name,Tichý zemiak
Character/177/name,Znepokojený zemiak
Character/178/name,Prastarý zemiak
Character/179/name,Ty
Character/17a/name,Premiér Idaho
Character/17b/name,Vodca odboja
Character/17c/name,Nedôverčivý člen odboja
Character/17d/name,Drzý člen odboja
Character/17e/name,Šéf bezpečnosti
Character/17f/name,Bezpečnostný dôstojník
Character/180/name,Zemiak Kašovič
Character/181/name,Dozorca Russet
Character/181/nicknames,"Russ,Russet,Dozorca Russet"
Character/182/name,Sladký zemiak Sasha
Character/183/name,Nervózny cestovateľ
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
