keys,ja
Text/200/text,やあ、新入りポテト！大変なシフトだったな？俺はマーフィーだ。ここにきて３シーズンになる。
Text/201/text,さっきサーシャと話してるのを見たよ。彼女は…[color=STEEL_BLUE]ちょっと変わってる[/color]な。いい意味で、だと思うけど。
Choice/202/text,いい人みたいですね。気を引き締めるようにって、いくつかアドバイスをくれました。
Choice/203/text,ただの自己紹介です。特に何も。
Text/204/text,マーフィーは神経質そうに周りを見回す。ああ…
Text/205/text,ここだけの話だが？あの「行方不明のポテト」に関するラジオ放送…俺のいとこも先月行方不明になったんだ。検査に落ちてな。
Text/206/text,賢いな。目立たず、自分の仕事をこなす。毎日自分に言い聞かせていることだ。
Text/207/text,マーフィーの声が小さくなる。だが、あの不合格になったポテトたちが、一体どこへ行くのか、時々考えるんだ…
Text/208/text,カフェテリアにて
Text/209/text,あなたは、とろりとした紫褐色のペーストを見つめる。誰もが何の疑問も抱かずにそれを食べている。栄養満点のはずだ。
Choice/20a/text,皆と同じように根菜保存食を食べる
Choice/20b/text,それを脇に押しやる――食欲がない
Text/20c/text,その味は…土っぽい。濃厚だ。どこか[color=STEEL_BLUE]不気味なほど馴染み深い[/color]感じがするが、なぜそう感じるのかは分からない。
Text/20d/text,上級士官がそれに気づく。「無駄にするな、新米。それはな、[pulse freq=2][color=DARK_VIOLET]最高級の栄養[/color][/pulse]なんだぞ。」
Text/20e/text,あなたは胃の調子が悪いと言い訳を呟く。士官は肩をすくめて立ち去る。
Text/20f/text,自室に戻ると、サーシャの言葉が頭から離れない。「[color=YELLOW]すべてが見た目通りとは限らない。[/color]」
Text/210/text,初日、あなたはラセットに不合格になったポテトについて尋ねた。彼の返答は曖昧だった。「[color=VIOLET]処理される。規定通りに。[/color]」
Text/211/text,一体[color=STEEL_BLUE]どうやって[/color]処理されるというのか？
Text/212/text,あなたは奉仕することに熱心だった。選ばれたことを誇りに思っていた。しかし、その誇りでは[color=CRIMSON]行方不明のポテト[/color]を説明できない。
Text/213/text,ラジオは行方不明の報告が「続いている」と報じた。それは、それがしばらく前から起こっていることを意味する。
Text/214/text,眠りはゆっくりと訪れる。そして眠りに落ちると、あなたは検問所の地下を流れる[wave amp=15 freq=2][color=DARK_VIOLET]紫色の川[/color][/wave]を夢に見る。
Choice/202/disabled_text,
Choice/203/disabled_text,
Choice/20a/disabled_text,
Choice/20b/disabled_text,
