keys,ru
Text/86/text,Сегодня новые протоколы безопасности. Мы получили разведданные о [color=YELLOW]подозрительной деятельности[/color].
Text/87/text,Все путешественники должны пройти усиленные процедуры проверки.
Text/88/text,"Обращайте внимание на [color=YELLOW]нервное поведение, необычные манеры или нежелание смотреть в глаза[/color]."
Text/89/text,"Все подозрительные предметы должны быть конфискованы и зафиксированы. Для безопасности Спуда, конечно."
Text/8a/text,"Нас особенно беспокоят [color=CRIMSON]запрещённые материалы[/color] — антиправительственная литература, фотооборудование..."
Text/8b/text,"Их голос зловеще понижается. ""[pulse freq=2][color=DARK_VIOLET]У нас есть особые процедуры для таких лиц.[/color][/pulse]"""
Text/8c/text,"Грузовики [wave amp=15 freq=2][color=DARK_VIOLET]Корневого Резерва[/color][/wave] разгружают ящики с надписью ""Премиум Резерв"" в столовую. Запах заманчив, но ваш желудок сжимается."
Text/8d/text,Ты пробовал новый Премиум Резерв? Мой двоюродный брат исчез в прошлом месяце. Не прошёл проверку.
Text/8e/text,"Может, он часть этой партии, а? [tornado radius=2 freq=2][color=STEEL_BLUE]Чёрный юмор, понимаешь?[/color][/tornado]"
Choice/8f/text,"""Это не смешно. Совсем."""
Choice/90/text,"""Я не голоден. Извините."" (Уйти)"
Text/91/text,"Ты прав. Иногда шутить легче, чем думать о [pulse freq=3][color=CRIMSON]том, что на самом деле происходит[/color][/pulse]."
Text/92/text,"Офицер смотрит, как вы уходите. ""Эй, я понимаю. Я тоже потерял аппетит..."""
Text/93/text,"Удобное время для новых протоколов безопасности, не так ли? [wave amp=15 freq=3][color=YELLOW]Они пытаются остановить распространение информации о Корневом Резерве.[/color][/wave]"
Text/94/text,"У меня есть кое-что, что может нам помочь. Некоторые картофелины с [color=CHARTREUSE]жизненно важной информацией заслуживают того, чтобы пройти[/color]."
Text/95/text,Вы тщательно обдумываете свои варианты. Сегодняшний выбор может помочь [color=CHARTREUSE]распространить правду[/color]... или [color=CRIMSON]заглушить её навсегда[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
