keys,el
Text/131/text,"Κρύβεσαι καθώς η μάχη μαίνεται. Συγγνώμη, Σάσα. [color=STEEL_BLUE]Δεν είμαι τόσο γενναίος όσο εσύ[/color]."
Text/132/text,"""Η [color=CRIMSON]τρομοκρατική επίθεση[/color] αποκρούστηκε! Οι αρχηγοί [color=DARK_VIOLET]υποβάλλονται σε επεξεργασία[/color] αυτή τη στιγμή."""
Text/133/text,"Ο Αρχηγός Γιούκον σέρνει μέσα μέλη της αντίστασης με αλυσίδες, ανάμεσά τους και τη Σάσα. ""Αυτοί οι [color=CRIMSON]προδότες[/color] θα αντιμετωπίσουν [color=DARK_VIOLET]τελική επεξεργασία[/color]."""
Text/134/text,"Η Σάσα σε κοιτάζει στα μάτια. Παρά τις μελανιές της, το βλέμμα της δεν έχει [wave amp=15 freq=2][color=CHARTREUSE]καμία κρίση, μόνο θλίψη[/color][/wave]."
Text/135/text,"Επιβίωσες κρατώντας χαμηλό προφίλ, αλλά [pulse freq=3][color=GOLD]με τι κόστος;[/color][/pulse] Καθώς η παραγωγή [color=DARK_VIOLET]Root Reserve[/color] αναδύεται από το εργοστάσιο, σου ανακατεύεται το στομάχι."
Text/136/text,Ίσως υπάρχει ακόμα μια ευκαιρία από μέσα. Ή ίσως απλώς καθησυχάζεις τη συνείδησή σου.
Text/137/text,[tornado radius=3 freq=2][color=CHARTREUSE]Εγκαταλείπεις τη θέση σου[/color][/tornado] και τρέχεις προς τη μάχη. Ο καιρός για προσοχή τελείωσε.
Text/138/text,[pulse freq=3][color=GOLD]Απόδειξε ότι είσαι μαζί μας![/color][/pulse] Πώς γνωρίζεις τη Σάσα;
Text/139/text,"[color=CHARTREUSE]Οι ρίζες είναι βαθιές![/color] Είμαι από το σημείο ελέγχου, η Σάσα με στρατολόγησε!"
Text/13a/text,Την πηγαίνουν στο εργοστάσιο επεξεργασίας αυτή τη στιγμή. Πρέπει να βιαστούμε!
Text/13b/text,"Οι πόρτες ανοίγουν με πάταγο, αποκαλύπτοντας την [wave amp=25 freq=3][color=CRIMSON]τρομακτική αλήθεια[/color][/wave] - μηχανές άλεσης, μεταφορικές ταινίες που μεταφέρουν πατάτες στην καταστροφή τους."
Text/13c/text,Στο τέλος μιας ταινίας - η Σάσα και άλλοι [color=CRIMSON]δεμένοι ανήμποροι[/color]. Ο Επόπτης Ράσετ στέκεται στα χειριστήρια.
Text/13d/text,[color=RED]ΕΣΥ![/color] Έπρεπε να το είχα καταλάβει ότι ήσουν ένας από αυτούς! Κάνε πίσω αλλιώς ξεκινάω τον επεξεργαστή!
Text/140/text,"[color=STEEL_BLUE]Ο αρχηγός της αντίστασης προχωρά, με το όπλο στραμμένο στον Ράσετ.[/color] Ούτε ένα βήμα παραπάνω, Ράσετ. Τα χέρια σου εκεί που μπορώ να τα δω."
Text/141/text,"[color=CRIMSON]Τα μάτια του Ράσετ πηγαινοέρχονται ανάμεσα σε σένα και τον αρχηγό της αντίστασης, με τον ιδρώτα να κυλά στο μέτωπό του.[/color] Νομίζεις ότι κέρδισες; Αυτή η εγκατάσταση είναι το θεμέλιο του Spud!"
Text/142/text,Το θεμέλιο του πόνου. [pulse freq=3][color=CHARTREUSE]Τελειώνει σήμερα.[/color][/pulse]
Text/143/text,[color=STEEL_BLUE]Η Σάσα παλεύει να λυθεί από τα δεσμά της πάνω στη μεταφορική ταινία[/color]
Choice/144/text,"[tornado radius=3 freq=2][color=CRIMSON]""Ράσετ[/color]"
Choice/145/text,"[wave amp=15 freq=2][color=STEEL_BLUE]""Αυτό... αυτό έκαναν; Είναι χειρότερο απ' ό,τι φανταζόμουν...""[/color][/wave]"
Choice/146/text,"[color=CHARTREUSE]""Σάσα! Ευχαριστώ τις ρίζες που ζεις! Κράτα γερά[/color]"
Text/147/text,"[color=CRIMSON]Ορμάς προς τον Ράσετ, με τις γροθιές σου σφιγμένες, μετά βίας συγκρατούμενος από τους μαχητές της αντίστασης.[/color] Κάθε πατάτα που πέρασε από το σημείο ελέγχου μου... πόσες..."
Text/148/text,Ηρέμησε! Τον χρειαζόμαστε ζωντανό για να καταθέσει. [color=STEEL_BLUE]Ο αρχηγός κρατά το όπλο του στραμμένο στον Ράσετ.[/color] Κράτα τον θυμό σου για τα δικαστήρια.
Text/149/text,"[color=STEEL_BLUE]Κάνεις πίσω παραπατώντας, με το χέρι σου να καλύπτει το στόμα σου, συνειδητοποιώντας την πλήρη φρίκη των μηχανημάτων.[/color] Σφράγισα τα χαρτιά τους... Τους έστειλα εδώ..."
Text/14a/text,[color=CHARTREUSE]Δεν ήξερες. Κανείς μας δεν ήξερε.[/color] Γι' αυτό είμαστε εδώ τώρα. Συγκεντρώσου!
Text/14b/text,[color=CHARTREUSE]Ορμάς προς τη μεταφορική ταινία[/color]
Text/14c/text,[color=CHARTREUSE]Τα μάτια της Σάσα λάμπουν με δάκρυα και ελπίδα καθώς τα χέρια σου λύνουν τους κόμπους.[/color] Ήξερα ότι θα ερχόσουν. Ποτέ δεν σε αμφέβαλα.
Text/14d/text,[color=STEEL_BLUE]Ο αρχηγός αναγκάζει τον Ράσετ να γονατίσει υπό την απειλή όπλου.[/color] Δέστε τον. Βεβαιωθείτε ότι θα δει τι θα ακολουθήσει.
Text/13e/text,"[color=CHARTREUSE]Απελευθερωμένη από τα δεσμά της, η Σάσα δεν χάνει χρόνο, ανακατευθύνοντας τις κάμερες της εγκατάστασης.[/color] [color=YELLOW]Άνθρωποι της Πατάτας! Αυτό είναι το Root Reserve! Μας τάιζαν ο ένας τον άλλον![/color]"
Text/14e/text,"[color=CHARTREUSE]Η Σάσα παίρνει το χέρι σου, συμπλέκοντας τα δάχτυλά της με τα δικά σου.[/color] Επέστρεψες για μένα. Ό,τι κι αν συμβεί μετά... θα το αντιμετωπίσουμε μαζί."
Text/14f/text,"[color=STEEL_BLUE]Η Σάσα σε παρακολουθεί προσεκτικά, βλέποντας την οργή να καίει ακόμα στα μάτια σου.[/color] Διοχέτευσε αυτή τη φωτιά. Θα τη χρειαστούμε για ό,τι ακολουθήσει."
Text/150/text,[color=STEEL_BLUE]Η Σάσα ακουμπά ένα απαλό χέρι στον ώμο σου.[/color] Η ενοχή δεν είναι δική σου να τη φέρεις. Είσαι εδώ τώρα. Αυτό είναι που μετράει.
Text/13f/text,[color=CHARTREUSE]Τα καταφέραμε. Η αλήθεια είναι πλέον εκεί έξω.[/color] Έχουμε ένα μέλλον να χτίσουμε!
Choice/144/disabled_text,
Choice/145/disabled_text,
Choice/146/disabled_text,
