keys,el
Text/215/text,"Ο Μέρφι σε πιάνει στον διάδρομο, με κοκκινισμένα μάτια. Έχεις ένα λεπτό;"
Text/216/text,Ο Μέρφι σε τραβάει σε μια άδεια αποθήκη και κλείνει την πόρτα.
Text/217/text,Αυτό το αστείο που έκανα στην καφετέρια... για το ότι ο ξάδερφός μου ήταν στην παρτίδα [color=DARK_VIOLET]Αποθέματος Ρίζας[/color]...
Text/218/text,Η φωνή του Μέρφι σπάει. Δεν νομίζω ότι ήταν πια αστείο.
Text/219/text,Είπες ότι δεν ήταν αστείο. Είχες δίκιο. [color=STEEL_BLUE]Τίποτα από όλα αυτά δεν είναι αστείο.[/color]
Text/21a/text,"Σε είδα να φεύγεις. Έξυπνο. Μακάρι να μπορούσα να σταματήσω να τρώω αυτά τα πράγματα, αλλά αυτοί [color=YELLOW]παρακολουθούν[/color]. Πάντα παρακολουθούν."
Text/21b/text,"Βρήκα κάτι στα πράγματα του ξαδέρφου μου. Το έντυπο απόρριψής του. Συνηθισμένα πράγματα, αλλά..."
Text/21c/text,"Ο Μέρφι βγάζει ένα τσαλακωμένο έντυπο. Κοίτα τον κωδικό επεξεργασίας. ""[color=CRIMSON]RR-UTIL-7[/color]."""
Text/21d/text,Το έψαξα στα αρχεία. Το RR σημαίνει [pulse freq=2][color=DARK_VIOLET]Απόθεμα Ρίζας[/color][/pulse]. Το UTIL σημαίνει... [color=CRIMSON]αξιοποίηση[/color].
Text/21d_breakdown1/text,[wave amp=20 freq=3]Τα χέρια του Μέρφι αρχίζουν να τρέμουν.[/wave] Ο ξάδερφός μου... ο Τόμι... ήταν μόλις είκοσι τριών.
Text/21d_breakdown2/text,Ήρθε εδώ για μια [color=CHARTREUSE]καλύτερη ζωή[/color]. Απέτυχε σε έναν έλεγχο. Έναν. [color=STEEL_BLUE]Απλά κακή συγκυρία.[/color]
Text/21d_breakdown3/text,"Ο Μέρφι γλιστράει στον τοίχο, με το πρόσωπο στα χέρια του. Και εγώ... εγώ [tornado radius=3 freq=2][color=CRIMSON]ΕΦΑΓΑ[/color][/tornado] αυτά τα πράγματα. Κάθε μέρα."
Text/21d_breakdown4/text,"Ο Μέρφι σε κοιτάζει, με δάκρυα να τρέχουν. [pulse freq=2][color=CRIMSON]Τι κι αν τον έφαγα ΕΓΩ;[/color][/pulse]"
Choice/21e/text,Μέρφι... Λυπάμαι τόσο πολύ. Είμαι μαζί σου. Θα βρούμε την αλήθεια μαζί.
Choice/21f/text,"Μέρφι, αυτό είναι επικίνδυνο. Πρέπει να μείνουμε μακριά."
Choice/220/text,Ίσως είναι σύμπτωση. Ας μην βγάζουμε βιαστικά συμπεράσματα.
Text/221_comfort1/text,"Γονατίζεις δίπλα στον Μέρφι, βάζοντας ένα χέρι στον ώμο του."
Text/221/text,Ο Μέρφι αρπάζει το χέρι σου σαν σωσίβιο. [color=CHARTREUSE]Σε ευχαριστώ.[/color] Νόμιζα ότι τρελαινόμουν.
Text/221_tommy/text,[color=STEEL_BLUE]Η φωνή του σταθεροποιείται ελαφρώς.[/color] Για τον Τόμι. Το κάνουμε αυτό για τον Τόμι. Και για όλους τους άλλους που έχουν πάρει.
Text/222/text,Υπάρχουν κι άλλοι που υποψιάζονται. Η Σάσα μαζεύει κόσμο. Νομίζω ότι σε εμπιστεύεται.
Text/223/text,"Ο Μέρφι σκουπίζει τα μάτια του, προσπαθώντας να συνέλθει. Ναι. Ναι, μάλλον έχεις δίκιο. Ξέχνα ότι είπα οτιδήποτε."
Text/224/text,Αλλά αν αλλάξεις γνώμη... Θα είμαι εδώ. [color=STEEL_BLUE]Μόνος με τις ερωτήσεις μου. Και τους εφιάλτες μου.[/color]
Text/225/text,Σύμπτωση. Ο Μέρφι γελάει πικρά μέσα από τα δάκρυά του. Βέβαια. Και ο Τόμι απλά [color=CRIMSON]εξαφανίστηκε[/color] στον αέρα.
Text/226/text,Συνέχισε να το λες στον εαυτό σου. Δες πόσο καιρό θα σε βοηθήσει να κοιμηθείς. [color=STEEL_BLUE]Εμένα δεν με βοηθάει.[/color]
Text/227/text,Η Σάσα εμφανίζεται στο θάλαμό σου καθώς τελειώνει η τελευταία βάρδια. Φαίνεσαι σαν να έχεις δει φάντασμα.
Text/228/text,Να μαντέψω - Ο Μέρφι σου είπε για τον ξάδερφό του;
Text/229/text,Η Σάσα γνέφει καταφατικά. Καλό. Χρειαζόμαστε ανθρώπους που κάνουν ερωτήσεις.
Text/22a/text,Η Σάσα μελετά προσεκτικά το πρόσωπό σου. Φοβάσαι. Αυτό είναι έξυπνο. Αλλά ο φόβος δεν θα σώσει κανέναν.
Text/22b/text,Σε παρακολουθώ από την πρώτη σου μέρα. Τον τρόπο που [color=YELLOW]διστασες[/color] όταν ο Ράσετ μιλούσε για «επεξεργασία».
Text/22c/text,Ρώτησες τι συμβαίνει στις απορριφθείσες πατάτες. Αυτό ήθελε κότσια. [color=CHARTREUSE]Οι περισσότεροι απλά χαιρετούν και σφραγίζουν.[/color]
Text/22d/text,Η Σάσα σκύβει πιο κοντά. Υπάρχει ένα μοτίβο. Κάθε πατάτα που απορρίπτουμε; Εξαφανίζεται μέσα σε 48 ώρες. Καθόλου αρχεία απέλασης. Καθόλου μεταφορές.
Text/22e/text,Αλλά η παραγωγή του [color=DARK_VIOLET]Αποθέματος Ρίζας[/color]; [tornado radius=3 freq=2][color=CRIMSON]Ανεβαίνει.[/color][/tornado] Κάθε. Μα. Κάθε. Φορά.
Choice/22f/text,Σε πιστεύω. Πώς μπορώ να βοηθήσω;
Choice/230/text,Πρέπει να δω αποδείξεις πριν ρισκάρω τα πάντα.
Text/231/text,"Τα μάτια της Σάσα λάμπουν. Ήξερα ότι διάλεξα σωστά. Αύριο το βράδυ, μετά τη βάρδια. Θα σου δείξω τι έχω βρει."
Text/232/text,Μέχρι τότε
Text/233/text,Εντάξει. Οι αποδείξεις έρχονται. Απλά... κράτα τα μάτια σου ανοιχτά κατά τη διάρκεια της αυριανής βάρδιας.
Text/234/text,Παρακολούθησε πού πηγαίνουν οι [color=CRIMSON]απορριφθείσες πατάτες[/color]. Ακολούθησε τα φορτηγά αν μπορείς.
Text/235/text,Βγάζεις τη φωτογραφία που σου έδωσε η απελπισμένη πατάτα. Η σύζυγός της. [color=STEEL_BLUE]Πού είναι τώρα;[/color]
Text/236/text,Αν αυτά που λένε η Σάσα και ο Μέρφι είναι αλήθεια... έχει ήδη...
Text/237/text,Δεν μπορείς να ολοκληρώσεις τη σκέψη. Αλλά [color=CHARTREUSE]δεν θα ξεχάσεις το πρόσωπό της[/color].
Text/238/text,"Αύριο, όλα αλλάζουν. Είτε θα βρεις απαντήσεις, είτε θα θάψεις τις ερωτήσεις για πάντα."
Text/239/text,Ένα πράγμα είναι σίγουρο: δεν υπάρχει [color=YELLOW]επιστροφή στην ευτυχισμένη άγνοια[/color].
Choice/21e/disabled_text,
Choice/21f/disabled_text,
Choice/220/disabled_text,
Choice/22f/disabled_text,
Choice/230/disabled_text,
