keys,es
Text/78/text,"Otro día en el punto de control. La fila de patatas se extiende más larga que nunca, todos están nerviosos."
Text/79/text,Nuevas órdenes desde arriba. [wave amp=15 freq=3][color=DARK_ORANGE]Duplicamos los rechazos[/color][/wave]. Cualquier patata considerada insegura es detenida inmediatamente.
Text/7a/text,Tengo una misión especial. Tenemos información sobre [pulse freq=2][color=CRIMSON]alborotadores[/color][/pulse]. Estén vigilantes en sus inspecciones.
Choice/7b/text,"Sí, señor, no le decepcionaré"
Choice/7c/text,¿De qué tipo de alborotadores estamos hablando?
Text/7d/text,Bien. Sabía que podía contar contigo. Llegarás lejos con esa actitud.
Text/7e/text,Los que [color=CRIMSON]amenazan nuestra forma de vida[/color]. No hagas demasiadas preguntas si sabes lo que te conviene.
Text/7f0/text,"Oye... te pareces mucho a mi hermano."
Text/7f/text,"[color=STEEL_BLUE]¡Por favor, le suplico![/color] Mi esposa debía estar justo detrás de mí, pero [tornado radius=2 freq=3]nunca pasó por la aduana[/tornado]."
Text/80/text,"Nadie me dice qué le ha pasado. Por favor, [color=CHARTREUSE]¡ayúdeme a encontrarla![/color]"
Choice/81/text,"Lo siento, pero no puedo hacer nada."
Choice/82/text,Déjame ver qué puedo averiguar. Sin promesas.
Text/83/text,Como todos los demás... [color=STEEL_BLUE]Que su conciencia pese tanto como la mía.[/color]
Text/84/text,"¡Gracias! Incluso una pequeña esperanza es mejor que ninguna. Aquí está su foto. Por favor, encuéntrela."
Text/85/text,Vi ese intercambio. [color=DARK_ORANGE]Simpatizar con los rechazados solo trae problemas.[/color] Manténgase concentrado en su deber.
Choice/7b/disabled_text,
Choice/82/disabled_text,
Choice/81/disabled_text,
Choice/7c/disabled_text,
Text/7fb/text,"Ella [tornado radius=2 freq=3]nunca pasó por aduanas[/tornado]. Dijeron que sus papeles tenían una ""irregularidad."""
Text/83b/text,La patata desesperada se aleja arrastrando los pies. La ves mirando una foto gastada antes de que desaparezca.
Text/84b/text,"Ella te entrega una [color=GOLD]fotografía gastada[/color]. Su nombre es [color=GOLD]Maris Piper[/color]. Tiene ojos amables. Por favor, encuéntrala."
Text/84c/text,Miras la foto. Una patata joven con rasgos delicados y una sonrisa cálida. [color=GOLD]Maris Piper[/color].
Text/84d/text,¿Adónde fue? La cola de rechazo lleva a... ¿dónde exactamente?
