keys,fi
achievement_unlocked_title,SAAVUTUS AVATTU!
achievements_menu_button,Saavutukset
achievements_progress_format,%d / %d Avattu
achievement_hidden_name,???
achievement_hidden_desc,"Tämä saavutus on piilotettu, kunnes se avataan"
achievement_category_gameplay,Pelaaminen
achievement_category_resistance,Vastarinnan polku
achievement_category_loyalist,Uskollisen polku
achievement_category_character,Hahmojen tarinat
achievement_category_discovery,Löytäminen
achievement_rookie_officer_name,Kokelasvirkailija
achievement_rookie_officer_desc,Suorita ensimmäinen vuorosi rajalla
achievement_veteran_officer_name,Tulliveteraani
achievement_veteran_officer_desc,Suorita 10 vuoroa rajalla
achievement_master_officer_name,Tullin mestari
achievement_master_officer_desc,Suorita 25 vuoroa rajalla
achievement_sharpshooter_name,Tarkka-ampuja
achievement_sharpshooter_desc,Pysäytä 10 rajapakolaista ohjusjärjestelmällä
achievement_border_defender_name,Rajan puolustaja
achievement_border_defender_desc,Pysäytä 50 rajapakolaista ohjusjärjestelmällä
achievement_perfect_shot_name,Täydellinen laukaus
achievement_perfect_shot_desc,Osu 5 täydellistä osumaa rajapakolaisiin
achievement_high_scorer_name,Huippupisteiden saaja
achievement_high_scorer_desc,Saavuta 10 000 pistettä
achievement_score_legend_name,Pistelegenda
achievement_score_legend_desc,Saavuta 50 000 pistettä
achievement_savior_of_spud_name,Perunamaan pelastaja
achievement_savior_of_spud_desc,Suorita tarina ja pelasta kansa
achievement_born_diplomat_name,Syntynyt diplomaatti
achievement_born_diplomat_desc,Saavuta diplomaattinen loppu rauhanomaisten neuvottelujen kautta
achievement_tater_of_justice_name,Oikeuden peruna
achievement_tater_of_justice_desc,Tuo oikeutta korruptoituneille virkamiehille
achievement_best_served_hot_name,Kuumana tarjoiltuna
achievement_best_served_hot_desc,"Kosta niille, jotka tekivät sinulle vääryyttä"
achievement_down_with_tatriarchy_name,Alas perunapatriarkia
achievement_down_with_tatriarchy_desc,Johda vallankumous ja kaada hallinto
achievement_heart_of_stone_name,Kivinen sydän
achievement_heart_of_stone_desc,Pysy kylmänä ja kuuliaisena byrokraattina loppuun asti
achievement_survivor_name,Selviytyjä
achievement_survivor_desc,Tee mitä tahansa selviytyäksesi hallinnosta
achievement_late_bloomer_name,Myöhäinen kukkija
achievement_late_bloomer_desc,Löydä lunastus viime hetkellä
achievement_tommys_legacy_name,Tommyn perintö
achievement_tommys_legacy_desc,Paljasta totuus Tommyn kohtalosta
achievement_elenas_memory_name,Elenan muisto
achievement_elenas_memory_desc,Kunnioita Elenan uhrausta ja muista hänen tarinansa
achievement_the_note_name,Muistiinpano
achievement_the_note_desc,Löydä salainen muistiinpano ja sen piilotettu viesti
achievement_root_of_evil_name,Pahuuden juuri
achievement_root_of_evil_desc,Paljasta korruptio hallinnon ytimessä
achievement_chaos_architect_name,Kaaoksen arkkitehti
achievement_chaos_architect_desc,Syleile kaaosta ja katso maailman palavan
