keys,el
Text/78/text,"Άλλη μια μέρα στο σημείο ελέγχου. Η ουρά με τις πατάτες απλώνεται περισσότερο από ποτέ, με όλους στην τσίτα."
Text/79/text,Νέες εντολές από την κορυφή. [wave amp=15 freq=3][color=DARK_ORANGE]Διπλασιάζουμε τις απορρίψεις[/color][/wave]. Κάθε πατάτα που κρίνεται μη ασφαλής κρατείται αμέσως.
Text/7a/text,Έχω μια ειδική αποστολή. Έχουμε πληροφορίες για [pulse freq=2][color=CRIMSON]ταραχοποιούς[/color][/pulse]. Να είσαι σε εγρήγορση με τους ελέγχους σου.
Choice/7b/text,"""Ναι κύριε, δεν θα σας απογοητεύσω"""
Choice/7c/text,"""Τι είδους ταραχοποιούς εννοούμε;"""
Text/7d/text,Καλώς. Ήξερα ότι μπορούσα να βασιστώ σε σένα. Θα πας μακριά με αυτή τη στάση.
Text/7e/text,Αυτούς που [color=CRIMSON]απειλούν τον τρόπο ζωής μας[/color]. Μην κάνεις πολλές ερωτήσεις αν ξέρεις τι σου γίνεται.
Text/7f/text,"[color=STEEL_BLUE]Σας παρακαλώ, σας ικετεύω![/color] Η γυναίκα μου - το όνομά της είναι [color=GOLD]Μάρις[/color] - υποτίθεται ότι ήταν ακριβώς πίσω μου."
Text/7fb/text,"Δεν [tornado radius=2 freq=3]πέρασε ποτέ από το τελωνείο[/tornado]. Είπαν ότι τα χαρτιά της είχαν μια ""παρατυπία""."
Text/80/text,"Κανείς δεν μου λέει τι της συνέβη. Σας παρακαλώ, [color=CHARTREUSE]βοηθήστε με να τη βρω![/color]"
Choice/81/text,"""Λυπάμαι, αλλά δεν μπορώ να κάνω τίποτα."""
Choice/82/text,"""Αφήστε με να δω τι μπορώ να μάθω. Δεν υπόσχομαι τίποτα."""
Text/83/text,Όπως όλοι οι άλλοι... [color=STEEL_BLUE]Είθε η συνείδησή σου να βαραίνει όσο βαραίνει και η δική μου.[/color]
Text/83b/text,Η απελπισμένη πατάτα απομακρύνεται σέρνοντας τα πόδια της. Παρατηρείς ότι κοιτάζει μια φθαρμένη φωτογραφία πριν εξαφανιστεί.
Text/84/text,Ευχαριστώ! Ακόμα και μια μικρή ελπίδα είναι καλύτερη από το τίποτα.
Text/84b/text,Σου σφίγγει μια [color=GOLD]φθαρμένη φωτογραφία[/color] στα χέρια. Το όνομά της είναι [color=GOLD]Μάρις Πάιπερ[/color]. Έχει ευγενικά μάτια. Σας παρακαλώ βρείτε την.
Text/84c/text,Κοιτάζεις τη φωτογραφία. Μια νεαρή πατάτα με απαλά χαρακτηριστικά και ένα ζεστό χαμόγελο. [color=GOLD]Μάρις Πάιπερ[/color].
Text/84d/text,Πού πήγε; Η ουρά των απορρίψεων οδηγεί... πού ακριβώς;
Text/85/text,Είδα αυτή την ανταλλαγή. [color=DARK_ORANGE]Η συμπάθεια προς τους απορριφθέντες οδηγεί μόνο σε προβλήματα.[/color] Μείνε συγκεντρωμένος στο καθήκον σου.
Choice/7b/disabled_text,
Choice/7c/disabled_text,
Choice/81/disabled_text,
Choice/82/disabled_text,
