keys,ko
Text/102/text,잘 오셨어요. 저항 세력이 [color=CHARTREUSE]점점 강해지고 있어요[/color]. 그 명세서 덕분에 사람들이 진실을 알게 됐어요.
Text/102_foreshadow1/text,"[color=STEEL_BLUE]사샤가 불안한 듯 어깨 너머를 힐끗 본다.[/color] 미안해요, 저... [color=YELLOW]그들이 저를 감시하는 것 같아요.[/color]"
Text/102_foreshadow2/text,루셋이 자꾸 질문을 해요. 퇴근 후에도 저를 따라다니고요. [wave amp=15 freq=2][color=YELLOW]더 조심해야겠어요.[/color][/wave]
Text/102_foreshadow3/text,"사샤, 당분간 몸을 숨기는 게 좋겠어요. 제가 더 위험을 감수할게요."
Text/102_foreshadow4/text,[color=STEEL_BLUE]그녀는 고개를 저으며 억지로 미소 짓는다.[/color] 아니요. 이제 와서 멈출 순 없어요. 루셋은 제가 처리할 수 있어요.
Text/102_foreshadow5/text,게다가... [color=CHARTREUSE]누군가는 당신 같은 새싹들이 문제를 일으키지 않게 지켜봐야죠.[/color]
Text/103/text,"우리 정보원들로부터 이 서류를 입수했어요. 생산 일정, '[color=CRIMSON]재료[/color]' 목록, [color=DARK_SLATE_BLUE]실종자[/color] 명단까지요."
Text/104/text,이건 단순한 식품 보조제 프로그램이 아니에요. 그들은 [color=CRIMSON]감자들을 가공하고 있어요[/color]... 좋은 방식이 아니에요.
Text/105/text,"아이다호 총리 본인의 내부 메모예요. ""[color=DARK_ORANGE]거부된 자산 활용[/color]""을 승인하는 내용이죠."
Text/106/text,"각 검문소별 할당량인데, 스퍼드 세관이 거부율 대비 처리율이 가장 높아요."
Text/106_trucks1/text,하지만 아직 주요 가공 시설이 어디에 있는지 몰라요. 서류에는 운송 코드만 나와 있어요.
Text/106_trucks2/text,[color=DARK_VIOLET]루트 리저브 트럭[/color]들을 계속 지켜보고 있었어요. 매일 밤 03시에 출발해요. 항상 같은 경로로요.
Text/106_trucks3/text,[color=CHARTREUSE]만약 우리가 그들을 따라갈 수 있다면...[/color] 그들이 거부된 감자들을 정확히 어디로 데려가는지 알 수 있을 거예요.
Choice/106_trucks4/text,제가 할게요. 순찰 일정을 알고 있어요.
Choice/106_trucks5/text,위험한데요. 다른 사람이 할 수는 없나요?
