keys,cs
Text/86/text,Nové bezpečnostní protokoly dnes. Obdrželi jsme zpravodajské informace o [color=YELLOW]podezřelých aktivitách[/color].
Text/87/text,Všichni cestující musí projít rozšířenými postupy kontroly.
Text/88/text,"Sledujte [color=YELLOW]nervózní chování, neobvyklé způsoby nebo neochotu navázat oční kontakt[/color]."
Text/89/text,"Všechny podezřelé předměty musí být zabaveny a zaznamenány. Pro bezpečnost Spuda, samozřejmě."
Text/8a/text,"Máme zvláštní obavy z [color=CRIMSON]zakázaných materiálů[/color] - protivládní literatura, fotografické vybavení..."
Text/8b/text,"Jejich hlas klesá hrozivě. ""[pulse freq=2][color=DARK_VIOLET]Máme speciální postupy pro tyto jedince.[/color][/pulse]"""
Text/8c/text,"[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] nákladní vozy vykládají bedny označené ""Premium Reserve"" do jídelny. Vůně je lákavá, ale žaludek se vám obrací."
Text/8d/text,Zkusili jste nový Premium Reserve? Můj bratranec zmizel minulý měsíc. Neprosadil se kontrolou.
Text/8e/text,"Možná je součástí této várky, co? [tornado radius=2 freq=2][color=STEEL_BLUE]Černý humor, víte?[/color][/tornado]"
Choice/8f/text,To není vtipné. Vůbec ne.
Choice/90/text,Nemám hlad. Omlouvám se. (Odejít)
Text/91/text,"Máte pravdu. Někdy je snadnější žertovat než přemýšlet o [pulse freq=3][color=CRIMSON]tom, co se možná skutečně děje[/color][/pulse]."
Text/92/text,"Důstojník vás sleduje, jak odcházíte. ""Chápu to. Také jsem ztratil chuť k jídlu..."""
Text/93/text,"Příhodný čas pro nové bezpečnostní protokoly, že? [wave amp=15 freq=3][color=YELLOW]Snaží se zastavit informace o Root Reserve.[/color][/wave]"
Text/94/text,"Mám něco, co by nám mohlo pomoci. Některé brambory s [color=CHARTREUSE]důležitými informacemi si zaslouží projít[/color]."
Text/95/text,Pečlivě zvažujete své možnosti. Dnešní volby by mohly pomoci [color=CHARTREUSE]šířit pravdu[/color]... nebo ji [color=CRIMSON]navždy umlčet[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
