keys,cs
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - POZNÁMKY K AKTUALIZACI
patch_1_2_0_personal_note_header,OSOBNÍ ZPRÁVA OD VÝVOJÁŘE
patch_1_2_0_personal_note,"Tato aktualizace je věnována mému maličkému, které strávilo první měsíce života na JIP pro novorozence - z 1 libry při narození na nynějších 20 liber čisté radosti. Děkuji všem, kteří se k této cestě připojili - více než 2 000 hráčů nyní zažilo Spud Customs!"
patch_1_2_0_visual_header,VIZUÁLNÍ VYLEPŠENÍ
patch_1_2_0_visual_1,Integrace animované grafiky: Do úvodních scén byly integrovány nové animované GIFy od StagNation
patch_1_2_0_visual_2,"Přepracování grafiky: Překresleno prvních pět scén, které hráči vidí, pro zlepšení vizuální kvality"
patch_1_2_0_visual_3,Dynamická pozadí: Vizuály pozadí se nyní mění s rostoucí obtížností
patch_1_2_0_story_header,PŘÍBĚH A VYPRÁVĚNÍ
patch_1_2_0_story_1,Zachování voleb: Příběhové volby se nyní správně přenášejí napříč všemi úrovněmi
patch_1_2_0_story_2,Vizuální postup: Přidány vizuální indikátory postupu příběhu v hlavních herních scénách na základě aktuálního čísla směny
patch_1_2_0_story_3,Opravy rozvětvených dialogů: Opraveny problémy s rozvětvenými dialogy v závěrečných příběhových scénách
patch_1_2_0_bugfix_header,OPRAVY CHYB
patch_1_2_0_bugfix_1,Systém úspěchů: Opraveno sledování úspěchů - všechny úspěchy se nyní správně odemykají
patch_1_2_0_bugfix_2,"Žebříček: Opraven problém, kdy se žebříček zasekával při načítání"
patch_1_2_0_bugfix_3,Třes obrazovky: Třes obrazovky se nyní po každém použití správně resetuje do původní polohy
patch_1_2_0_bugfix_4,Škálování obtížnosti: Opraven faktor škálování pro snadný režim
patch_1_2_0_bugfix_5,Zobrazení pozadí: Opravena chybějící pozadí během dialogových scén
patch_1_2_0_bugfix_6,Čitelnost textu: Vylepšeno zbarvení textu pro lepší čitelnost
patch_1_2_0_engagement_header,ZAPOJENÍ HRÁČŮ
patch_1_2_0_engagement_1,Žádosti o recenzi: Přidány výzvy k recenzi pro hráče dema a plné hry
patch_1_2_0_engagement_2,Opravy překladů: Různá vylepšení překladů napříč podporovanými jazyky
patch_1_2_0_technical_header,TECHNICKÁ VYLEPŠENÍ
patch_1_2_0_technical_1,Rozšířená jazyková podpora: Nyní podporuje všech 31 jazyků podporovaných Steamem
patch_1_2_0_technical_2,Přepracování překladového systému: Přeskupeny překladové soubory pro lepší udržovatelnost
