keys,ar
Text/50/text,عمل مقبول اليوم، يا برعم. تذكر، الكفاءة هي المفتاح. لدينا حصص يجب تحقيقها.
Text/51/text,لا تنسَ أن تأخذ حصتك من [wave amp=15 freq=2][color=DARK_VIOLET]مخزون الجذور[/color][/wave]. أنت تعرف ما يقوله الراديو، إنه نكهة مستقبل سبود!
Text/52/text,بينما تجمع أغراضك، تنزلق ورقة صغيرة من بين أوراق عملك.
Text/52b/text,لم تكن هناك هذا الصباح. وضعها أحدهم [color=YELLOW]أثناء مناوبتك[/color].
Text/53/text,[color=GOLD]ليس كل شيء كما يبدو. لقد تعفنت جذور أمتنا.[/color]
Text/53b/text,[color=GOLD]اتبع الأثر، ولكن احذر أن يتم إسكاتك.[/color]
Text/53c/text,[color=GOLD]راقب من يأكل [/color][color=DARK_VIOLET]المخزون[/color][color=GOLD]. راقب من يرفض.[/color]
Text/53d/text,[color=GOLD]- [/color][color=CHARTREUSE]صديق[/color]
Choice/53e/text,"""احتفظ بالمذكرة مخفية - حقق بهدوء"""
Choice/53f/text,"""دمر المذكرة - قد يكون هذا اختبارًا"""
Choice/53g/text,"""أظهر المذكرة لروسيت فورًا"""
Text/53h/text,تطوي المذكرة بعناية وتدسها في جيبك. [color=CHARTREUSE]شخص ما يتواصل معك.[/color]
Text/53i/text,ولكن من؟ ولماذا أنت، في يومك الأول بالذات؟
Text/53j/text,تمزق المذكرة إلى قطع صغيرة
Text/53k/text,"قال روسيت إن البراعم الذين يطرحون الأسئلة ""يُعاد تعيينهم"". من الأفضل عدم المخاطرة."
Text/53l/text,"تلحق بروسيت قبل أن يغادر. ""سيدي؟ لقد وجدت هذا في أوراقي..."""
Text/53m/text,ينتزع روسيت المذكرة ويقرأها. يتغير تعبير وجهه - [color=YELLOW]هل كان ذلك اعترافًا؟[/color]
Text/53n/text,دعاية. متمردون يحاولون إفساد الضباط الجدد. [color=DARK_ORANGE]لقد أحسنت بفعلتك هذه وإحضارها لي.[/color]
Text/53o/text,يضع المذكرة في جيبه. انسَ أنك رأيتها على الإطلاق. وراقب أي شخص يتصرف... [color=CRIMSON]بشكل مريب[/color].
Text/54/text,تلك المذكرة... وطريقة إجابة روسيت على سؤالي حول [pulse freq=3][color=CRIMSON]البطاطا المرفوضة[/color][/pulse]...
Text/54b/text,"""[color=VIOLET]تمت معالجتها. وفقًا للبروتوكول.[/color]"" ماذا يعني ذلك حتى؟"
Text/54c/text,تلك المذكرة... قالت إن الجذور قد أصبحت [color=CRIMSON]متعفنة[/color].
Text/54d/text,ولكن سبود مجيدة، أليس كذلك؟ هذا ما أخبرونا به. ما كنت أؤمن به.
Text/54e/text,"تسحب المذكرة، وتقرأها مرة أخرى. ""[color=GOLD]راقب من يأكل المخزون. راقب من يرفض.[/color]"""
Text/54f/text,غدًا، ستنتبه. [color=YELLOW]شخص ما يحاول أن يخبرك بشيء.[/color]
Text/54g/text,وجه راسيت عندما قرأ الملاحظة. للحظة وجيزة، بدا وكأنه... [color=STEEL_BLUE]خائف[/color].
Text/54h/text,ما هو [color=DARK_VIOLET]احتياطي الجذر[/color] حقاً؟ ولماذا يحذرك أحدهم بشأنه؟
Text/54i/text,الملاحظة اختفت، لكن الكلمات باقية. [color=YELLOW]ليس كل شيء كما يبدو.[/color]
Text/54j/text,ربما كان تدميرها هو الخيار الذكي. ربما تكون قد أسكتت حليفك الوحيد للتو.
Text/55/text,يجب أن أبقى [color=YELLOW]متيقظاً[/color]. هناك ما هو أكثر مما يحدث هنا من مجرد ختم جوازات السفر.
Choice/53e/disabled_text,
Choice/53f/disabled_text,
Choice/53g/disabled_text,
