keys,de
Text/117/text,Der Kontrollpunkt wurde in einen Militärposten umgewandelt. Elitewachen in schwarzen Uniformen patrouillieren mit zur Schau gestellten Waffen.
Text/118/text,"Ich bin Sicherheitschef Yukon, entsandt aus der Hauptstadt von Premierminister Idaho."
Text/119/text,"Geheimdienstinformationen deuten darauf hin, dass ein [pulse freq=2][color=YELLOW]Terroranschlag unmittelbar bevorsteht[/color][/pulse]. Der ""Widerstand"" plant, morgen zu infiltrieren."
Text/11a/text,Alle Offiziere müssen sich einer [wave amp=15 freq=2][color=DARK_ORANGE]Loyalitätsprüfung[/color][/wave] unterziehen. Verdächtiges Verhalten bedeutet Inhaftierung und [color=DARK_VIOLET]Verarbeitung[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Volle Kooperation[/color][/tornado] mit der Sicherheit ist obligatorisch. Meine Berichte über jeden von Ihnen wurden dem Chef zur Verfügung gestellt.
Text/11c/text,"Russets Blick verweilt unangenehm auf Ihnen, bevor er weiterzieht."
Text/11d/text,"Dies ist der [color=DARK_ORANGE]IdentityScan 5000[/color]. Er analysiert biometrische Daten, um Infiltratoren und Sympathisanten zu erkennen."
Text/11e/text,"Jeder, der markiert wird, steht vor [color=CRIMSON]verschärften Verhören[/color]. Verwenden Sie ihn ohne Ausnahme."
Text/11f/text,Haben Sie Sasha gesehen? Sie hat sich nicht zum Appell gemeldet. Gestern Abend [color=CRIMSON]betraten Sicherheitskräfte ihre Quartiere[/color].
Text/120/text,"Es heißt, sie sei Teil des [pulse freq=2][color=CHARTREUSE]Widerstands[/color][/pulse] gewesen."
Choice/121/text,Wir sollten nicht darüber sprechen. Es ist gefährlich.
Choice/122/text,Ich mache mir auch Sorgen um sie. Das ist nicht richtig.
Text/123/text,Du hast Recht. Aber pass auf dich auf. Sie suchen nach Verbindungen zu ihr.
Text/124/text,Also wart ihr eng befreundet? Sei vorsichtig. Sie beobachten vielleicht auch dich.
Text/125/text,"Der Offizier reicht dir eine Notiz: ""[color=YELLOW]Säubere deinen Posten von allem Verdächtigen.[/color]"""
Text/126/text,Sie sind schon eine ganze Weile an diesem Kontrollpunkt. Interessante Leistungsbilanz.
Text/127/text,"Sie wurden häufig mit Offizierin Sasha gesehen, die jetzt wegen [wave amp=20 freq=3][color=CRIMSON]Verrats[/color][/wave] untersucht wird."
Text/128/text,"Der Chef lehnt sich vor. Gibt es etwas, das Sie mir über ihre Aktivitäten mitteilen möchten?"
Choice/129/text,Sasha und ich waren nur Kollegen. Ich weiß nichts über sie außerhalb der Arbeit.
Choice/12a/text,"Ich sammelte Beweise für ihre verdächtigen Aktivitäten, um sie später zu melden."
Text/12b/text,Mehrere Zeugen sagen etwas anderes. Ohne konkrete Beweise kann ich Sie jedoch nicht festhalten. [color=YELLOW]Noch nicht.[/color]
Text/12c/text,"Sie werden unter [color=CRIMSON]strenger Beobachtung[/color] stehen. Ein Fehltritt, und Sie werden [color=DARK_VIOLET]Sasha folgen[/color]."
Text/12d/text,Wie praktisch. Und doch haben Sie bis jetzt keine Berichte eingereicht.
Text/12e/text,"Sie werden eine vollständige Aussage machen. Wenn Ihre Informationen sich als wertvoll erweisen, werden wir vielleicht über Ihre verspätete Berichterstattung hinwegsehen."
Text/12f/text,Ich werde [color=CRIMSON]Ihre Arbeit heute überwachen[/color]. Jeder Reisende muss identitätsgescannt werden. [color=RED]Keine Ausnahmen[/color].
Text/130/text,Sasha wurde mitgenommen. Der Plan des Widerstands ist [color=CRIMSON]kompromittiert[/color]. Mit erhöhter Sicherheitswarnung scheinen ihre Chancen aussichtslos.
Choice/121/disabled_text,
Choice/12a/disabled_text,
Choice/129/disabled_text,
Choice/122/disabled_text,
