keys,ru
Text/200/text,"Привет, новичок! Тяжелая смена, да? Меня зовут Мёрфи. Я здесь уже три сезона."
Text/201/text,"Я видел, как ты разговаривал с Сашей раньше. Она... [color=STEEL_BLUE]другая[/color]. В хорошем смысле другая, я думаю."
Choice/202/text,"Она кажется милой. Дала мне совет, как оставаться бдительным."
Choice/203/text,Просто представились. Ничего особенного.
Text/204/text,Мёрфи нервно оглядывается. Ага.
Text/205/text,"Между нами говоря? Та радиопередача о ""пропавших картофелинах""... мой двоюродный брат пропал в прошлом месяце. Не прошел проверку."
Text/206/text,"Умно. Не высовывайся, делай свою работу. Вот что я говорю себе каждый день."
Text/207/text,"Голос Мёрфи понижается. Хотя иногда я задаюсь вопросом, куда на самом деле деваются все эти отбракованные картофелины..."
Text/208/text,В столовой
Text/209/text,"Вы смотрите на густую, пурпурно-коричневую пасту. Все едят ее без вопросов. Предполагается, что она питательна."
Choice/20a/text,"Съесть Корневой Запас, как все остальные"
Choice/20b/text,Оттолкнуть в сторону – вы не голодны
Text/20c/text,"Вкус... землистый. Насыщенный. Что-то в нем кажется [color=STEEL_BLUE]неприятно знакомым[/color], но вы не можете понять, почему."
Text/20d/text,"Старший офицер замечает. ""Не растрачивай, не будешь нуждаться, росток. Это же [pulse freq=2][color=DARK_VIOLET]премиальное питание[/color][/pulse]."""
Text/20e/text,Вы бормочете оправдание о расстройстве желудка. Офицер пожимает плечами и уходит.
Text/20f/text,"Вернувшись в свои апартаменты, вы не можете отделаться от слов Саши. ""[color=YELLOW]Не все так, как кажется.[/color]"""
Text/210/text,"Вы спросили Рассета об отбракованных картофелинах в ваш первый день. Его ответ был уклончивым. ""[color=VIOLET]Обработаны. Согласно протоколу.[/color]"""
Text/211/text,"Обработаны [color=STEEL_BLUE]как[/color], именно?"
Text/212/text,"Вы так стремились служить. Так гордились тем, что вас выбрали. Но гордость не объясняет [color=CRIMSON]пропавших картофелин[/color]."
Text/213/text,"Радио сообщило, что сообщения об исчезновениях ""продолжаются"". Это значит, что это происходит уже давно."
Text/214/text,"Сон приходит медленно. Когда он приходит, вам снятся [wave amp=15 freq=2][color=DARK_VIOLET]пурпурные реки[/wave], текущие под контрольно-пропускным пунктом."
Choice/202/disabled_text,
Choice/203/disabled_text,
Choice/20a/disabled_text,
Choice/20b/disabled_text,
