keys,ru
Text/96/text,"Вы крадётесь по тёмному коридору, сердце колотится, пока вы избегаете патрулей охраны."
Text/97/text,[color=CHARTREUSE]Это устройство отключит замок[/color] в кабинете Рассета. Я включу сигнализацию в восточном крыле для отвлечения. У вас будет пять минут.
Text/98/text,"""Манифесты должны быть в его картотеке. [color=CRIMSON]Красная папка с надписью 'RR Transport'[/color]. Не оставляйте следов своего поиска."""
Text/99/text,"Вы находите толстую [color=CRIMSON]красную папку с надписью ""RR Transport""[/color] в картотеке."
Text/9a/text,"Внутри находятся манифесты, соответствующие количеству отклонённых картофелин, и директива от премьер-министра Айдахо, разрешающая ""[pulse freq=3][color=DARK_VIOLET]полное использование пограничных отказников для производства RR.[/color][/pulse]"""
Text/9a_viktor1/text,Вы просматриваете имена в манифесте... и одно выделяется. [color=GOLD]Елена Петрова[/color].
Text/9a_viktor2/text,"Это имя... вы слышали его раньше. Охранник Виктор упоминал, что его жена пропала."
Text/9a_viktor3/text,"""[color=CRIMSON]Статус: Обработано. Партия RR-2851.[/color]"" Датировано две недели назад."
Text/9b/text,"Шаги приближаются к двери кабинета. ""[wave amp=15 freq=3][color=YELLOW]Странно, я мог бы поклясться, что запер это.[/color][/wave]"""
Choice/9c/text,"""Спрятаться под столом"""
Choice/9d/text,"""Выпрыгнуть в окно"""
Text/9e/text,"Вы ныряете под стол Рассета, когда он входит, ваше сердце колотится. Он садится, его ноги в нескольких дюймах от вашего лица."
Text/9f/text,"""Рассет на связи. Что? [color=CHARTREUSE]Ещё одна тревога?[/color] Уже иду."" Он уходит, и вы сбегаете."
Text/a0/text,"Вы распахиваете окно и прыгаете. К счастью, это всего лишь один этаж. Охранник кричит: ""[color=RED]Эй! Стой![/color]"""
Text/a1/text,Вы бежите через территорию и умудряетесь оторваться от преследователей.
Text/a2/text,Вы достали это?
Text/a3/text,"Вы передаёте улики, объясняя, что нашли."
Text/a4/text,Это доказывает всё. Сопротивление сделает копии. [tornado radius=3 freq=2]Распространите правду повсюду.[/tornado] Они не смогут заставить нас всех замолчать.
Text/a5/text,"Вы перешли черту. [wave amp=20 freq=3][color=YELLOW]Обратного пути нет.[/color][/wave] Когда правда распространится, Спад преобразится."
Choice/9c/disabled_text,
Choice/9d/disabled_text,
