keys,pt
LAWS,LEIS
_VALIDATION MESSAGES,
msg_not_fresh,"A batata era %s, mas deve ser fresca"
msg_extra_eyes,"A batata tinha Olhos Extra, o que é proibido"
msg_rotten,Batatas podres não são permitidas
msg_sprouted,Batatas brotadas não são permitidas
msg_dehydrated,Batatas desidratadas não são permitidas hoje
msg_frozen,Batatas congeladas são proibidas
msg_over_age,A batata tem %d anos (máximo 5 anos)
msg_under_age,A batata tem %d anos (deve ter mais de 3 anos)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]APENAS batatas frescas[/color] permitidas - [color=dark_red]REJEITAR[/color] todas as outras
law_extra_eyes,[color=dark_goldenrod]Olhos Extra[/color] condição batatas devem ser [color=dark_red]REJEITADAS[/color]
law_rotten,[color=dark_goldenrod]Podres[/color] batatas devem ser [color=dark_red]REJEITADAS[/color]
law_sprouted,[color=dark_goldenrod]Germinadas[/color] batatas devem ser [color=dark_red]REJEITADAS[/color]
law_dehydrated,[color=dark_goldenrod]Desidratadas[/color] batatas devem ser [color=dark_red]REJEITADAS[/color]
law_frozen,[color=dark_goldenrod]Congeladas[/color] batatas devem ser [color=dark_red]REJEITADAS[/color]
law_over_5_years,Batatas [color=dark_goldenrod]5 anos ou mais[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_under_3_years,Batatas [color=dark_goldenrod]3 anos ou menos[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_under_2_years,Batatas [color=dark_goldenrod]2 anos ou menos[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_males_only,[color=dark_goldenrod]APENAS batatas macho[/color] permitidas - [color=dark_red]REJEITAR[/color] todas as fêmeas
law_females_only,[color=dark_goldenrod]APENAS batatas fêmea[/color] permitidas - [color=dark_red]REJEITAR[/color] todos os machos
law_country_spudland,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Spudland[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_potatopia,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Potatopia[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_tuberstan,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Tuberstan[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_north_yamnea,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]North Yamnea[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_spuddington,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Spuddington[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_tatcross,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Tatcross[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_mash_meadows,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Mash Meadows[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_tuberville,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Tuberville[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_chip_hill,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Chip Hill[/color] devem ser [color=dark_red]REJEITADAS[/color] (proibição de exportação)
law_country_murphyland,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Murphyland[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_colcannon,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Colcannon[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_country_pratie_point,[color=dark_goldenrod]TODAS[/color] as batatas de [color=dark_goldenrod]Pratie Point[/color] devem ser [color=dark_red]REJEITADAS[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] tipos de batatas devem ser [color=dark_red]REJEITADOS[/color]
law_sweet_potatoes,[color=dark_goldenrod]Batata Doce[/color] tipos devem ser [color=dark_red]REJEITADOS[/color] (sem licenças disponíveis)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] tipos de batatas devem ser [color=dark_red]REJEITADOS[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] tipos de batatas devem ser [color=dark_red]REJEITADOS[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] tipos de batatas devem ser [color=dark_red]REJEITADOS[/color]
law_russet,[color=dark_goldenrod]Russet[/color] tipos de batatas devem ser [color=dark_red]REJEITADOS[/color]
