keys,es
Character/173/name,Locutor de radio
Character/174/name,Oficial compañero
Character/175/name,Narrador
Character/176/name,Patata silenciosa
Character/177/name,Patata preocupada
Character/178/name,Patata antigua
Character/179/name,Tú
Character/17a/name,Primer Ministro Idaho
Character/17b/name,Líder de la resistencia
Character/17c/name,Miembro desconfiado de la resistencia
Character/17d/name,Miembro descarado de la resistencia
Character/17e/name,Jefe de seguridad
Character/17f/name,Oficial de seguridad
Character/180/name,Papa Puréson
Character/181/name,Capataz Rojizo
Character/181/nicknames,"Roji,Rojizo,Capataz Rojizo"
Character/182/name,Batata Sasha
Character/183/name,Viajero nervioso
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
