keys,zh-CN
Text/299_suppress1/text,混乱爆发，抵抗军袭击开始。爆炸震撼检查站。
Text/299_suppress2/text,你可以逃跑。你可以躲藏。但你[color=DARK_ORANGE]选择了你的立场[/color]。
Text/299_suppress3/text,罗斯特抓住你的手臂。[pulse freq=2][color=YELLOW]机会来了！[/color][/pulse] 证明你的忠诚！
Text/299_suppress4/text,抵抗军正试图攻破东门！[color=CRIMSON]阻止他们！[/color]
Text/299_suppress5/text,你握紧武器。这些可能是你认识的人。你曾帮助过的人。
Text/299_suppress6/text,但生存是有代价的。[color=DARK_ORANGE]你已做出选择。[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]为国家而战！[/color][/pulse] 镇压抵抗军的袭击！
Text/299_suppress8/text,硝烟散尽，尸体遍布地面。有些人佩戴着抵抗军徽章。
Text/299_suppress9/text,[color=STEEL_BLUE]你在死者中认出了面孔。[/color]
Text/299_suppress10/text,墨菲躺在死者之中。他的双眼空洞无神。他的手中紧握着汤米的相片。
Text/299_suppress11/text,[color=STEEL_BLUE]他为自己所信仰的事物而战死。你亲手扼杀了它。[/color]
Text/300/text,抵抗军袭击失败。检查站屹立不倒，比以往任何时候都更强大。而你，依然坚守岗位。
Text/301/text,[pulse freq=2][color=GOLD]向爱达荷总理致敬！[/color][/pulse] 斯普德的捍卫者！叛徒的征服者！
Text/302/text,一颗巨大的土豆身着华丽的礼服，从一辆装甲车中走出，精英卫兵簇拥左右。
Text/303/text,爱达荷眼神冰冷而精明地审视着检查站。
Text/304/text,罗斯特快步上前，深深鞠躬。总理！您的莅临令我们倍感荣幸！
Text/305/text,叛徒已按您的指示[color=DARK_VIOLET]处理完毕[/color]。本季度产量提升了40%！
Text/306/text,这就是起义期间保持忠诚的军官吗？
Text/307/text,是的，总理。忠心耿耿。举报可疑活动。模范公民。
Text/308/text,爱达荷上前，将一枚勋章别在你的胸前——[color=GOLD]黄金块茎勋章[/color]。
Text/309/text,表彰你卓越的服务。你证明了[color=DARK_ORANGE]对斯普德的忠诚[/color]永远会得到回报。
Choice/30a/text,谢谢您，总理。斯普德万岁。
Choice/30b/text,我只是尽了我的职责，长官。（强颜欢笑）
Text/30c/text,爱达荷的笑容未达眼底。是的。你确实做到了。
Text/30d/text,爱达荷审视了你许久。职责。[color=STEEL_BLUE]如此简单的词语，却承载着如此复杂的行为。[/color]
Text/30e/text,我想知道，那些如此尽职尽责地履行“职责”的人，会被怎样的[color=CRIMSON]噩梦[/color]缠绕。
Text/30f/text,盛宴为胜利而设。餐桌上摆满了食物，包括大份的[color=DARK_VIOLET]根源珍藏[/color]。
Text/310/text,罗斯特举起一杯浓稠的紫色液体。敬酒！为那些[color=CRIMSON]滋养我们的叛徒[/color]！
Text/311/text,房间里响起笑声。有些是紧张的。大多数是真心的。
Text/312/text,他把一个盘子推向你。“尝尝这批新的。[color=DARK_VIOLET]‘反抗者混合物。’[/color]萨莎为马铃薯国未来做出的贡献。”
Text/313/text,你的胃一阵翻腾。盘子里的食物。[color=CRIMSON]萨莎。[/color]墨菲的表亲。照片里的妻子。
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]他们所有人。[/color][/tornado]
Choice/315/text,强迫自己吃下去 - 维持你的伪装
Choice/316/text,推开盘子 - 你做不到
Text/317/text,你把叉子举到嘴边。闭上眼睛。[color=STEEL_BLUE]咀嚼。吞咽。不要思考。[/color]
Text/318/text,罗斯特赞许地点点头。“很好。[color=DARK_ORANGE]你前途无量。[/color]”
Text/319/text,你推开盘子。“我感觉不太舒服。白天的兴奋劲儿……”
Text/31a/text,罗斯特的眼睛短暂地眯起，然后又变得柔和。“当然。真是[color=YELLOW]敏感的体质[/color]。”
Text/31b/text,好好休息。明天，我们有[color=CRIMSON]更多处理工作[/color]要监督。
Text/31c/text,你回到你的住处。奖章沉甸甸地压在你的胸口。
Text/31d/text,你拿出失踪妻子的照片。她现在可能和它在同一批次了。
Text/31e/text,你曾承诺找到她。[color=STEEL_BLUE]你找到了她。[/color]只是并非你们任何一方所希望的方式。
Text/31f/text,墨菲。你的朋友。那个信任你的人。他曾是抵抗组织的一员。
Text/320/text,[color=CRIMSON]曾是。[/color]
Text/321/text,你凝视着窗户里自己的倒影。奖章闪闪发光。[color=DARK_ORANGE]黄金块茎。[/color]马铃薯国的英雄。
Text/322/text,[color=STEEL_BLUE]披着马铃薯皮的怪物。[/color]
Text/323/text,那晚，你梦见了萨莎。她没有指责。没有愤怒。那会更容易些。
Text/324/text,她只是用那双眼睛看着你。她低语道，[color=CHARTREUSE]根系深扎。[/color]
Text/325/text,即使是[color=STEEL_BLUE]腐烂的[/color]。
Text/326/text,几个月过去了。你被提拔了。边境安全区域督察。罗斯特的得力助手。
Text/327/text,你经手的拒签数量超过了斯普德历史上任何一人。[color=DARK_VIOLET]根源储备[/color]产量飙升。
Text/328/text,你的办公室很舒适。你的配给很丰厚。你的家人受到保护。
Text/329/text,你拥有了一切被承诺的东西。
Text/32a/text,除却[color=STEEL_BLUE]睡眠[/color]。除却[color=STEEL_BLUE]安宁[/color]。除却直视镜子的勇气。
Text/32b/text,有一天，你注意到了。一个[color=GOLD]黄色土豆徽章[/color]被刻在墙上。然后是另一个。然后是几十个。
Text/32c/text,一股新的抵抗势力正在形成。更安静。更谨慎。从萨莎的错误中吸取教训。
Choice/32d/text,立即向安全部门报告这些符号
Choice/32e/text,假装你没有看到它们
Choice/32f/text,留下你自己的印记——一片黄色的叶子
Text/330/text,你提交了报告。又一批嫌疑人被逮捕。又一次晋升。
Text/331/text,循环仍在继续。[color=CRIMSON]你已成为机器的一部分。[/color]
Text/332/text,你走了过去。什么也没说。这算不上什么。[color=STEEL_BLUE]这几乎什么也不是。[/color]
Text/333/text,但这是你第一次选择不与他们作对。
Text/334/text,也许这算得上什么。也许这[color=YELLOW]太少，太迟[/color]了。
Text/335/text,当无人注视时，你在徽章旁边刻下了一片小小的[color=GOLD]黄色叶子[/color]。
Text/336/text,一次单独的反抗。迟了数年。但[color=CHARTREUSE]总归是点什么[/color]。
Text/337/text,"萨莎的声音在你记忆中回响：""[color=CHARTREUSE]根深蒂固。[/color]"""
Text/338/text,也许深到足以[color=CHARTREUSE]触及你[/color]。有朝一日。
Text/339/text,斯普德王国屹立不倒。[color=DARK_VIOLET]根源储备[/color]源源不断。消费的循环仍在继续。
Text/33a/text,但在某个地方，在墙壁的裂缝中，[color=CHARTREUSE]新的东西正在生长[/color]。
Text/33b/text,你是否会成为其中一部分……[color=YELLOW]那个故事尚未书写[/color]。
Choice/30a/disabled_text,
Choice/30b/disabled_text,
Choice/315/disabled_text,
Choice/316/disabled_text,
Choice/32d/disabled_text,
Choice/32e/disabled_text,
Choice/32f/disabled_text,
