keys,nl
Text/b8/text,"De grensinstallatie is volledig afgesloten, met gewapende beveiliging die elke gang patrouilleert."
Text/b9/text,[pulse freq=3][color=RED]ATTENTIE! NIVEAU ROOD veiligheidssituatie![/color][/pulse] Geclassificeerde documenten zijn gisteravond gestolen.
Text/ba/text,"We hebben een [tornado radius=4 freq=3][color=CRIMSON]verrader in ons midden[/color][/tornado]. Iedereen die informatie achterhoudt, wordt als medeplichtig behandeld."
Text/bb/text,"Alle officieren, stel u op voor [wave amp=15 freq=2][color=DARK_ORANGE]veiligheidsscanning[/color][/wave]. Degenen met verhoogde stressreacties worden gemarkeerd."
Text/bc/text,Heb je gezien wat er buiten gebeurt? Overal pamfletten die tonen dat [color=DARK_VIOLET]Root Reserve[/color] gemaakt is van... [pulse freq=3][color=CRIMSON]van ons[/color][/pulse].
Choice/bd/text,Praat zachter. We worden allemaal in de gaten gehouden.
Choice/be/text,Ik heb dezelfde geruchten gehoord. Het is verschrikkelijk als het waar is.
Choice/bf/text,Dat is belachelijke propaganda. Verspreid zulke leugens niet.
Text/c0/text,Je hebt gelijk. Maar als het waar is... wat maakt dat van ons?
Text/c1/text,Mijn neef werd vorige maand afgewezen. Betekent dat...? Ik [color=CHARTREUSE]kan dit niet meer aan[/color].
Text/c2/text,Hun gezichtsuitdrukking wordt gereserveerd. Natuurlijk. Voor altijd loyaal aan Spud.
Text/c3/text,Geef uw verblijfplaats op van gisteravond tussen 22:00 en 04:00 uur.
Choice/c4/text,"Ik was de hele nacht in mijn kwartier, slapend."
Choice/c5/text,Ik zou eerst met mijn juridisch vertegenwoordiger willen spreken.
Text/c6/text,Uw stressniveaus duiden op [color=YELLOW]misleiding[/color]. Echter... niet doorslaggevend. U mag voorlopig gaan.
Text/c7/text,"Juridisch vertegenwoordiger? Dit is een veiligheidsprocedure, geen rechtszaak. Uw weigering is genoteerd."
Text/c8/text,"Het werkt. De manifesten hebben opschudding veroorzaakt, maar [color=DARK_ORANGE]Russet verdenkt ons[/color]."
Text/c9/text,Let op bondgenoten van onze organisatie tijdens de dienst van vandaag. [color=CHARTREUSE]Je zult ze herkennen[/color].
Text/ca/text,"Als je ze veilig door kunt krijgen, gebruik dan [color=CHARTREUSE]het speciale teken waarover we hebben gesproken[/color]."
Choice/cb/text,Het is het risico waard. Ik doe mee.
Choice/cc/text,Dit wordt te gevaarlijk. Misschien moeten we ons gedeisd houden.
Text/cd/text,"Ik wist dat ik op je kon rekenen. Als dit voorbij is, [color=CHARTREUSE]zal Spud weten wie de echte helden waren[/color]."
Text/ce/text,We zijn dat punt al lang voorbij. Ons gedeisd houden zal ons niet redden. [color=CHARTREUSE]Alleen het systeem omverwerpen zal dat doen[/color].
Text/cf/text,Elk station heeft nu het nieuwe [color=DARK_ORANGE]RealityScan-systeem[/color]. Het detecteert ongeautoriseerde markeringen en vervalsingen.
Text/d0/text,Alle documenten moeten worden gescand vóór goedkeuring. De [color=CRIMSON]verraders zullen worden uitgeroeid[/color]. Dat garandeer ik.
Text/d1/text,"Het helpen van verzetsleden is net veel gevaarlijker geworden, maar [color=CHARTREUSE]de waarheid moet verspreid worden[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Text/c7_viktor1/text,Een forse bewaker komt aanlopen tijdens je pauze. Zijn gezicht is uitgeput.
Text/c7_viktor2/text,"Hé... jij bent een van de douanebeambten, toch? Ik heb rondgevraagd naar mijn vrouw, Elena."
Text/c7_viktor3/text,Ze is drie weken geleden deze controlepost gepasseerd. [color=STEEL_BLUE]Inspectie mislukt.[/color] Ik heb sindsdien niets meer van haar gehoord.
Choice/c7_viktor4/text,"""Viktor... Ik heb iets gevonden. Over Elena. Je moet de waarheid weten."""
Choice/c7_viktor5/text,"""Het spijt me, Viktor. Ik heb niets gezien."" (Liegen om hem te beschermen)"
Text/c7_viktor6/text,Je laat hem een kopie van de manifestpagina zien. Zijn gezicht wordt wit.
Text/c7_viktor7/text,[wave amp=25 freq=3]Zijn handen trillen terwijl hij leest.[/wave] [color=GOLD]Elena Petrov[/color]... [color=CRIMSON]Verwerkt... Batch RR-2851...[/color]
Text/c7_viktor8/text,Zijn stem is nauwelijks een fluistering. [tornado radius=3 freq=2][color=CRIMSON]Ze... ze HEBBEN haar veranderd in...[/color][/tornado]
Text/c7_viktor9/text,Zijn verdriet verandert in koude woede. [pulse freq=2][color=CRIMSON]Idaho zal hiervoor boeten.[/color][/pulse] Ik zweer het bij haar nagedachtenis.
Text/c7_viktor10/text,Hij pakt je schouder vast. [color=CHARTREUSE]Bedankt dat je het me vertelt.[/color] Wanneer de tijd rijp is... zal ik dit onthouden.
Text/c7_viktor11/text,Hij knikt bedroefd. [color=STEEL_BLUE]Dat dacht ik al.[/color] Niemand weet iets. Of niemand wil praten.
Text/c7_viktor12/text,Als je iets hoort... [color=YELLOW]alsjeblieft.[/color] Zij is alles wat ik heb.
Text/d0_qte1/text,Later die dienst nadert een reiziger met papieren waarop het [color=CHARTREUSE]subtiele verzetsmerk[/color] staat.
Text/d0_qte2/text,De [color=DARK_ORANGE]RealityScan[/color] begint zijn scan. [wave amp=15 freq=3][color=RED]Het gaat het merk detecteren![/color][/wave]
Text/d0_qte3/text,Je hebt seconden om te beslissen. De scanner warmt op...
Choice/d0_qte4/text,"""Veroorzaak een scannerstoring - snel!"" (Help het verzet)"
Choice/d0_qte5/text,"""Laat de scanner zijn scan voltooien"" (Volg het protocol)"
Text/d0_qte6/text,[pulse freq=3][color=YELLOW]Je moet snel zijn![/color][/pulse] Veroorzaak de storing voordat hij klaar is met scannen!
Text/d0_qte7/text,Je rommelt met de scannerkabels. Er vliegen vonken. Het scherm flikkert en valt uit.
Text/d0_qte8/text,Russet snelt toe. [color=YELLOW]Wat is hier gebeurd?[/color]
Choice/d0_qte9/text,"""Stroomstoot, meneer. Deze nieuwe systemen zijn temperamentvol."""
Choice/d0_qte10/text,"""Ik weet het niet, meneer. Het viel zomaar uit."""
Text/d0_qte11/text,Russet gromt. [color=STEEL_BLUE]Bureaucraten geven ons ongeteste apparatuur.[/color] Verwerk ze handmatig en markeer ze voor herinspectie.
Text/d0_qte12/text,Russet kijkt je argwanend aan. [color=YELLOW]Wat handig.[/color] Ik laat de technische dienst ernaar kijken. Laat dit niet meer gebeuren.
Text/d0_qte13/text,Het verzetslid geeft je een lichte knik van dankbaarheid terwijl ze passeren.
Text/d0_qte14/text,De scanner [pulse freq=3][color=RED]PIEPT HARD[/color][/pulse]. Ongeautoriseerde markeringen gedetecteerd!
Text/d0_qte15/text,Russet verschijnt ogenblikkelijk. [color=CHARTREUSE]Goed gedaan![/color] Nog een verrader gepakt.
Text/d0_qte16/text,"Het verzetslid wordt weggesleept, terreur in hun ogen. ""[color=CRIMSON]Nee, alsjeblieft niet! Ik heb kinderen![/color]"""
Text/d0_qte17/text,Je loyaliteit wordt [color=DARK_ORANGE]genoteerd in je dossier[/color]. Ga zo door.
