keys,ru
Text/69_photo1/text,Ты снова достаёшь фотографию. [color=GOLD]Мэрис Пайпер[/color]. Такое доброе лицо.
Text/69_photo2/text,Её жена была в таком отчаянии. [color=STEEL_BLUE]Что с ней случилось?[/color]
Text/69_photo3/text,Ты замечаешь что-то на фоне фотографии — грузовик с [color=DARK_VIOLET]фиолетовым логотипом[/color].
Text/69_photo4/text,Этот символ... ты видел его на доставках в столовую. [wave amp=15 freq=2][color=DARK_VIOLET]«Корневой Запас».[/color][/wave]
Text/69/text,Можем поговорить? Где-нибудь наедине? [color=YELLOW]Здесь слишком много глаз и ушей.[/color]
Text/6a/text,"Встретимся у старого склада после твоей смены. У меня есть кое-что, что тебе нужно увидеть."
Text/6a_photo1/text,Саша... эта фотография. Жена этой женщины дала её мне. Она искала её.
Text/6a_photo2/text,Лицо Саши помрачнело. [color=STEEL_BLUE]Дай посмотреть.[/color]
Text/6a_photo3/text,"Саша изучает фотографию, её выражение лица темнеет. [color=CRIMSON]Я узнаю этот грузовик.[/color]"
Text/6a_photo4/text,[pulse freq=2][color=YELLOW]Сохрани эту фотографию.[/color][/pulse] Она может оказаться важной позже. Поверь мне.
Text/6b/text,"Сближаешься с коллегами? Помни, дружба может привести к... [color=DARK_ORANGE]помутнению рассудка[/color]."
Text/6c/text,Я собирал информацию об отклонённых картофелинах. [wave amp=20 freq=3][color=CRIMSON]Они не попадают в депортационные центры.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]Они отправляются на перерабатывающие предприятия «Корневого Запаса».[/color][/tornado] Все до единой.
Text/6e/text,"Эти документы показывают, как картофелины выгружают на предприятии, помеченном логотипом [color=DARK_VIOLET]«Корневого Запаса»[/color]."
Text/6f/text,"Кажется, я знаю, что происходит..."
Text/6f2/text,[pulse freq=3][color=CRIMSON]Они становятся «Корневым Запасом».[/color][/pulse]
Choice/70/text,«Это безумие. Они... перерабатывают картофелины в еду?»
Choice/71/text,"«Нам нужно больше доказательств, прежде чем выдвигать обвинения»."
Text/72/text,[color=CRIMSON]Каннибализм с дополнительными шагами.[/color] Вот что такое [wave amp=25 freq=3][color=DARK_VIOLET]«Корневой Запас»[/color][/wave]. И мы помогали отбирать их ингредиенты.
Text/73/text,"Я собирал доказательства месяцами. Держи глаза открытыми. Ты увидишь, что я прав."
Text/74/text,Внезапно раздаётся далёкий сигнал тревоги
Text/75/text,"Нам нужно идти. Они проводят проверки безопасности в этот час. Подумай о том, что я тебе показал."
Text/76/text,Саша суёт папку тебе в руки. [color=YELLOW]«Береги это. И никому не доверяй».[/color]
Text/77/text,Ты прячешь папку за пазуху. [color=DARK_VIOLET]«Корневой Запас»[/color]. Отклонённые. Пропавшие картофелины. Всё это связывается [tornado radius=3 freq=2][color=CRIMSON]ужасающим образом[/color][/tornado].
Choice/70/disabled_text,
Choice/71/disabled_text,
