keys,th
Text/299_suppress1/text,ความโกลาหลปะทุขึ้นเมื่อการโจมตีของฝ่ายต่อต้านเริ่มต้นขึ้น แรงระเบิดสั่นสะเทือนด่านตรวจ
Text/299_suppress2/text,คุณอาจวิ่งหนี คุณอาจซ่อนตัว แต่คุณกลับ[color=DARK_ORANGE]เลือกข้างของคุณ[/color]
Text/299_suppress3/text,รัสเซ็ตคว้าแขนคุณ [pulse freq=2][color=YELLOW]นี่คือโอกาสของคุณ![/color][/pulse] พิสูจน์ความภักดีของคุณ!
Text/299_suppress4/text,ฝ่ายต่อต้านกำลังพยายามบุกประตูตะวันออก! [color=CRIMSON]หยุดพวกมัน![/color]
Text/299_suppress5/text,คุณกำอาวุธแน่น พวกเขาอาจเป็นคนที่คุณรู้จัก คนที่คุณเคยช่วยเหลือ
Text/299_suppress6/text,แต่การเอาชีวิตรอดก็มีราคาที่ต้องจ่าย [color=DARK_ORANGE]คุณได้ตัดสินใจเลือกแล้ว[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]สู้เพื่อรัฐ![/color][/pulse] ปราบปรามการโจมตีของฝ่ายต่อต้าน!
Text/299_suppress8/text,เมื่อควันจางลง ร่างกายเกลื่อนพื้น บางคนสวมป้ายของฝ่ายต่อต้าน
Text/299_suppress9/text,[color=STEEL_BLUE]คุณจำใบหน้าของผู้ที่ล้มตายได้[/color]
Text/299_suppress10/text,เมอร์ฟีนอนอยู่ท่ามกลางผู้เสียชีวิต ดวงตาของเขาจ้องมองความว่างเปล่า รูปถ่ายของทอมมี่กำแน่นอยู่ในมือของเขา
Text/299_suppress11/text,[color=STEEL_BLUE]เขาตายเพื่อสิ่งที่เขาเชื่อมั่น คุณช่วยสังหารมัน[/color]
Text/300/text,การโจมตีของฝ่ายต่อต้านล้มเหลว ด่านตรวจยังคงตั้งตระหง่าน แข็งแกร่งกว่าที่เคย และคุณยังคงอยู่ที่ตำแหน่งของคุณ
Text/301/text,[pulse freq=2][color=GOLD]ขอองค์นายกรัฐมนตรีไอดาโฮทรงพระเจริญ![/color][/pulse] ผู้พิทักษ์แห่งสปัด! ผู้ปราบปรามกบฏ!
Text/302/text,มันฝรั่งขนาดใหญ่ในชุดเครื่องแบบอันหรูหราลงมาจากยานเกราะ ขนาบข้างด้วยองครักษ์ชั้นยอด
Text/303/text,ไอดาโฮสำรวจด่านตรวจด้วยสายตาที่เย็นชาและคำนวณ
Text/304/text,รัสเซ็ตรีบเดินไปข้างหน้า โค้งคำนับอย่างลึกซึ้ง ท่านนายกรัฐมนตรี! เรารู้สึกเป็นเกียรติอย่างยิ่งที่ท่านมาเยือน!
Text/305/text,พวกกบฏได้ถูก[color=DARK_VIOLET]ดำเนินการ[/color]ตามคำสั่งของท่านแล้ว ผลผลิตเพิ่มขึ้น 40% ในไตรมาสนี้!
Text/306/text,และนี่คือเจ้าหน้าที่ผู้ที่ยังคงภักดีในระหว่างการก่อกบฏใช่หรือไม่?
Text/307/text,ครับ/ค่ะ ท่านนายกรัฐมนตรี ความทุ่มเทที่ไม่สั่นคลอน รายงานกิจกรรมที่น่าสงสัย พลเมืองตัวอย่าง
Text/308/text,ไอดาโฮก้าวไปข้างหน้า ติดเหรียญรางวัลที่หน้าอกของคุณ - [color=GOLD]หัวมันทองคำ[/color]
Text/309/text,สำหรับการปฏิบัติหน้าที่ที่เหนือกว่าความคาดหมาย คุณได้พิสูจน์แล้วว่า[color=DARK_ORANGE]ความภักดีต่อสปัด[/color]จะได้รับการตอบแทนเสมอ
Choice/30a/text,ขอบพระคุณครับ/ค่ะ ท่านนายกรัฐมนตรี เกียรติยศแด่สปัด
Choice/30b/text,ผม/ดิฉันแค่ทำตามหน้าที่ครับ/ค่ะ ท่าน (ฝืนยิ้ม)
Text/30c/text,รอยยิ้มของไอดาโฮไม่ถึงดวงตาของเขา ใช่ คุณทำอย่างนั้นจริงๆ
Text/30d/text,ไอดาโฮจ้องมองคุณอยู่ครู่หนึ่ง หน้าที่ [color=STEEL_BLUE]เป็นคำที่เรียบง่ายสำหรับพฤติกรรมที่ซับซ้อนเช่นนี้[/color]
Text/30e/text,"ฉันสงสัยว่า [color=CRIMSON]ฝันร้าย[/color] แบบไหนจะมาเยือนผู้ที่ทำ ""หน้าที่"" ของตนได้ดีเยี่ยมถึงเพียงนี้"
Text/30f/text,มีงานเลี้ยงฉลองชัยชนะ โต๊ะเต็มไปด้วยอาหารจนแออัด รวมถึง [color=DARK_VIOLET]หัวเชื้อราก[/color] ในปริมาณมาก
