keys,nl
Text/117/text,Het controlepunt is veranderd in een militaire buitenpost. Elite bewakers in zwarte uniformen patrouilleren met wapens zichtbaar.
Text/118/text,"Ik ben Hoofd Veiligheidsofficier Yukon, gestuurd vanuit de hoofdstad door Premier Idaho."
Text/119/text,"Inlichtingen wijzen erop dat een [pulse freq=2][color=YELLOW]terroristische aanval ophanden is[/color][/pulse]. Het ""verzet"" is van plan morgen te infiltreren."
Text/11a/text,Alle officieren zullen zich onderwerpen aan [wave amp=15 freq=2][color=DARK_ORANGE]loyaliteitsscreening[/color][/wave]. Verdacht gedrag betekent detentie en [color=DARK_VIOLET]verwerking[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Volledige medewerking[/color][/tornado] met Veiligheid is verplicht. Mijn rapporten over ieder van jullie zijn verstrekt aan de Chef.
Text/11c/text,Russets blik rust ongemakkelijk op je voordat hij verdergaat.
Text/11d/text,Dit is de [color=DARK_ORANGE]IdentityScan 5000[/color]. Het analyseert biometrische gegevens om infiltranten en sympathisanten op te sporen.
Text/11e/text,"Iedereen die wordt gemarkeerd, krijgt te maken met [color=CRIMSON]verscherpte ondervraging[/color]. Gebruik het zonder uitzondering."
Text/11f/text,Heb je Sasha gezien? Ze heeft zich niet gemeld bij het appel. Gisteravond [color=CRIMSON]drongen veiligheidstroepen haar kwartier binnen[/color].
Text/120/text,Ze zeggen dat ze deel uitmaakte van het [pulse freq=2][color=CHARTREUSE]verzet[/color][/pulse].
Choice/121/text,We zouden hier niet over moeten praten. Het is gevaarlijk.
Choice/122/text,Ik maak me ook zorgen om haar. Dit is niet juist.
Text/123/text,Je hebt gelijk. Maar pas op jezelf. Ze zoeken naar connecties met haar.
Text/124/text,Dus jullie waren close? Wees voorzichtig. Ze houden jou misschien ook in de gaten.
Text/125/text,"De officier schuift je een briefje toe: ""[color=YELLOW]Maak je post schoon van alles wat verdacht is.[/color]"""
Text/126/text,Je bent al een tijdje bij dit controlepunt. Interessante prestatierapport.
Text/127/text,"Je werd vaak gezien met Officier Sasha, die nu onderzocht wordt voor [wave amp=20 freq=3][color=CRIMSON]verraad[/color][/wave]."
Text/128/text,De chef leunt naar voren. Is er iets dat je me zou willen vertellen over haar activiteiten?
Choice/129/text,Sasha en ik waren gewoon collega's. Ik weet niets over haar buiten het werk.
Choice/12a/text,Ik verzamelde bewijs over haar verdachte activiteiten om later te rapporteren.
Text/12b/text,Meerdere getuigen zeggen iets anders. Zonder concreet bewijs kan ik je echter niet vasthouden. [color=YELLOW]Nog niet.[/color]
Text/12c/text,"Je zult onder [color=CRIMSON]nauwlettend toezicht[/color] staan. Eén misstap, en je zult [color=DARK_VIOLET]Sasha vergezellen[/color]."
Text/12d/text,Hoe handig. En toch heb je tot nu toe geen rapporten ingediend.
Text/12e/text,"Je zult een volledige verklaring afleggen. Als je informatie waardevol blijkt, zullen we je vertraagde rapportage misschien door de vingers zien."
Text/12f/text,Ik zal [color=CRIMSON]je werk vandaag monitoren[/color]. Elke reiziger moet een identiteitsscan ondergaan. [color=RED]Geen uitzonderingen[/color].
Text/130/text,Sasha is meegenomen. Het plan van het verzet is [color=CRIMSON]gecompromitteerd[/color]. Met veiligheid in verhoogde staat van paraatheid lijken hun kansen hopeloos.
Choice/121/disabled_text,
Choice/12a/disabled_text,
Choice/129/disabled_text,
Choice/122/disabled_text,
