keys,ru
Character/173/name,Диктор радио
Character/174/name,Мёрфи
Character/175/name,Рассказчик
Character/176/name,Тихая Картошка
Character/177/name,Обеспокоенная Картошка
Character/178/name,Древняя Картошка
Character/179/name,You
Character/17a/name,Премьер-министр Айдахо
Character/17b/name,Лидер Сопротивления
Character/17c/name,Недоверчивый Член Сопротивления
Character/17d/name,Наглый Член Сопротивления
Character/17e/name,Начальник Службы Безопасности
Character/17f/name,Офицер Службы Безопасности
Character/180/name,Спад Мэшерсон
Character/181/name,Супервайзер Рассет
Character/181/nicknames,"Расс,Рассет,Супервайзер Рассет"
Character/182/name,Сладкая Картошка Саша
Character/183/name,Нервный Путешественник
Character/184/name,Виктор
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
