keys,ro
Text/240/text,"Pe măsură ce tura de seară se apropie de sfârșit, majoritatea ofițerilor au plecat. Doar tu și câțiva gardieni ați rămas."
Text/241/text,Un gardian corpolent se apropie de stația ta. Mă numesc Viktor. Sunt de gardă de noapte.
Text/242/text,"Ochii lui sunt obosiți, bântuiți. Tu ești cel nou, nu-i așa? Cel pe care Russet îl urmărește mereu?"
Choice/243/text,Încerc doar să-mi fac treaba. De ce mă urmărește Russet?
Choice/244/text,E ceva ce ar trebui să știu?
Text/245/text,El ridică greoi din umeri. Russet îi urmărește pe toți cei care pun întrebări. Soția mea [color=STEEL_BLUE]a pus întrebări[/color] odată.
Text/246/text,Ea nu mai e prin preajmă să întrebe.
Text/247/text,"El aruncă o privire în jur, apoi își coboară vocea. Doar... ai grijă în cine ai încredere."
Text/248/text,Și pe cine [color=CRIMSON]condamni[/color]. Unii dintre noi își amintesc fiecare față pe care am trimis-o la procesare.
Text/249/text,"Un cartof nervos se apropie. Actele par în regulă, dar observi [color=CHARTREUSE]acul subtil în formă de frunză[/color] de pe gulerul lor."
Text/24a/text,"Ei își împing documentele. O mică notă este ascunsă înăuntru: ""[color=CHARTREUSE]Sasha m-a trimis. Pachet pentru rețea. Te rog.[/color]"""
Text/24b/text,Noul [color=DARK_ORANGE]RealityScan[/color] clipește gata la stația ta. O singură scanare și va detecta elemente falsificate în actele lor.
Choice/24c/text,Pretinde că scanerul s-a defectat și fă-le semn să treacă
Choice/24d/text,Folosește scanerul conform cerințelor – nu poți risca expunerea
Choice/24e/text,"Fă-i semn lui Viktor să privească în altă parte, apoi lasă-i să treacă"
Text/24f/text,"Atingi scanerul, te încrunți, îl atingi din nou. ""Chestia asta blestemată face figuri. Treceți."""
Text/250/text,"O ușurare le inundă fața. Ei șoptesc ""[color=CHARTREUSE]Mulțumesc[/color]"" și trec în grabă."
Text/251/text,"Îi prinzi privirea și dai din cap spre agent. El se uită la ei, apoi la tine."
Text/252/text,"El își întoarce spatele deliberat, studiind peretele. ""[color=STEEL_BLUE]Scanerul a avut probleme toată ziua.[/color]"""
Text/253/text,"Agentul se strecoară. Viktor nu spune nimic, dar acum ați împărtășit un secret."
Text/254/text,"Rulezi scanarea. Mașina [color=RED]urlă[/color]. ""Documentație falsificată detectată."""
Text/255/text,"Groaza le apare pe față. ""[color=CRIMSON]Nu înțelegi ce ai făcut...[/color]"""
Text/256/text,"El și alți gardieni se apropie. Agentul este târât departe, încă privindu-te fix."
Text/257/text,Sasha te prinde în umbră. Acel agent transporta [color=CHARTREUSE]copii ale manifestelor[/color] către contactele noastre din exterior.
Text/258/text,"Din cauza ta, adevărul se va răspândi dincolo de granițele lui Spud. [color=CHARTREUSE]Ai făcut o diferență reală.[/color]"
Text/259/text,Ochii Sashei se măresc. Viktor a ajutat? Aveam o presimțire despre el. Soția lui era...
Text/25a/text,Vocea ei se stinge. Avem mai mulți aliați decât credeam.
Text/25b/text,"Sasha te găsește, cu o expresie rece. Acel agent avea o familie. Trei vlăstari acasă."
Text/25c/text,Înțeleg frica. Dar [color=CRIMSON]frica are consecințe[/color]. Vor fi procesați până dimineață.
Text/25d/text,Sper că dosarul tău curat merită.
Text/25e/text,Murphy se strecoară în încăperile tale. Am auzit că a fost ceva agitație la postul tău în seara asta.
Text/25f/text,[color=CHARTREUSE]Bine. Suntem în asta împreună acum.[/color] Nu mai e cale de întoarcere.
Text/260/text,Fața lui Murphy se întristează. Eu... Credeam că ești cu noi. Ce s-a întâmplat?
Text/261/text,Schimbul de mâine va fi diferit. Miza nu a fost niciodată mai mare.
Text/262/text,"Dar pentru prima dată, simți că ești de [color=CHARTREUSE]partea corectă[/color]. Orice ar costa."
Text/263/text,Fața agentului te bântuie. Familia lor nu va ști niciodată de ce nu s-au întors acasă.
Text/264/text,[color=STEEL_BLUE]Din cauza ta.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
