keys,cs
Text/140/text,"Hranice připomíná [pulse freq=3][color=CRIMSON]válečnou zónu[/color][/pulse]. Barikády, obrněná vozidla a elitní stráže jsou připraveny. Dnes je den, kdy odboj plánoval zaútočit."
Text/141/text,"[wave amp=25 freq=3][color=YELLOW]NOUZOVÉ VYSÍLÁNÍ[/color][/wave]: Celý Spud je pod [color=RED]stanným právem[/color]. ""Odboj"" zahájil útoky proti vládním zařízením."
Text/142/text,"Každý, kdo pomáhá těmto [color=CRIMSON]extremistům[/color], čelí [color=DARK_VIOLET]okamžitému zpracování[/color]. Ministerstvo potvrzuje: [color=DARK_VIOLET]Kořenová rezervace[/color] zůstává bezpečná pro všechny [color=DARK_ORANGE]loajální brambory[/color]."
Text/143/text,[color=YELLOW]Vypukly nepokoje[/color] v několika sektorech. Buňky odboje zaútočily na tři zařízení [color=DARK_VIOLET]Kořenové rezervace[/color].
Text/144/text,Jejich cíl: přístup k centrální databázi se všemi výrobními záznamy. Jakýkoliv náznak neloajality znamená zpracování.
Text/145/text,"Zajali jsme několik operativců odboje, včetně důstojnice Sashi."
Text/146/text,"Skutečnými [tornado radius=3 freq=2][color=CRIMSON]zrádci[/color][/tornado] jsou ti, kteří [color=DARK_VIOLET]krmí náš lid sebou navzájem[/color]. Pravdu nezastavíte!"
Text/147/text,"Je odvlečena, stále křičí: [color=CHARTREUSE]Lidé se dozvědí, co je v jejich jídle![/color]"
Text/148/text,"[color=CRIMSON]Zrádkyně[/color] bude [pulse freq=3][color=DARK_VIOLET]okamžitě zpracována[/color][/pulse]. Speciální dávka [color=DARK_VIOLET]Kořenové rezervace[/color], vyrobená ze samotných teroristů."
Text/149/text,Všechny hraniční přechody jsou [color=RED]pozastaveny[/color] kromě nezbytného personálu s [color=GOLD]oprávněním úrovně Alfa[/color].
Text/14a/text,Tento skener [color=YELLOW]nelze oklamat[/color]. Okamžitě spusťte poplach pro kohokoliv bez řádného oprávnění.
Text/14b/text,K přechodu přistupuje brambora v oficiální uniformě se zdánlivě perfektními pověřeními Alfa.
Text/14c/text,"Z složky vypadne malá modrá karta. ""[wave amp=15 freq=3][color=CHARTREUSE]Kořeny rostou hluboko.[/color][/wave]"", zamumlá, když zvedá kartu."
Choice/14d/text,"Zpracujte je dál, ignorujte výstrahy skeneru (Pomozte odboji)"
Choice/14e/text,Okamžitě spusťte poplach (Zraďte odboj)
Text/14f/text,"V jejich očích se objeví úleva. ""[color=CHARTREUSE]Pro Sashu. Pro Spud.[/color]"" Zmizí směrem k centrální databázi."
Text/150/text,"V jejich tváři se objeví hrůza. ""[color=CRIMSON]Ty zrádce! Věřili jsme ti![/color]"" Rychle je obklopí stráže."
Text/151/text,Výborná práce. Vaše loajalita bude odměněna.
Text/152/text,"Náhle se zařízení [color=YELLOW]otřásá výbuchy[/color]. Útok odboje začal, bez ohledu na vaši volbu."
Text/153/text,"Mám zůstat na svém místě a doufat, že to přejde, nebo [color=CHARTREUSE]zaujmout postoj[/color] a riskovat všechno, abych odhalil pravdu?"
Choice/154/text,Nemohu opustit svou povinnost. Budu mlčet a doufat v to nejlepší.
Choice/155/text,"Byl jsem příliš dlouho spoluviníkem. Je čas bojovat za to, co je správné."
Choice/155/disabled_text,
Choice/14d/disabled_text,
Choice/154/disabled_text,
Choice/14e/disabled_text,
