keys,cs
Text/215/text,"Murphy tě chytí na chodbě, s očima zarudlýma. Máš chvilku?"
Text/216/text,Murphy tě vtáhne do prázdného skladu a zavře dveře.
Text/217/text,"Ten vtip, co jsem udělal v jídelně... o tom, že můj bratranec je v dávce [color=DARK_VIOLET]Kořenové rezervy[/color]..."
Text/218/text,"Murphyho hlas se zlomí. Už si nemyslím, že to byl vtip."
Text/219/text,"Říkal jsi, že to není vtipné. Měl jsi pravdu. [color=STEEL_BLUE]Na tomhle není nic vtipného.[/color]"
Text/21a/text,"Viděl jsem tě odejít. Chytré. Kéž bych mohl přestat jíst ty věci, ale oni [color=YELLOW]sledují[/color]. Vždycky sledují."
Text/21b/text,"Našel jsem něco mezi věcmi mého bratrance. Jeho formulář o zamítnutí. Běžná věc, ale..."
Text/21c/text,"Murphy vytáhne zmačkaný formulář. Podívej se na kód zpracování. ""[color=CRIMSON]RR-UTIL-7[/color]."""
Text/21d/text,Hledal jsem to v archivech. RR znamená [pulse freq=2][color=DARK_VIOLET]Kořenová rezerva[/color][/pulse]. UTIL znamená... [color=CRIMSON]využití[/color].
Text/21d_breakdown1/text,[wave amp=20 freq=3]Murphymu se začnou třást ruce.[/wave] Můj bratranec... Tommy... bylo mu teprve dvacet tři.
Text/21d_breakdown2/text,Přišel sem pro [color=CHARTREUSE]lepší život[/color]. Neprošel jednou kontrolou. Jednou. [color=STEEL_BLUE]Jen špatné načasování.[/color]
Text/21d_breakdown3/text,"Murphy se sveze po zdi, tvář v dlaních. A já... já jsem ty věci [tornado radius=3 freq=2][color=CRIMSON]JEDL[/color][/tornado]. Každý den."
Text/21d_breakdown4/text,"Murphy se na tebe podívá, slzy mu tečou. [pulse freq=2][color=CRIMSON]Co když jsem snědl JEHO?[/color][/pulse]"
Choice/21e/text,Murphy... Je mi to tak líto. Jsem s tebou. Najdeme pravdu společně.
Choice/21f/text,"Murphy, tohle je nebezpečné. Měli bychom se držet stranou."
Choice/220/text,Možná je to náhoda. Nedělejme ukvapené závěry.
Text/221_comfort1/text,"Klekneš si vedle Murphyho, položíš mu ruku na rameno."
Text/221/text,"Murphy se chytí tvé paže jako záchranného lana. [color=CHARTREUSE]Děkuji.[/color] Myslel jsem, že se zblázním."
Text/221_tommy/text,"[color=STEEL_BLUE]Jeho hlas se mírně uklidní.[/color] Pro Tommyho. Děláme to pro Tommyho. A pro všechny ostatní, které vzali."
Text/222/text,"Jsou i jiní, kteří něco tuší. Saša shromažďuje lidi. Myslím, že ti věří."
Text/223/text,"Murphy si utře oči a snaží se sebrat. Jo. Jo, máš asi pravdu. Zapomeň, že jsem něco řekl."
Text/224/text,Ale pokud si to rozmyslíš... Budu tady. [color=STEEL_BLUE]Sám se svými otázkami. A svými nočními můrami.[/color]
Text/225/text,Náhoda. Murphy se hořce zasměje skrze slzy. Jasně. A Tommy prostě [color=CRIMSON]zmizel[/color] ve vzduchu.
Text/226/text,"Říkej si to dál. Uvidíš, jak dlouho ti to pomůže spát. [color=STEEL_BLUE]Mně to nepomáhá.[/color]"
Text/227/text,"Saša se objeví u tvého stánku, když končí poslední směna. Vypadáš, jako bys viděl ducha."
Text/228/text,Nech mě hádat – Murphy ti řekl o svém bratranci?
Text/229/text,"Saša souhlasně přikývne. Dobře. Potřebujeme lidi, kteří se ptají."
Text/22a/text,Saša si pečlivě prohlíží tvou tvář. Máš strach. To je chytré. Ale strach nikoho nezachrání.
Text/22b/text,"Sleduji tě od tvého prvního dne. Jak jsi [color=YELLOW]zaváhal[/color], když Russet mluvil o „zpracování“."
Text/22c/text,"Zeptal ses, co se stane s odmítnutými bramborami. To chtělo odvahu. [color=CHARTREUSE]Většina jen salutuje a razítkuje.[/color]"
Text/22d/text,"Saša se nakloní blíž. Je v tom systém. Každá brambora, kterou odmítneme? Pryč do 48 hodin. Žádné záznamy o deportaci. Žádné přesuny."
Text/22e/text,Ale produkce [color=DARK_VIOLET]Kořenové rezervy[/color]? [tornado radius=3 freq=2][color=CRIMSON]Stoupá.[/color][/tornado] Pokaždé. Bez. Výjimky.
Choice/22f/text,Věřím ti. Jak mohu pomoci?
Choice/230/text,"Potřebuji vidět důkaz, než všechno riskovat."
Text/231/text,"Sašiny oči se rozzáří. Věděla jsem, že jsem si vybrala správně. Zítra večer, po směně. Ukážu ti, co jsem našla."
Text/232/text,Do té doby
Text/233/text,Rozumím. Důkaz se blíží. Jen... měj oči otevřené během zítřejší směny.
Text/234/text,"Sleduj, kam jdou [color=CRIMSON]odmítnuté brambory[/color]. Sleduj náklaďáky, pokud můžeš."
Text/235/text,"Vytáhneš fotku, kterou ti dala zoufalá brambora. Její žena. [color=STEEL_BLUE]Kde je teď?[/color]"
Text/236/text,"Pokud je pravda, co říkají Saša a Murphy... už byla..."
Text/237/text,Nemůžeš dokončit myšlenku. Ale [color=CHARTREUSE]nezapomeneš na její tvář[/color].
Text/238/text,"Zítra se všechno změní. Buď najdeš odpovědi, nebo otázky pohřbíš navždy."
Text/239/text,Jedna věc je jistá: [color=YELLOW]už není cesty zpět k blažené nevědomosti[/color].
Choice/21e/disabled_text,
Choice/21f/disabled_text,
Choice/220/disabled_text,
Choice/22f/disabled_text,
Choice/230/disabled_text,
