keys,sv
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - UPPDATERINGSANTECKNINGAR
patch_1_2_0_personal_note_header,EN PERSONLIG HÄLSNING FRÅN UTVECKLAREN
patch_1_2_0_personal_note,"Denna uppdatering är tillägnad min lilla, som tillbringade de första månaderna av sitt liv på neonatalavdelningen - från 1lb vid födseln till nu 20lbs av ren glädje. Tack till alla som har följt med på denna resa - över 2 000 spelare har nu upplevt Spud Customs!"
patch_1_2_0_visual_header,VISUELLA FÖRBÄTTRINGAR
patch_1_2_0_visual_1,Integration av animerad konst: Nya animerade GIF:ar från StagNation har integrerats i öppningsscenerna
patch_1_2_0_visual_2,Konstnärlig översyn: De första fem scenerna spelare ser har målats om för förbättrad visuell kvalitet
patch_1_2_0_visual_3,Dynamiska bakgrunder: Bakgrundsvisualer ändras nu när svårighetsgraden ökar
patch_1_2_0_story_header,BERÄTTELSE & NARRATIV
patch_1_2_0_story_1,Valbeständighet: Narrativa val överförs nu korrekt mellan alla nivåer
patch_1_2_0_story_2,Visuell progression: Visuella indikatorer för berättelsens framsteg har lagts till i de huvudsakliga spelscenerna baserat på aktuellt skiftnummer
patch_1_2_0_story_3,Fixar för förgrenande dialog: Problem med förgrenande dialog har åtgärdats i de sista narrativa scenerna
patch_1_2_0_bugfix_header,BUGGFIXAR
patch_1_2_0_bugfix_1,Prestationssystem: Spårning av prestationer har åtgärdats - alla prestationer låses nu upp korrekt
patch_1_2_0_bugfix_2,Topplista: Problem där topplistan fastnade vid laddning har åtgärdats
patch_1_2_0_bugfix_3,Skärmskakning: Skärmskakning återställs nu korrekt till ursprungsläget efter varje användning
patch_1_2_0_bugfix_4,Svårighetsskalning: Skalningsfaktorn för enkelt läge har åtgärdats
patch_1_2_0_bugfix_5,Bakgrundsvisning: Saknade bakgrunder under dialogscener har åtgärdats
patch_1_2_0_bugfix_6,Textläsbarhet: Textfärgen har förbättrats för bättre läsbarhet
patch_1_2_0_engagement_header,SPELARENGAGEMANG
patch_1_2_0_engagement_1,Recensionsförfrågningar: Recensionsuppmaningar har lagts till för demo- och fullversionens spelare
patch_1_2_0_engagement_2,Översättningsfixar: Olika översättningsförbättringar i alla språk som stöds
patch_1_2_0_technical_header,TEKNISKA FÖRBÄTTRINGAR
patch_1_2_0_technical_1,Utökat språkstöd: Stöder nu alla 31 Steam-stödda språk
patch_1_2_0_technical_2,Översyn av översättningssystemet: Översättningsfiler har omorganiserats för bättre underhållbarhet
