keys,ar
Text/a6/text,منشأة الحدود تبدو مختلفة اليوم. متوترة. دوريات أمنية بأعداد أكبر وصمت حذر يحل محل الثرثرة.
Text/a7/text,الليلة الماضية، اكتُشفت [pulse freq=2][color=CRIMSON]مواد محظورة[/color][/pulse]. منشورات تحتوي على أكاذيب حول [color=DARK_VIOLET]احتياطي الجذور[/color].
Text/a8/text,نحن نطبق [wave amp=15 freq=2][color=DARK_ORANGE]بروتوكولات مستوى التهديد البرتقالي[/color][/wave]. جميع الضباط يخضعون لفحوصات الولاء. جميع المسافرين يواجهون أقصى درجات التدقيق.
Text/a9/text,الأمر ينجح. المنشورات تنتشر. الناس يطرحون أسئلة حول [color=DARK_VIOLET]احتياطي الجذور[/color].
Text/aa/text,لدي مصادر تخبرني أن هناك سجل شحن في مكتب راسيت - بيانات شحن يمكن أن [tornado radius=3 freq=2][color=CHARTREUSE]تثبت كل شيء[/color][/tornado].
Text/ab/text,أحتاجك لمساعدتي في الحصول عليه. الليلة، بعد المناوبة الأخيرة. هل يمكنني الاعتماد عليك؟
Choice/ac/text,"""أنا معك. لنكشف الحقيقة."""
Choice/ad/text,"""لا أعرف يا ساشا... هذا قد يكون خطيرًا."""
Text/ae/text,الحمد لله. كنت أعلم أن لديك [color=CHARTREUSE]جذورًا أقوى من الآخرين[/color]. سنلتقي في منتصف الليل.
Text/af/text,أحيانًا يجب علينا [color=CHARTREUSE]المخاطرة بالتعرض للهرس لفعل الصواب[/color]. فكر في الأمر.
Text/b0/text,[color=DARK_ORANGE]فحص الولاء[/color]. يرجى ذكر اسمك ورقم تعريف الضابط. ثم أخبرني لماذا تخدم سبود.
Choice/b1/text,"""أنا أخدم لحماية حدودنا من التأثيرات الخطيرة."""
Choice/b2/text,"""أنا أخدم لضمان حصول الجميع على معاملة عادلة."""
Text/b3/text,إجابة جيدة. سبود تحتاج إلى حماة أوفياء. الماسح الضوئي يقرأ أخضر. استمر في عملك، أيها الضابط.
Text/b4/text,يرفع الضابط حاجبيه. معاملة عادلة؟ الماسح الضوئي يومض [color=DARK_ORANGE]باللون الكهرماني[/color]. تذكر، اهتمامنا الأساسي هو الأمن، وليس العدالة.
Text/b5/text,تم زيادة حصة اليوم. يجب وضع علامة على أي شخص لديه مواد مشبوهة لـ [color=DARK_VIOLET]معالجة خاصة[/color].
Text/b6/text,سأكون [color=DARK_ORANGE]أراقب قراراتك[/color] بعناية شديدة اليوم.
Text/b7/text,الليلة قد تغير كل شيء. ولكن أولاً، [color=YELLOW]ابق على قيد الحياة اليوم دون إثارة الشك[/color].
Text/b4_viktor1/text,يمسك حارس أمن ضخم ذراعك بينما تمر. وجهه تكسوه علامات القلق.
Text/b4_viktor2/text,مرحباً... آسف لإزعاجك. أنت أحد ضباط الجمارك، أليس كذلك؟ اسمي [color=CHARTREUSE]فيكتور[/color].
Text/b4_viktor3/text,كنت أسأل الجميع عن زوجتي، [color=GOLD]إيلينا[/color]. إيلينا بيتروف. لقد عبرت نقطة التفتيش هذه قبل ثلاثة أسابيع.
Text/b4_viktor4/text,[color=STEEL_BLUE]فشلت في التفتيش.[/color] قالوا إنها ستتم معالجتها وإعادتها إلى المنزل، لكن... لم أسمع أي شيء.
Text/b4_viktor5/text,صوته يرتعش. لا أحد سيخبرني بأي شيء. هل تعرف أين يذهب المسافرون المرفوضون؟
Choice/b4_viktor6/text,"""أنا آسف يا فيكتور. لا أعرف. لكنني سأبقى متيقظًا."""
Choice/b4_viktor7/text,"""لا يمكنني مناقشة تفاصيل المعالجة. بروتوكولات أمنية."""
Text/b4_viktor8/text,عيون فيكتور تظهر بصيص أمل. [color=CHARTREUSE]شكرًا لك.[/color] أي شيء تكتشفه... أرجوك. هي كل ما أملك.
Text/b4_viktor9/text,يومئ فيكتور برأسه، محبطًا. [color=STEEL_BLUE]حسنًا. البروتوكولات.[/color] أتفهم.
Text/b4_viktor10/text,ولكن إذا غيرت رأيك... [color=YELLOW]أحتاج أن أعرف ما حدث لها.[/color]
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Choice/b4_viktor6/disabled_text,
Choice/b4_viktor7/disabled_text,
