keys,uk
Text/96/text,"Ти пробираєшся темним коридором, серце калатає, поки ти уникаєш патрулів охорони."
Text/97/text,[color=CHARTREUSE]Цей пристрій вимкне замок[/color] на офісі Рассета. Я увімкну сигналізацію у східному крилі для відволікання. У тебе буде п'ять хвилин.
Text/98/text,"""Маніфести мають бути в його картотеці. [color=CRIMSON]Червона папка з написом 'RR Transport'[/color]. Не залишай слідів свого пошуку."""
Text/99/text,"Ти знаходиш товсту [color=CRIMSON]червону папку з написом ""RR Transport""[/color] у картотеці."
Text/9a/text,"Всередині — маніфести, що відповідають кількості відхилених картоплин, та директива від Прем'єр-міністра Айдахо, що дозволяє ""[pulse freq=3][color=DARK_VIOLET]повне використання прикордонних відмовників для виробництва RR.[/color][/pulse]"""
Text/9a_viktor1/text,Ти скануєш імена в маніфесті... і одне виділяється. [color=GOLD]Олена Петрова[/color].
Text/9a_viktor2/text,"Це ім'я... ти чув його раніше. Охоронець Віктор згадував, що його дружина зникла."
Text/9a_viktor3/text,"""[color=CRIMSON]Статус: Оброблено. Партія RR-2851.[/color]"" Датовано два тижні тому."
Text/9b/text,"Кроки наближаються до дверей офісу. ""[wave amp=15 freq=3][color=YELLOW]Дивно, я міг би присягнутися, що замкнув це.[/color][/wave]"""
Choice/9c/text,"""Сховатися під столом"""
Choice/9d/text,"""Вистрибнути у вікно"""
Text/9e/text,"Ти пірнаєш під стіл Рассета, коли він заходить, твоє серце калатає. Він сідає, його ноги за кілька сантиметрів від твого обличчя."
Text/9f/text,"""Рассет слухає. Що? [color=CHARTREUSE]Ще одна тривога?[/color] Я вже йду."" Він іде, і ти тікаєш."
Text/a0/text,"Ти ривком відчиняєш вікно і стрибаєш. На щастя, це лише один поверх. Охоронець кричить: ""[color=RED]Гей! Стій![/color]"""
Text/a1/text,Ти мчишся через територію і тобі вдається відірватися від переслідувачів.
Text/a2/text,Ти це дістав?
Text/a3/text,"Ти передаєш докази, пояснюючи, що ти знайшов."
Text/a4/text,Це доводить усе. Опір зробить копії. [tornado radius=3 freq=2]Поширюйте правду всюди.[/tornado] Вони не зможуть змусити нас усіх замовкнути.
Text/a5/text,"Ти перетнув межу. [wave amp=20 freq=3][color=YELLOW]Назад дороги немає.[/color][/wave] Коли правда пошириться, Спад буде трансформований."
Choice/9c/disabled_text,
Choice/9d/disabled_text,
