keys,ar
Text/78/text,يوم آخر عند نقطة التفتيش. طابور البطاطس يمتد أطول من أي وقت مضى، والجميع متوتر.
Text/79/text,أوامر جديدة من القيادة. سنقوم [wave amp=15 freq=3][color=DARK_ORANGE]بمضاعفة حالات الرفض[/color][/wave]. أي بطاطس تعتبر غير آمنة سيتم احتجازها فوراً.
Text/7a/text,لدي مهمة خاصة. لدينا معلومات استخباراتية عن [pulse freq=2][color=CRIMSON]مثيري الشغب[/color][/pulse]. كن يقظاً في تفتيشاتك.
Choice/7b/text,"""نعم سيدي، لن أخذلك"""
Choice/7c/text,"""عن أي نوع من مثيري الشغب نتحدث؟"""
Text/7d/text,جيد. كنت أعلم أنني أستطيع الاعتماد عليك. ستصل بعيداً بهذا الموقف.
Text/7e/text,النوع الذي [color=CRIMSON]يهدد طريقة حياتنا[/color]. لا تسأل الكثير من الأسئلة إذا كنت تعرف مصلحتك.
Text/7f0/text,"قل... أنت تشبه أخي تماماً."
Text/7f/text,[color=STEEL_BLUE]أرجوك، أتوسل إليك![/color] زوجتي - اسمها [color=GOLD]ماريس[/color] - كان من المفترض أن تكون خلفي مباشرة.
Text/7fb/text,"لم [tornado radius=2 freq=3]تتمكن من عبور الجمارك[/tornado] أبداً. قالوا إن أوراقها بها ""مخالفة""."
Text/80/text,لا أحد يخبرني ماذا حدث لها. أرجوك، [color=CHARTREUSE]ساعدني في العثور عليها![/color]
Choice/81/text,"""أنا آسف، ولكن لا يوجد شيء يمكنني فعله."""
Choice/82/text,"""دعني أرى ما يمكنني اكتشافه. لا وعود."""
Text/83/text,تماماً مثل الآخرين... [color=STEEL_BLUE]ليثقل ضميرك كما يثقل ضميري.[/color]
Text/83b/text,تبتعد البطاطس اليائسة ببطء. تلاحظ أنها تحدق في صورة بالية قبل أن تختفي.
Text/84/text,شكراً لك! حتى أمل صغير أفضل من لا شيء.
Text/84b/text,تدفع [color=GOLD]صورة بالية[/color] في يديك. اسمها [color=GOLD]ماريس بايبر[/color]. عيناها لطيفة. أرجوك جدها.
Text/84c/text,تنظر إلى الصورة. بطاطس شابة بملامح رقيقة وابتسامة دافئة. [color=GOLD]ماريس بايبر[/color].
Text/84d/text,إلى أين ذهبت؟ طابور الرفض يؤدي إلى... أين بالضبط؟
Text/85/text,رأيت ذلك التبادل. [color=DARK_ORANGE]التعاطف مع المرفوضين لا يؤدي إلا إلى المتاعب.[/color] ابقَ مركزاً على واجبك.
Choice/7b/disabled_text,
Choice/7c/disabled_text,
Choice/81/disabled_text,
Choice/82/disabled_text,
