keys,zh-TW
dialogue_spud_being_called_1,下一位薯塊，您的命運正在等候。
dialogue_spud_being_called_2,隊伍最前方，真相時刻即將來臨。
dialogue_spud_being_called_3,請上前，塊莖類中的天選者。
dialogue_spud_being_called_4,恭喜！您的等候已成功。
dialogue_spud_being_called_5,偉大的馬鈴薯官僚機構召喚您。
dialogue_spud_being_called_6,前進，崇高的塊莖！文件正在等候！
dialogue_spud_being_called_7,前進！印章已不耐煩。
dialogue_spud_being_called_8,動作快點！P-38B 表格需要填寫。
dialogue_spud_being_called_9,請上前，命運需要您的入境。
dialogue_spud_being_called_10,走向審判櫃檯，薯塊。
dialogue_spud_in_office_1,請耐心等候。時間是一種幻覺。
dialogue_spud_in_office_2,等候能磨練品格。以及澱粉。
dialogue_spud_in_office_3,隊伍以神秘的方式移動。
dialogue_spud_in_office_4,您的位置已由當局記錄。
dialogue_spud_in_office_5,排隊：普世常數。
dialogue_spud_in_office_6,沒有薯塊能準備好，直到被等候所調味。
dialogue_spud_in_office_7,耐心：並非唯一的美德，但已列入清單。
dialogue_spud_in_office_8,官僚的齒輪轉動緩慢。非常緩慢。
dialogue_spud_in_office_9,啊，程序的甜美聲響！
dialogue_spud_in_office_10,今日的隊伍是明日的軼事。
dialogue_spud_in_office_11,隊伍中的時間會彎曲。這已被測量過。
dialogue_spud_in_office_12,等候技能：達到 43 級！
dialogue_warnings_1,反抗者將會被精準地削皮。
dialogue_warnings_2,插隊者送往快速處理。
dialogue_warnings_3,擾亂隊伍將獲得關於隊伍的講座。
dialogue_warnings_4,抗命者將被送往熱油房。
dialogue_warnings_5,我們無需公平，只需有條不紊。
dialogue_warnings_6,馬鈴薯合規委員會洞察一切。
dialogue_warnings_7,麻煩製造者：不加奶油的馬鈴薯泥。
dialogue_warnings_8,混亂製造者將迅速變成薯餅。
dialogue_warnings_9,違規者將面臨二次烘烤。
dialogue_warnings_10,排隊審計員已標記了你的存在。
dialogue_warnings_11,你的檔案：已蓋上「那個」紅章。
dialogue_misc_1,大家都在哪裡？
dialogue_misc_2,緊急狀況？請繼續依序等候。
dialogue_misc_3,有閱讀等候協議第七段嗎？
dialogue_misc_4,失物：已尋獲、已課稅、已放錯位置。
dialogue_misc_5,如果馬鈴薯抱怨，會發出聲音嗎？
dialogue_misc_6,光線被招牌取代：「更多隧道」。
dialogue_misc_7,死亡是暫時的。官僚體制才是永恆。
dialogue_misc_8,檔案系統已獲得知覺。請保持冷靜。
dialogue_misc_9,今日幸運號碼毫無意義。抱歉。
dialogue_misc_10,世界末日？請取號，等候消失。
dialogue_misc_11,沒有證據代表需要更多表格。
dialogue_document_interaction_1,請拿走你的文件。
dialogue_document_interaction_2,拿走它們！
dialogue_perfect_stamp_1,表現出色！
dialogue_perfect_stamp_2,這才是蓋章的真功夫！
dialogue_perfect_stamp_3,精準無比！
dialogue_perfect_stamp_4,蓋章之神眷顧著你！
dialogue_perfect_stamp_5,教科書級的技巧！
dialogue_runner_stopped_1,抓到了！
dialogue_runner_stopped_2,休想！
dialogue_runner_stopped_3,正義現煮現上！
dialogue_runner_stopped_4,這就是逃跑者的下場！
dialogue_runner_stopped_5,目標已清除！
dialogue_runner_escaped_1,該死！他們跑掉了！
dialogue_runner_escaped_2,可惡！太慢了！
dialogue_runner_escaped_3,那個溜走了...
dialogue_runner_escaped_4,這份文書工作...
dialogue_runner_escaped_5,這不是我最光榮的時刻。
dialogue_wrong_stamp_1,等等，這不對勁...
dialogue_wrong_stamp_2,嗯，我是故意的嗎？
dialogue_wrong_stamp_3,墨水... 它背叛了我！
dialogue_wrong_stamp_4,哎呀。
dialogue_strike_received_1,這會記錄在我的檔案裡...
dialogue_strike_received_2,部門不會喜歡這樣。
dialogue_strike_received_3,離變成薯泥又近了一步...
dialogue_strike_received_4,記點了！但不是好事。
