keys,zh-CN
dialogue_spud_being_called_1,下一位土豆，你的命运在等待。
dialogue_spud_being_called_2,队伍最前方，审判时刻即将来临。
dialogue_spud_being_called_3,请上前，天选之薯。
dialogue_spud_being_called_4,恭喜！你的等待成功了。
dialogue_spud_being_called_5,伟大的土豆官僚机构召唤你。
dialogue_spud_being_called_6,前进，高贵的土豆！文件在等待！
dialogue_spud_being_called_7,上前！印章变得焦躁不安。
dialogue_spud_being_called_8,动作麻利点！P-38B表格需要填写。
dialogue_spud_being_called_9,请上前，命运要求你进入。
dialogue_spud_being_called_10,走向审判柜台，土豆。
dialogue_spud_in_office_1,请耐心等待。时间是幻觉。
dialogue_spud_in_office_2,等待磨练品格。还有淀粉。
dialogue_spud_in_office_3,队伍以神秘的方式移动。
dialogue_spud_in_office_4,你的位置已被当局记录。
dialogue_spud_in_office_5,排队：宇宙常数。
dialogue_spud_in_office_6,未经等待“调味”，土豆永不成熟。
dialogue_spud_in_office_7,耐心：并非唯一的美德，但已列入清单。
dialogue_spud_in_office_8,官僚机器运转缓慢。非常缓慢。
dialogue_spud_in_office_9,啊，程序的甜美之声！
dialogue_spud_in_office_10,今天的队伍是明天的轶事。
dialogue_spud_in_office_11,排队的时间会扭曲。这已被测量。
dialogue_spud_in_office_12,等待技能：达到43级！
dialogue_warnings_1,反抗者将被精准削皮。
dialogue_warnings_2,插队者送往快速处理。
dialogue_warnings_3,扰乱队伍将获得关于排队的讲座。
dialogue_warnings_4,不服从者将被送往热油房。
dialogue_warnings_5,我们无需公平，只需有序。
dialogue_warnings_6,马铃薯合规委员会洞察一切。
dialogue_warnings_7,捣乱者：不加黄油的土豆泥。
dialogue_warnings_8,制造混乱者将迅速变成薯饼。
dialogue_warnings_9,违规者将面临二次烘烤待遇。
dialogue_warnings_10,排队审计员已标记你的存在。
dialogue_warnings_11,你的档案：已盖上红色印章。
dialogue_misc_1,大家都去哪儿了？
dialogue_misc_2,紧急情况？请继续按顺序等待。
dialogue_misc_3,读过等候协议第七段了吗？
dialogue_misc_4,失物：已找到，已征税，已放错。
dialogue_misc_5,如果一个马铃薯抱怨，它会发出声音吗？
dialogue_misc_6,灯光被牌子取代：‘更多隧道。’
dialogue_misc_7,死亡是暂时的。官僚主义是永恒的。
dialogue_misc_8,档案系统已获得感知能力。请保持冷静。
dialogue_misc_9,今日幸运数字毫无意义。抱歉。
dialogue_misc_10,末日？请取号，等待消失。
dialogue_misc_11,没有证据意味着需要更多表格。
dialogue_document_interaction_1,请拿走您的证件。
dialogue_document_interaction_2,拿走它们！
