keys,da
Text/b8/text,"Grænseanlægget er i fuldstændig nedlukning, med bevæbnet sikkerhed på patrulje i hver korridor."
Text/b9/text,[pulse freq=3][color=RED]OBS! NIVEAU RØD sikkerhedssituation![/color][/pulse] Klassificerede dokumenter blev stjålet i nat.
Text/ba/text,"Vi har en [tornado radius=4 freq=3][color=CRIMSON]forræder iblandt os[/color][/tornado]. Enhver, der tilbageholder information, vil blive behandlet som medskyldig."
Text/bb/text,"Alle officerer, stil op til [wave amp=15 freq=2][color=DARK_ORANGE]sikkerhedsscanning[/color][/wave]. De med forhøjede stressreaktioner vil blive markeret."
Text/bc/text,"Har du set, hvad der sker udenfor? Pjecer overalt viser, at [color=DARK_VIOLET]Root Reserve[/color] er lavet af... [pulse freq=3][color=CRIMSON]af os[/color][/pulse]."
Choice/bd/text,Hold din stemme nede. Vi bliver alle overvåget.
Choice/be/text,"Jeg har hørt de samme rygter. Det er forfærdeligt, hvis det er sandt."
Choice/bf/text,Det er latterlig propaganda. Spred ikke sådanne løgne.
Text/c0/text,Du har ret. Men hvis det er sandt... hvad gør det os til?
Text/c1/text,Min fætter blev afvist sidste måned. Betyder det...? Jeg [color=CHARTREUSE]kan ikke gøre dette længere[/color].
Text/c2/text,Deres udtryk bliver reserveret. Selvfølgelig. Loyal Spud for evigt.
Text/c3/text,Angiv din opholdssted i går aftes mellem kl. 22:00 og 04:00.
Choice/c4/text,"Jeg var i mine kvarterer hele natten, sovende."
Choice/c5/text,Jeg vil foretrække at tale med min juridiske repræsentant først.
Text/c6/text,Dit stressniveau indikerer [color=YELLOW]bedrag[/color]. Dog... ikke konkluderende. Du må gå for nu.
Text/c7/text,"Juridisk repræsentant? Dette er en sikkerhedsprocedure, ikke en retssag. Din afvisning er blevet noteret."
Text/c8/text,"Det virker. Manifesterne har forårsaget opstandelse, men [color=DARK_ORANGE]Russet mistænker os[/color]."
Text/c9/text,Hold øje med allierede fra vores organisation under dagens vagt. [color=CHARTREUSE]Du vil genkende dem[/color].
Text/ca/text,"Hvis du kan få dem igennem sikkert, brug det [color=CHARTREUSE]specielle mærke, vi diskuterede[/color]."
Choice/cb/text,Det er risikoen værd. Jeg er med.
Choice/cc/text,Dette bliver for farligt. Måske burde vi holde lav profil.
Text/cd/text,"Jeg vidste, jeg kunne regne med dig. Når dette er overstået, [color=CHARTREUSE]vil Spud vide, hvem de virkelige helte var[/color]."
Text/ce/text,Vi er langt forbi det punkt. At holde lav profil vil ikke redde os. [color=CHARTREUSE]Kun at bringe systemet ned vil[/color].
Text/cf/text,Hver station har nu det nye [color=DARK_ORANGE]RealityScan-system[/color]. Det registrerer uautoriserede mærker og forfalskninger.
Text/d0/text,Alle dokumenter skal scannes før godkendelse. [color=CRIMSON]Forræderne vil blive udryddet[/color]. Jeg garanterer det.
Text/d1/text,"At hjælpe modstandsmedlemmer er lige blevet meget farligere, men [color=CHARTREUSE]sandheden må spredes[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
