keys,de
violation_condition_not_fresh,ABLEHNEN: Nur frische Kartoffeln erlaubt. Diese Kartoffel ist {condition}
violation_extra_eyes,ABLEHNEN: Extra Augen Zustand ist verboten
violation_rotten,ABLEHNEN: Faule Kartoffeln sind verboten
violation_sprouted,ABLEHNEN: Gekeimte Kartoffeln sind verboten
violation_dehydrated,ABLEHNEN: Dehydrierte Kartoffeln sind verboten
violation_frozen,ABLEHNEN: Gefrorene Kartoffeln sind verboten
violation_too_old,ABLEHNEN: Kartoffel ist {age} Jahre alt (Höchstalter: 4 Jahre)
violation_too_young_3,ABLEHNEN: Kartoffel ist {age} Jahre alt (Mindestalter: 4 Jahre)
violation_too_young_2,ABLEHNEN: Kartoffel ist {age} Jahre alt (Mindestalter: 3 Jahre)
violation_males_only,ABLEHNEN: Nur männliche Kartoffeln erlaubt
violation_females_only,ABLEHNEN: Nur weibliche Kartoffeln erlaubt
violation_country_spudland,ABLEHNEN: Alle Spudland-Kartoffeln sind verboten
violation_country_potatopia,ABLEHNEN: Alle Potatopia-Kartoffeln sind verboten
violation_country_tuberstan,ABLEHNEN: Alle Tuberstan-Kartoffeln sind verboten
violation_country_north_yamnea,ABLEHNEN: Alle Nord-Yamnea-Kartoffeln sind verboten
violation_country_spuddington,ABLEHNEN: Alle Spuddington-Kartoffeln sind verboten
violation_country_tatcross,ABLEHNEN: Alle Tatcross-Kartoffeln sind verboten
violation_country_mash_meadows,ABLEHNEN: Alle Mash Meadows-Kartoffeln sind verboten
violation_country_tuberville,ABLEHNEN: Alle Tuberville-Kartoffeln sind verboten
violation_country_chip_hill,ABLEHNEN: Alle Chip Hill-Kartoffeln sind verboten (Exportbeschränkungen)
violation_country_murphyland,ABLEHNEN: Alle Murphyland-Kartoffeln sind verboten
violation_country_colcannon,ABLEHNEN: Alle Colcannon-Kartoffeln sind verboten
violation_country_pratie_point,ABLEHNEN: Alle Pratie Point-Kartoffeln sind verboten
violation_race_purple_majesty,ABLEHNEN: Purple Majesty-Typen sind verboten
violation_race_sweet_potato,ABLEHNEN: Süßkartoffel-Typen erfordern Sondergenehmigungen (nicht verfügbar)
violation_race_yukon_gold,ABLEHNEN: Yukon Gold-Typen sind verboten
violation_expired_document,ABLEHNEN: Dokument abgelaufen am {date}
violation_invalid_potato,Diese Kartoffel erfüllt alle Anforderungen und sollte zugelassen sein
