keys,bg
Text/156/text,Добре дошли в [pulse freq=2][color=MEDIUM_VIOLET_RED]Картофени Митници![/color][/pulse]
Text/157/text,"Това обучение ще ви научи на [wave amp=15 freq=2][color=DARK_ORANGE]основните умения[/color][/wave], необходими за защита на границите на Картофия."
Text/158/text,Избрани сте за жизненоважна роля: [color=DARK_ORANGE]Граничен митнически служител[/color].
Text/159/text,Имигриращи картофи ще се наредят пред офиса ви тук.
Text/15a/text,"За да започнете да обработвате картофи, трябва да отворите кабината си за обслужване с превключвателя тук."
Text/15b/text,"Ще сигнализирате на всеки картоф да се приближи до офиса ви, като докоснете мегафона."
Text/15c/text,Картофите ще влизат в кабината един по един и ще представят документите си.
Text/15d/text,"Първо, преместете документите им на масата за проверка за по-добър преглед."
Text/15e/text,"След това търсете [tornado radius=3 freq=2][color=YELLOW]изтекли дати, невярна информация или признаци на фалшификация[/color][/tornado]."
Text/15f/text,"Бюрото ви разполага с печати за маркиране на документи, можете да щракнете тук, за да издърпате лентата с печати."
Text/160/text,След това поставете документа под желания печат...
Text/161/text,"Щракнете върху печата, за да маркирате документите като [color=CHARTREUSE]одобрени[/color] или [color=CRIMSON]отхвърлени[/color]..."
Text/162/text,"И плъзнете документа обратно към картофа, за да финализирате решението си!"
Text/163/text,Понякога картофите ще се опитат да [color=CRIMSON]преминат бързо покрай контролния ви пункт[/color].
Text/164/text,"Имате директна връзка в кабината си, която ви позволява да контролирате [pulse freq=3][color=CRIMSON]ракетни установки[/color][/pulse] по протежение на граничната стена."
Text/165/text,"Щракнете върху тези „бегълци“, за да изстреляте ракета и да ги спрете."
Text/166/text,"Помнете, всеки беглец, който премине, ще се брои за [wave amp=20 freq=3][color=CRIMSON]наказание срещу вас[/color][/wave]."
Text/167/text,"Твърде много наказания, и смяната ви ще приключи... [tornado radius=3 freq=3][color=CRIMSON]завинаги.[/color][/tornado]"
Text/168/text,"Всяка смяна има [color=DARK_ORANGE]квота от картофи[/color], които трябва да обработите, за да завършите деня си."
Text/169/text,Резултатът ви следи представянето ви в сравнение с колегите ви служители на този контролно-пропускателен пункт и служители в далечни митнически служби.
Text/16a/text,След всяка смяна ще видите обобщение на представянето си и дали сте успели или сте се провалили в задълженията си.
Text/16b/text,Ще видите разбивка на това как сте се справили с бегълците и колко документа сте обработили.
Text/16c/text,"Плюс всички бонуси, които сте спечелили от бърза обработка на документи, перфектно подравняване на печати или перфектно поразяване на картофи-бегълци."
Text/16d/text,"Ще получите и оценка за представянето си въз основа на това колко добре сте обработили картофи по време на смяната си, и до 3 златни печата, ако надхвърлите очакванията."
Text/16e/text,Тук можете да изпратите резултата си за всяка смяна в глобалната база данни на митническите служители и да видите как се сравнявате с най-елитните митнически служители по света.
Text/16f/text,"Ако смяната ви беше успешна, ще можете да продължите, като щракнете върху ""Продължи"" и да започнете следващата си смяна."
Text/170/text,"Работата ви е проста. Картофи пристигат на вашата будка, вие проверявате документите им и решавате кой да премине."
Text/171/text,Ще ви преведа през основите [color=YELLOW]стъпка по стъпка[/color]. Следвайте указанията и ще свикнете.
Text/172/text,Безопасността и сигурността на Спъд зависят от вашата [pulse freq=2][color=DARK_ORANGE]бдителност![/color][/pulse]
Text/174/text,Нека започнем вашата [color=YELLOW]обучителна смяна[/color]...
Text/180/text,Но бъдете внимателни – не всеки картоф има изрядни документи.
Text/181/text,[color=RED]Изтекли паспорти[/color] са автоматичен отказ. Без изключения.
Text/tut_001/text,Добре дошли в [pulse freq=2][color=MEDIUM_VIOLET_RED]Картофени Митници![/color][/pulse]
Text/tut_002/text,Избран сте за жизненоважна роля: [color=DARK_ORANGE]Граничен митнически служител[/color].
Text/tut_003/text,"Вашата работа е проста. Картофи пристигат на вашето гише, вие проверявате техните документи и решавате кой да премине."
Text/tut_004/text,Но бъдете внимателни - не всеки картоф има изрядни документи.
Text/tut_005/text,[color=RED]Изтекли паспорти[/color] са автоматичен отказ. Без изключения.
Text/tut_006/text,Ще ви преведа през основите [color=YELLOW]стъпка по стъпка[/color]. Следвайте указанията и ще свикнете.
Text/tut_007/text,"[pulse freq=2][color=RED]Още нещо![/color][/pulse] Някои картофи ще се опитат да [color=CRIMSON]избягат[/color], когато смятат, че документите им няма да преминат проверка."
Text/tut_008/text,"Когато [color=RED]граничен беглец[/color] се опита да избяга, ще ги видите да препускат покрай вашето гише към границата."
Text/tut_009/text,"Това е мястото, където влиза в действие вашият [color=CHARTREUSE]Пневматичен ракетен изстрелвател[/color]. Това е големият бутон на вашия контролен панел."
Text/tut_010/text,"[color=YELLOW]Кликнете за стрелба[/color], когато беглец е в обсег. Целете се в [color=GOLD]центъра на целевата зона[/color] за бонус точки!"
Text/tut_011/text,Но бъдете внимателни - [color=RED]не удряйте невинни картофи[/color] на опашката. Това ще ви струва точки и ще донесе наказание!
Text/tut_012/text,Безопасността и сигурността на Картофландия зависи от вашата [pulse freq=2][color=DARK_ORANGE]бдителност![/color][/pulse]
Text/tut_013/text,Нека започнем вашата [color=YELLOW]обучителна смяна[/color]...
