keys,th
Text/86/text,มีระเบียบการรักษาความปลอดภัยใหม่วันนี้ เราได้รับข่าวกรองเกี่ยวกับ[color=YELLOW]กิจกรรมที่น่าสงสัย[/color]
Text/87/text,ผู้เดินทางทุกคนต้องเข้ารับขั้นตอนการตรวจสอบที่เข้มงวดขึ้น
Text/88/text,"สังเกต[color=YELLOW]พฤติกรรมประหม่า, ท่าทางผิดปกติ, หรือการหลีกเลี่ยงการสบตา[/color]"
Text/89/text,สิ่งของน่าสงสัยทั้งหมดต้องถูกยึดและบันทึก เพื่อความปลอดภัยของสปัดแน่นอน
Text/8a/text,"เรากังวลเป็นพิเศษเกี่ยวกับ[color=CRIMSON]วัสดุต้องห้าม[/color] - เอกสารต่อต้านรัฐบาล, อุปกรณ์ถ่ายภาพ..."
Text/8b/text,"เสียงของพวกเขาแผ่วลงอย่างน่ากลัว ""[pulse freq=2][color=DARK_VIOLET]เรามีขั้นตอนพิเศษสำหรับบุคคลเหล่านั้น[/color][/pulse]"""
Text/8c/text,"รถบรรทุกของ[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave]ขนลังที่ระบุว่า ""Premium Reserve"" ลงในโรงอาหาร กลิ่นหอมยั่วยวน แต่ท้องของคุณกลับปั่นป่วน"
Text/8d/text,คุณลอง Premium Reserve ใหม่หรือยัง? ลูกพี่ลูกน้องของฉันหายไปเมื่อเดือนที่แล้ว ตรวจสอบไม่ผ่าน
Text/8e/text,บางทีเขาอาจเป็นส่วนหนึ่งของชุดนี้ก็ได้นะ? [tornado radius=2 freq=2][color=STEEL_BLUE]มุกตลกดำมืดน่ะ เข้าใจไหม?[/color][/tornado]
Choice/8f/text,"""มันไม่ตลกเลย ไม่เลยสักนิด"""
Choice/90/text,"""ฉันไม่หิว ขอตัวก่อน"" (ออกไป)"
Text/91/text,คุณพูดถูก บางครั้งการล้อเล่นก็ง่ายกว่าการคิดถึง[pulse freq=3][color=CRIMSON]สิ่งที่อาจกำลังเกิดขึ้นจริง[/color][/pulse]
Text/92/text,"เจ้าหน้าที่มองคุณเดินจากไป ""เฮ้ ฉันเข้าใจ ฉันก็หมดความอยากอาหารเหมือนกัน..."""
Text/93/text,เป็นจังหวะที่เหมาะเจาะสำหรับระเบียบการรักษาความปลอดภัยใหม่ใช่ไหมล่ะ? [wave amp=15 freq=3][color=YELLOW]พวกเขากำลังพยายามหยุดยั้งข้อมูลเกี่ยวกับ Root Reserve[/color][/wave]
Text/94/text,ฉันมีบางอย่างที่อาจช่วยเราได้ มันฝรั่งบางตัวที่มี[color=CHARTREUSE]ข้อมูลสำคัญสมควรที่จะผ่านไปได้[/color]
Text/95/text,คุณพิจารณาทางเลือกของคุณอย่างรอบคอบ การตัดสินใจในวันนี้อาจช่วย[color=CHARTREUSE]เผยแพร่ความจริง[/color]... หรือ[color=CRIMSON]ปิดปากมันตลอดไป[/color]
Choice/8f/disabled_text,
Choice/90/disabled_text,
