keys,pt-BR
Text/d2/text,"Após seu turno, você é levado a uma reunião secreta da resistência em uma fábrica de amido abandonada."
Text/d2b/text,Antes de começarmos... Tenho uma confissão a fazer.
Text/d2c/text,"Aquela nota que você encontrou no seu primeiro dia? ""[color=GOLD]Um amigo[/color]""?"
Text/d2d/text,Sasha sorri. Vejo que você guardou. Inteligente. Eu sabia que tinha escolhido o broto certo.
Text/d2e/text,"Eu tenho observado novos oficiais por meses, procurando alguém com [color=CHARTREUSE]olhos questionadores[/color]. Alguém que pudesse ver através das mentiras."
Text/d2f/text,A expressão de Sasha é complicada. Você mostrou para Russet. Tive que me esconder por semanas depois disso.
Text/d2g/text,Mas aqui está você de qualquer forma. Isso me diz algo sobre sua consciência.
Text/d2h/text,Você destruiu. Não te culpo - era arriscado guardar.
Text/d2i/text,"Mas as palavras encontraram seu caminho em sua cabeça de qualquer forma, não encontraram?"
Text/d2j/text,"[color=CHARTREUSE]Eu sou ""Um amigo.""[/color] E agora você sabe o porquê."
Text/d2k/text,Sasha espalha documentos capturados sobre a mesa. Manifestos de processamento do último mês.
Text/d2l/text,"Você escaneia os nomes, e seu sangue gela."
Text/d2m/text,Aí está. [color=GOLD]Maris Piper[/color]. A mulher da foto.
Text/d2n/text,"""[color=CRIMSON]Status: Processada. Lote RR-2847.[/color]"" Datado de três dias depois que o marido dela implorou por sua ajuda."
Text/d2o/text,Você sente a foto no seu bolso. [color=STEEL_BLUE]Ela se foi. E você não pôde salvá-la.[/color]
Text/d2p/text,Mas talvez... [color=CHARTREUSE]talvez você ainda possa salvar outros[/color].
Text/d2q/text,Murphy emerge das sombras. Ei. Que bom que você conseguiu.
Text/d2r/text,Murphy ergue o formulário RR-UTIL amassado. Meu primo também está nessa lista. [color=CHARTREUSE]Estamos fazendo isso juntos.[/color]
Text/d3/text,Uma batata envelhecida com cicatrizes de batalha se dirige ao grupo reunido.
Text/d4/text,O tempo dos sussurros e panfletos acabou. O governo mostrou suas verdadeiras cores.
Text/d5/text,Nossas fontes confirmam que as plantas de processamento [wave amp=15 freq=2][color=DARK_VIOLET]Reserva de Raiz[/color][/wave] estão aumentando a produção.
Text/d6/text,"O que significa que [tornado radius=3 freq=3][color=CRIMSON]mais de nossos irmãos e irmãs desapareceram, foram processados, consumidos[/color][/tornado]."
Text/d7/text,O líder bate um punho na mesa. [pulse freq=3][color=CHARTREUSE]Isso acaba agora.[/color][/pulse] Temos um plano para atacar o coração da operação deles.
Text/d8/text,"Sasha desenrola planos detalhados sobre a mesa. Em três dias, lançaremos nossa ofensiva principal."
Text/d9/text,"Enquanto uma equipe cria uma distração no complexo governamental principal, outra irá infiltrar a maior instalação da Reserva de Raiz."
Text/da/text,"Nosso objetivo: obter [color=CHARTREUSE]provas irrefutáveis[/color] do que acontece lá dentro, transmiti-las para toda Spud."
Text/db/text,Sasha aponta para uma seção dos planos. É aqui que você entra.
Text/dc/text,Precisamos de alguém por dentro na Spud Customs para garantir que nossos agentes possam cruzar a fronteira para a missão.
Text/dd/text,Podemos contar com você para ser essa pessoa?
Choice/de/text,"""Farei o que for preciso para expor a verdade."""
Choice/df/text,"""Parece perigoso. E se formos pegos?"""
Choice/e0/text,"""Há outra maneira que não coloque tantos em risco?"""
Text/e1/text,O rosto de Sasha se ilumina com esperança. Obrigada. [color=CHARTREUSE]Sua coragem salvará inúmeras vidas.[/color]
