keys,ru
Text/b8/text,"Пограничный объект полностью заблокирован, вооруженная охрана патрулирует каждый коридор."
Text/b9/text,[pulse freq=3][color=RED]ВНИМАНИЕ! Уровень угрозы: КРАСНЫЙ![/color][/pulse] Прошлой ночью были украдены секретные документы.
Text/ba/text,"Среди нас [tornado radius=4 freq=3][color=CRIMSON]предатель[/color][/tornado]. Любой, кто скрывает информацию, будет считаться соучастником."
Text/bb/text,Всем офицерам пройти на [wave amp=15 freq=2][color=DARK_ORANGE]сканирование безопасности[/color][/wave]. Лица с повышенным уровнем стресса будут взяты на заметку.
Text/bc/text,"Ты видел, что происходит снаружи? Везде листовки, показывающие, что [color=DARK_VIOLET]Корневой Запас[/color] сделан... [pulse freq=3][color=CRIMSON]из нас[/color][/pulse]."
Choice/bd/text,"""Говори тише. За нами всеми следят."""
Choice/be/text,"""Я слышал те же слухи. Это ужасно, если правда."""
Choice/bf/text,"""Это нелепая пропаганда. Не распространяй такую ложь."""
Text/c0/text,Ты прав. Но если это правда... то кто мы тогда?
Text/c1/text,Моего кузена отклонили в прошлом месяце. Значит ли это...? Я [color=CHARTREUSE]больше так не могу[/color].
Text/c2/text,Их выражение лица становится настороженным. Конечно. Верный Картофель навсегда.
Text/c3/text,Сообщите ваше местонахождение прошлой ночью между 22:00 и 04:00 часами.
Choice/c4/text,"""Я был в своей комнате всю ночь, спал."""
Choice/c5/text,"""Я бы предпочел поговорить со своим адвокатом сначала."""
Text/c6/text,Ваш уровень стресса указывает на [color=YELLOW]обман[/color]. Однако... неубедительно. Пока можете быть свободны.
Text/c7/text,"Адвокат? Это процедура безопасности, а не суд. Ваш отказ зафиксирован."
Text/c7_viktor1/text,Крепкий охранник подходит во время вашего перерыва. Его лицо измождено.
Text/c7_viktor2/text,"Эй... вы один из таможенников, верно? Я тут расспрашивал о своей жене, Елене."
Text/c7_viktor3/text,Она пересекла этот КПП три недели назад. [color=STEEL_BLUE]Не прошла проверку.[/color] С тех пор я о ней ничего не слышал.
Choice/c7_viktor4/text,"""Виктор... Я кое-что нашел. Об Елене. Вам нужно знать правду."""
Choice/c7_viktor5/text,"""Прости, Виктор. Я ничего не видел."""
Text/c7_viktor6/text,Вы показываете ему копию страницы манифеста. Его лицо бледнеет.
Text/c7_viktor7/text,"[wave amp=25 freq=3]Его руки дрожат, пока он читает.[/wave] [color=GOLD]Елена Петрова[/color]... [color=CRIMSON]Обработана... Партия RR-2851...[/color]"
Text/c7_viktor8/text,Его голос едва слышен. [tornado radius=3 freq=2][color=CRIMSON]Они... они СДЕЛАЛИ из нее...[/color][/tornado]
Text/c7_viktor9/text,Его горе превращается в холодную ярость. [pulse freq=2][color=CRIMSON]Айдахо заплатит за это.[/color][/pulse] Клянусь ее памятью.
Text/c7_viktor10/text,"Он сжимает ваше плечо. [color=CHARTREUSE]Спасибо, что сказали.[/color] Когда придет время... Я это запомню."
Text/c7_viktor11/text,Он грустно кивает. [color=STEEL_BLUE]Я так и думал.[/color] Никто ничего не знает. Или никто не хочет говорить.
Text/c7_viktor12/text,"Если что-нибудь услышите... [color=YELLOW]пожалуйста.[/color] Она — всё, что у меня есть."
Text/c8/text,"Работает. Манифесты вызвали переполох, но [color=DARK_ORANGE]Рассет нас подозревает[/color]."
Text/c9/text,Ищите союзников из нашей организации во время сегодняшней смены. [color=CHARTREUSE]Вы их узнаете[/color].
Text/ca/text,"Если сможете безопасно их пропустить, используйте [color=CHARTREUSE]особую отметку, которую мы обсуждали[/color]."
Choice/cb/text,"""Это стоит риска. Я в деле."""
Choice/cc/text,"""Это становится слишком опасно. Может, нам стоит залечь на дно."""
Text/cd/text,"Я знал, что могу на вас рассчитывать. Когда это закончится, [color=CHARTREUSE]Спад узнает, кто был настоящими героями[/color]."
Text/ce/text,Мы давно прошли эту точку. Залечь на дно нас не спасет. [color=CHARTREUSE]Только обрушение системы спасет[/color].
Text/cf/text,Каждая станция теперь оснащена новой [color=DARK_ORANGE]системой RealityScan[/color]. Она обнаруживает несанкционированные отметки и подделки.
Text/d0/text,Все документы должны быть отсканированы перед одобрением. [color=CRIMSON]Предатели будут искоренены[/color]. Я это гарантирую.
Text/d0_qte1/text,"Позже в ту же смену подходит путешественник с документами, на которых есть [color=CHARTREUSE]тонкая отметка сопротивления[/color]."
Text/d0_qte2/text,[color=DARK_ORANGE]RealityScan[/color] начинает сканирование. [wave amp=15 freq=3][color=RED]Он обнаружит отметку![/color][/wave]
Text/d0_qte3/text,У вас есть секунды на принятие решения. Сканер разогревается...
Choice/d0_qte4/text,"""Имитируйте неисправность сканера — быстро!"" (Помочь сопротивлению)"
Choice/d0_qte5/text,"""Позволить сканеру завершить сканирование"" (Следовать протоколу)"
Text/d0_qte6/text,"[pulse freq=3][color=YELLOW]Вам нужно действовать быстро![/color][/pulse] Вызовите неисправность до того, как он закончит сканирование!"
Text/d0_qte7/text,Вы возитесь с кабелями сканера. Летят искры. Экран мерцает и гаснет.
Text/d0_qte8/text,Рассет подбегает. [color=YELLOW]Что здесь произошло?[/color]
Choice/d0_qte9/text,"""Скачок напряжения, сэр. Эти новые системы капризны."""
Choice/d0_qte10/text,"""Не знаю, сэр. Он просто вырубился."""
Text/d0_qte11/text,Рассет хмыкает. [color=STEEL_BLUE]Бюрократы дают нам непроверенное оборудование.[/color] Обработайте их вручную и отметьте для повторной проверки.
Text/d0_qte12/text,"Рассет подозрительно смотрит на вас. [color=YELLOW]Как удобно.[/color] Я попрошу техобслуживание осмотреть его. Не допустите, чтобы это повторилось."
Text/d0_qte13/text,"Член сопротивления слегка кивает вам в знак благодарности, когда проходит."
Text/d0_qte14/text,Сканер [pulse freq=3][color=RED]ГРОМКО ПИЩИТ[/color][/pulse]. Обнаружены несанкционированные отметки!
Text/d0_qte15/text,Рассет появляется мгновенно. [color=CHARTREUSE]Отлично![/color] Ещё один предатель пойман.
Text/d0_qte16/text,"Члена сопротивления утаскивают, в его глазах ужас. ""[color=CRIMSON]Пожалуйста, нет! У меня дети![/color]"""
Text/d0_qte17/text,Ваша лояльность [color=DARK_ORANGE]отмечена в вашем досье[/color]. Продолжайте в том же духе.
Text/d1/text,"Помогать членам сопротивления стало гораздо опаснее, но [color=CHARTREUSE]правда должна распространиться[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Choice/c7_viktor4/disabled_text,
Choice/c7_viktor5/disabled_text,
Choice/d0_qte4/disabled_text,
Choice/d0_qte5/disabled_text,
Choice/d0_qte9/disabled_text,
Choice/d0_qte10/disabled_text,
