keys,pt
alert_border_runner,CORREDOR DE FRONTEIRA DETECTADO!\nClique para lançar míssil!
alert_rejected_fleeing,BATATA REJEITADA FUGINDO!\nClique para lançar míssil!
alert_runner_escaped,CORREDOR ESCAPOU!\nStrike adicionado!
citation_runner_escaped,Um corredor de fronteira escapou! Você não conseguiu interceptá-lo a tempo.
alert_points_deducted,CORREDOR ESCAPOU!\nStrike adicionado!\n-{penalty} pontos!
alert_perfect_hit,GOLPE PERFEITO! +{perfect} pontos de bônus de precisão
alert_perfect_stamp,CARIMBO PERFEITO! +{points} pontos!
alert_combo,COMBO x{mult}! +{streak} pontos de bônus de combo
alert_quota_met,"Cota atingida, turno concluído! \nBônus: {bonus} pontos!"
alert_strike_removed,Strike removido!
alert_correct_decision,"Você tomou a decisão certa, oficial.\n+{points} pontos!"
alert_wrong_decision,"Você causou sofrimento desnecessário, oficial...\n+1 Strike!"
alert_potato_should_be_approved,\nEsta batata atende a todos os requisitos e deveria ter sido aprovada.
incorrect_decision,Decisão incorreta no processamento de documento.
alert_strike_out,Máximo de strikes excedido! Seu turno acabou.
ui_score,Pontuação: {score}
ui_quota,Cota: {current} / {target}
ui_strikes,Advertências: {current} / {max}
ui_click_megaphone,Clique no megafone para chamar a próxima batata
ui_drag_document,Arraste o documento para a mesa de inspeção
ui_stamp_document,Selecione um carimbo para aprovar ou rejeitar
ui_check_violations,Verifique as violações do documento
Strike removed!,Strike removido!
BORDER RUNNER DETECTED!\nClick to launch missile!,CORREDOR DE FRONTEIRA DETECTADO!\nClique para lançar míssil!
REJECTED POTATO FLEEING!\nClick to launch missile!,BATATA REJEITADA FUGINDO!\nClique para lançar míssil!
RUNNER ESCAPED!\nStrike added!,CORREDOR ESCAPOU!\nStrike adicionado!
Click megaphone to call the next potato,Clique no megafone para chamar a próxima batata
Drag document to inspection table,Arraste o documento para a mesa de inspeção
Select a stamp to approve or reject,Selecione um carimbo para aprovar ou rejeitar
Check for document violations,Verifique as violações do documento
rule_explanation_header,EXPLICAÇÃO DA REGRA:
rule_explanation_fresh,Spójrz na pole 'Stan'. Jeśli mówi coś innego niż 'Świeży' - ODRZUĆ
rule_explanation_sweet_potato,Olhe para o campo 'Tipo'. Se disser 'Batata Doce' - REJEITAR (sem licenças)
rule_explanation_chip_hill,Olhe para o campo 'País'. Se disser 'Chip Hill' - REJEITAR (proibido)
rule_explanation_age,Olhe para o campo 'Data de Nascimento'. Calcule a idade e verifique contra a regra
rule_explanation_gender,Olhe para o campo 'Gênero' e verifique contra a regra atual
rule_footer_text,Essas regras devem ser aplicadas para TODAS as batatas
rule_expired_note,Documentos expirados devem SEMPRE ser rejeitados.
rule_tutorial_hint, aby uzyskać wyjaśnienie
alert_correct_decision_detailed,DECISÃO CORRETA! +{points} pontos\n{reason}
alert_wrong_decision_detailed,DECISÃO ERRADA! Strike adicionado!\n{reason}
alert_reason_approved,Batata atende a todos os requisitos - APROVADA
alert_reason_should_reject,Você deveria ter REJEITADO esta batata
tutorial_check_type,Verifique o campo 'Tipo' no passaporte
tutorial_check_condition,Verifique o campo 'Condição' no passaporte
tutorial_check_country,Verifique o campo 'País' no passaporte
tutorial_check_age,Verifique a 'Data de Nascimento' para calcular a idade
tutorial_check_gender,Verifique o campo 'Gênero' no passaporte
alert_streak_bonus_minigame,5 seguidos! MINIJOGO BÔNUS!
alert_perfect_stamps_bonus_minigame,Carimbos perfeitos! MINIJOGO BÔNUS!
alert_runner_bonus_minigame,Atividade suspeita! MINIJOGO BÔNUS!
alert_new_minigame_unlocked,Novo minijogo desbloqueado: {name}!
alert_minigame_bonus,Bônus de minijogo: +{bonus} pontos!
high_score_display,Pontuação mais alta: {score}
new_high_score,NOVA PONTUAÇÃO MAIS ALTA!
month_1,Janeiro
citation_trash_label,LIXO
citation_header,CITAÇÃO OFICIAL
citation_from_supervisor,De: Supervisor Russet
citation_dismiss_hint,[Arrastar para o lixo para descartar]
minigame_times_up,"Tempo esgotado! Sem preocupações, de volta ao trabalho!"
minigame_time_format,{segundos}.{fracao}
qte_title,EVENTO DE TEMPO RÁPIDO
qte_instruction,Pressione as teclas à medida que aparecem!
qte_auto_completed,Concluído automaticamente
qte_accessibility_note,(Acessibilidade QTE ativada)
qte_get_ready,Prepare-se...
qte_progress,Progresso
qte_key_prompt,[{tecla}]
qte_result,{successful} / {total} bem-sucedidos (+{points} pontos)
qte_image_pending,[Imagem Pendente]
evidence_title,INSPEÇÃO DE SEGURANÇA IMINENTE
evidence_instruction,"Limpe sua mesa! Destrua as provas, esconda os itens de trabalho."
evidence_suspicion,Suspeita: {percent}%
evidence_items_remaining,Itens: {count}
evidence_times_up_found,Tempo esgotado! Eles encontraram as provas...
evidence_times_up_suspicious,Tempo esgotado! A inspeção foi... minuciosa.
codebreaker_title,QUEBRA-CÓDIGOS
codebreaker_instruction,"Decifre o código! Verde = correspondência exata, Amarelo = dígito certo, lugar errado"
codebreaker_enter_code,DIGITE O CÓDIGO
codebreaker_submit,ENVIAR
codebreaker_clear,LIMPAR
codebreaker_previous_attempts,Tentativas Anteriores:
codebreaker_attempts,Tentativas: {current} / {max}
codebreaker_result_exact_close,{exact} exatos
codebreaker_result_exact,{exact} exato
codebreaker_result_close,{close} próximo
codebreaker_result_none,nenhuma correspondência
codebreaker_success,Código decifrado em {attempts} tentativas! +{points} pontos!
codebreaker_failure,Tentativas esgotadas! O código foi exibido acima.
scanner_title,SCANNER DE DOCUMENTOS
scanner_instruction,Arraste a luz UV para encontrar marcas ocultas! Clique para confirmar.
scanner_found,Encontrado: {current} / {total}
scanner_perfect,Perfeito! Todos os elementos encontrados! +{points} pontos!
scanner_partial,Bom esforço! Encontrados {found}/{total}. +{points} pontos!
chase_title,PERSEGUIÇÃO NA FRONTEIRA
chase_instruction,Clique nos itens de contrabando VERMELHOS! Deixe os itens VERDES passarem.
chase_legend,VERMELHO = Capturar!   VERDE = Deixar passar
chase_caught,Capturados: {current} / {total}
chase_perfect,Captura perfeita! +{points} pontos!
chase_partial,Capturados {count} itens. +{points} pontos!
sorting_title,CLASSIFICAÇÃO DE CARIMBOS
sorting_instruction,"Arraste os carimbos para o recipiente correto! Verde = APROVADO, Vermelho = NEGADO"
sorting_approved,APROVADO
sorting_denied,NEGADO
sorting_progress,Classificados: {sorted}/{total}  Corretos: {correct}
sorting_perfect,Classificação perfeita! +{points} pontos!
sorting_partial,Classificados {correct}/{total} corretamente. +{points} pontos!
fingerprint_title,CORRESPONDÊNCIA DE IMPRESSÕES DIGITAIS
fingerprint_instruction,Encontre a impressão digital que corresponde à referência!
fingerprint_reference,REFERÊNCIA
fingerprint_find_match,ENCONTRAR CORRESPONDÊNCIA
fingerprint_progress,Correspondências: {current} / {total}
fingerprint_success,Todas as impressões digitais correspondem! +{points} pontos!
fingerprint_partial,Correspondências {matched}/{total}. +{points} pontos!
