keys,pl
Character/173/name,Spiker radiowy
Character/174/name,Oficer towarzyszący
Character/175/name,Lektor
Character/176/name,Cichy Ziemniak
Character/177/name,Zaniepokojony Ziemniak
Character/178/name,Starożytny Ziemniak
Character/179/name,Ty
Character/17a/name,Premier Idaho
Character/17b/name,Przywódca ruchu oporu
Character/17c/name,Nieufny członek ruchu oporu
Character/17d/name,Bezczelny członek ruchu oporu
Character/17e/name,Szef ochrony
Character/17f/name,Oficer ochrony
Character/180/name,Kartofel Tłuczkowski
Character/181/name,Nadzorca Russet
Character/181/nicknames,"Russ,Russet,Nadzorca Russet"
Character/182/name,Słodki Ziemniak Sasha
Character/183/name,Nerwowy podróżnik
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
