keys,uk
Text/131/text,"Ти пригинаєшся, поки лютує битва. Вибач, Сашо. Я [color=STEEL_BLUE]не такий сміливий, як ти[/color]."
Text/132/text,"""[color=CRIMSON]Терористичний напад[/color] відбито! Ватажки [color=DARK_VIOLET]обробляються[/color] прямо зараз."""
Text/133/text,"Шеф Юкон тягне закутих у ланцюги членів опору, серед них і Сашу. ""Ці [color=CRIMSON]зрадники[/color] пройдуть [color=DARK_VIOLET]фінальну обробку[/color]."""
Text/134/text,"Саша ловить твій погляд. Попри синці, її погляд виражає [wave amp=15 freq=2][color=CHARTREUSE]не осуд, а лише смуток[/color][/wave]."
Text/135/text,"Ти вижив, тримаючись осторонь, але [pulse freq=3][color=GOLD]якою ціною?[/color][/pulse] Коли з заводу доноситься запах виробництва [color=DARK_VIOLET]Кореневого Запасу[/color], твій шлунок стискається."
Text/136/text,"Можливо, ще є шанс зсередини. Або, можливо, ти просто заспокоюєш свою совість."
Text/137/text,Ти [tornado radius=3 freq=2][color=CHARTREUSE]залишаєш свій пост[/color][/tornado] і мчиш до місця бою. Час для обережності минув.
Text/138/text,"[pulse freq=3][color=GOLD]Доведи, що ти з нами![/color][/pulse] Звідки ти знаєш Сашу?"
Text/139/text,"[color=CHARTREUSE]Коріння глибоке![/color] Я з блокпоста, Саша завербувала мене!"
Text/13a/text,Її везуть на переробний завод прямо зараз. Нам треба поспішати!
Text/13b/text,"Двері вибухають, відкриваючи [wave amp=25 freq=3][color=CRIMSON]жахливу правду[/color][/wave] — подрібнювальні машини, конвеєри, що несуть картоплю на загибель."
Text/13c/text,"В кінці одного з конвеєрів — Саша та інші, [color=CRIMSON]безпорадно зв'язані[/color]. Наглядач Рассет стоїть біля пульту керування."
Text/13d/text,"[color=RED]ТИ![/color] Я мав знати, що ти один з них! Відійди, або я запущу переробник!"
Text/140/text,"[color=STEEL_BLUE]Лідер опору виходить вперед, націливши зброю на Рассета.[/color] Ані кроку більше, Рассете. Руки туди, де я їх бачитиму."
Text/141/text,"[color=CRIMSON]Очі Рассета метушаться між тобою та лідером опору, на його чолі виступає піт.[/color] Думаєш, ти переміг? Цей об'єкт — основа Спуда!"
Text/142/text,Основа страждань. [pulse freq=3][color=CHARTREUSE]Це закінчиться сьогодні.[/color][/pulse]
Text/143/text,[color=STEEL_BLUE]Саша бореться зі своїми путами на конвеєрній стрічці
Choice/144/text,"[tornado radius=3 freq=2][color=CRIMSON]""Рассете"
Choice/145/text,"[wave amp=15 freq=2][color=STEEL_BLUE]""Це... це те, що вони робили? Це гірше, ніж я уявляв...""[/color][/wave]"
Choice/146/text,"[color=CHARTREUSE]""Сашо! Дякую корінню, що ти жива! Тримайся"
Text/147/text,"[color=CRIMSON]Ти кидаєшся до Рассета, стиснувши кулаки, ледве стримуваний бійцями опору.[/color] Кожна картопля, що пройшла через мій блокпост... скільки ти..."
Text/148/text,"Спокійно! Він нам потрібен живим, щоб свідчити. [color=STEEL_BLUE]Лідер тримає зброю націленою на Рассета.[/color] Збережи свій гнів для суду."
Text/149/text,"[color=STEEL_BLUE]Ти відступаєш назад, прикриваючи рот рукою, усвідомлюючи весь жах машин.[/color] Я ставив штампи на їхні документи... Я відправляв їх сюди..."
Text/14a/text,[color=CHARTREUSE]Ти не знав. Ніхто з нас не знав.[/color] Ось чому ми тут зараз. Зосередься!
Text/14b/text,[color=CHARTREUSE]Ти кидаєшся до конвеєра
Text/14c/text,"[color=CHARTREUSE]Очі Саші сяють сльозами та надією, поки твої руки розв'язують вузли.[/color] Я знала, що ти прийдеш. Я ніколи в тобі не сумнівалася."
Text/14d/text,"[color=STEEL_BLUE]Лідер змушує Рассета стати на коліна під дулом пістолета.[/color] Зв'яжіть його. Переконайтеся, що він дивитиметься, що буде далі."
Text/13e/text,"[color=CHARTREUSE]Звільнившись від кайданів, Саша не гає часу, перенаправляючи камери об'єкта.[/color] [color=YELLOW]Народе Картопляний! Це Кореневий Запас! Вони годували нас одне одним![/color]"
Text/14e/text,"[color=CHARTREUSE]Саша бере твою руку, переплітаючи свої пальці з твоїми.[/color] Ти повернувся за мною. Що б не сталося далі... ми зустрінемо це разом."
Text/14f/text,"[color=STEEL_BLUE]Саша уважно дивиться на тебе, бачачи лють, що все ще горить у твоїх очах.[/color] Спрямуй цей вогонь. Він нам знадобиться для того, що буде далі."
Text/150/text,[color=STEEL_BLUE]Саша ніжно кладе руку тобі на плече.[/color] Ця провина не твоя. Ти тут зараз. Це головне.
Text/13f/text,"[color=CHARTREUSE]Ми це зробили. Правда тепер відома.[/color] У нас є майбутнє, яке потрібно будувати!"
Choice/144/disabled_text,
Choice/145/disabled_text,
Choice/146/disabled_text,
