keys,fr
Text/140/text,"La frontière ressemble à une [pulse freq=3][color=CRIMSON]zone de guerre[/color][/pulse]. Barricades, véhicules blindés et gardes d'élite sont prêts. Aujourd'hui est le jour où la résistance avait prévu de frapper."
Text/141/text,"[wave amp=25 freq=3][color=YELLOW]DIFFUSION D'URGENCE[/color][/wave] : Tout Spud est sous [color=RED]loi martiale[/color]. ""La Résistance"" a lancé des attaques contre des installations gouvernementales."
Text/142/text,Quiconque aide ces [color=CRIMSON]extrémistes[/color] fait face à un [color=DARK_VIOLET]traitement immédiat[/color]. Le Ministère confirme : [color=DARK_VIOLET]Réserve Racine[/color] reste sûr pour toutes les [color=DARK_ORANGE]pommes de terre loyales[/color].
Text/143/text,[color=YELLOW]Des émeutes ont éclaté[/color] dans plusieurs secteurs. Des cellules de résistance ont attaqué trois installations de [color=DARK_VIOLET]Réserve Racine[/color].
Text/144/text,Leur objectif : accéder à la base de données centrale avec tous les registres de production. Tout signe de déloyauté signifie traitement.
Text/145/text,"Nous avons capturé plusieurs agents de la résistance, y compris l'Officier Sasha."
Text/146/text,Les [tornado radius=3 freq=2][color=CRIMSON]vrais traîtres[/color][/tornado] sont ceux qui [color=DARK_VIOLET]nourrissent notre peuple avec eux-mêmes[/color]. Vous ne pouvez pas arrêter la vérité !
Text/147/text,"Elle est traînée au loin, criant toujours : [color=CHARTREUSE]Le peuple saura ce qu'il y a dans leur nourriture ![/color]"
Text/148/text,"La [color=CRIMSON]traîtresse[/color] sera [pulse freq=3][color=DARK_VIOLET]traitée immédiatement[/color][/pulse]. Un lot spécial de [color=DARK_VIOLET]Réserve Racine[/color], fait à partir des terroristes eux-mêmes."
Text/149/text,Tous les passages frontaliers sont [color=RED]suspendus[/color] sauf pour le personnel essentiel avec [color=GOLD]autorisation de niveau Alpha[/color].
Text/14a/text,Ce scanner [color=YELLOW]ne peut pas être trompé[/color]. Déclenchez l'alarme immédiatement pour quiconque sans autorisation appropriée.
Text/14b/text,Une pomme de terre en uniforme officiel approche avec des accréditations Alpha apparemment parfaites.
Text/14c/text,"Une petite carte bleue tombe du dossier. ""[wave amp=15 freq=3][color=CHARTREUSE]Les racines poussent profondément.[/color][/wave]"", murmurent-ils en ramassant la carte."
Choice/14d/text,"Laissez-les passer, ignorant les alertes du scanner (Aider la résistance)"
Choice/14e/text,Déclenchez l'alarme immédiatement (Trahir la résistance)
Text/14f/text,"Le soulagement se lit dans leurs yeux. ""[color=CHARTREUSE]Pour Sasha. Pour Spud.[/color]"" Ils disparaissent vers la base de données centrale."
Text/150/text,"L'horreur se dessine sur leur visage. ""[color=CRIMSON]Traître ! Nous te faisions confiance ![/color]"" Ils sont rapidement entourés par des gardes."
Text/151/text,Excellent travail. Votre loyauté sera récompensée.
Text/152/text,"Soudain, l'installation [color=YELLOW]tremble sous les explosions[/color]. L'attaque de la résistance a commencé, quel que soit votre choix."
Text/153/text,"Dois-je rester à mon poste et espérer que ça passe, ou [color=CHARTREUSE]prendre position[/color] et risquer tout pour exposer la vérité ?"
Choice/154/text,Je ne peux pas abandonner mon devoir. Je vais rester silencieux et espérer le meilleur.
Choice/155/text,J'ai été complice trop longtemps. Il est temps de se battre pour ce qui est juste.
Choice/155/disabled_text,
Choice/14d/disabled_text,
Choice/154/disabled_text,
Choice/14e/disabled_text,
Text/156/text,[pulse freq=3][color=YELLOW]Dépêchez-vous ![/color][/pulse] La sécurité est en effervescence - c'est votre seule chance de vous enfuir !
