keys,hu
Text/b8/text,"A határlétesítmény teljes zárlat alatt áll, fegyveres biztonsági őrök járőröznek minden folyosón."
Text/b9/text,[pulse freq=3][color=RED]FIGYELEM! VÖRÖS SZINTŰ biztonsági helyzet![/color][/pulse] Titkosított dokumentumokat loptak el tegnap éjjel.
Text/ba/text,"Van egy [tornado radius=4 freq=3][color=CRIMSON]áruló közöttünk[/color][/tornado]. Bárkit, aki visszatart információt, bűnrészesként kezelünk."
Text/bb/text,"Minden tiszt sorakozzon fel [wave amp=15 freq=2][color=DARK_ORANGE]biztonsági szkennelésre[/color][/wave]. Akiknél emelkedett stresszreakciót észlelünk, megjelölésre kerülnek."
Text/bc/text,"Láttad, mi történik odakint? Mindenhol röplapok, amelyek azt mutatják, hogy a [color=DARK_VIOLET]Root Reserve[/color] készül... [pulse freq=3][color=CRIMSON]belőlünk[/color][/pulse]."
Choice/bd/text,Halkítsd le a hangod. Mindannyiunkat figyelnek.
Choice/be/text,"Én is ugyanezeket a pletykákat hallottam. Borzasztó, ha igaz."
Choice/bf/text,Ez nevetséges propaganda. Ne terjessz ilyen hazugságokat.
Text/c0/text,Igazad van. De ha igaz... mivé tesz ez minket?
Text/c1/text,Az unokatestvéremet elutasították a múlt hónapban. Ez azt jelenti...? [color=CHARTREUSE]Nem bírom ezt tovább csinálni[/color].
Text/c2/text,Arckifejezésük zárkózottá válik. Persze. Örökké hűséges Spud.
Text/c3/text,Közölje a tartózkodási helyét tegnap este 22:00 és 04:00 óra között.
Choice/c4/text,"Egész éjjel a szállásomon voltam, aludtam."
Choice/c5/text,Inkább először a jogi képviselőmmel beszélnék.
Text/c6/text,A stressz-szintjei [color=YELLOW]megtévesztésre[/color] utalnak. Azonban... nem meggyőző. Egyelőre elmehet.
Text/c7/text,"Jogi képviselő? Ez egy biztonsági eljárás, nem tárgyalás. Az elutasítását feljegyeztük."
Text/c8/text,"Működik. A kiáltványok felfordulást okoztak, de [color=DARK_ORANGE]Russet gyanakszik ránk[/color]."
Text/c9/text,Figyelje a szövetségeseinket a szervezetünkből a mai műszak során. [color=CHARTREUSE]Fel fogja ismerni őket[/color].
Text/ca/text,"Ha biztonságosan át tudja őket juttatni, használja a [color=CHARTREUSE]megbeszélt különleges jelet[/color]."
Choice/cb/text,Megéri a kockázatot. Benne vagyok.
Choice/cc/text,Ez kezd túl veszélyessé válni. Talán meghúzódva kellene maradnunk.
Text/cd/text,"Tudtam, hogy számíthatok rád. Amikor ennek vége, [color=CHARTREUSE]Spud tudni fogja, kik voltak az igazi hősök[/color]."
Text/ce/text,Már rég túl vagyunk azon a ponton. A meghúzódás nem fog megmenteni minket. [color=CHARTREUSE]Csak a rendszer megdöntése fogja[/color].
Text/cf/text,Minden állomáson most már az új [color=DARK_ORANGE]RealityScan rendszer[/color] működik. Érzékeli a jogosulatlan jelöléseket és hamisításokat.
Text/d0/text,Minden dokumentumot szkennelni kell jóváhagyás előtt. Az [color=CRIMSON]árulókat kigyomláljuk[/color]. Garantálom.
Text/d1/text,"Az ellenállás tagjainak segítése most sokkal veszélyesebbé vált, de [color=CHARTREUSE]az igazságnak terjednie kell[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
Text/c7_viktor1/text,Egy testes biztonsági őr közeledik a szünetedben. Az arca elgyötört.
Text/c7_viktor2/text,"Hé... maga az egyik vámtiszt, ugye? A feleségem, Elena felől érdeklődtem."
Text/c7_viktor3/text,Három hete lépte át ezt az ellenőrzőpontot. [color=STEEL_BLUE]Ellenőrzésen elutasították.[/color] Azóta nem hallottam felőle.
Choice/c7_viktor4/text,"""Viktor... Találtam valamit. Elenáról. Tudnod kell az igazságot."""
Choice/c7_viktor5/text,"""Sajnálom, Viktor. Nem láttam semmit."" (Hazugság, hogy megvédd őt)"
Text/c7_viktor6/text,Megmutatsz neki egy másolatot a jegyzék oldaláról. Az arca elfehéredik.
Text/c7_viktor7/text,"[wave amp=25 freq=3]Reszket a keze, miközben olvassa.[/wave] [color=GOLD]Elena Petrov[/color]... [color=CRIMSON]Feldolgozva... RR-2851-es tétel...[/color]"
Text/c7_viktor8/text,A hangja alig hallható suttogás. [tornado radius=3 freq=2][color=CRIMSON]Ők... ők CSINÁLTAK belőle...[/color][/tornado]
Text/c7_viktor9/text,Gyásza hideg dühbe csap át. [pulse freq=2][color=CRIMSON]Idaho megfizet ezért.[/color][/pulse] Esküszöm az emlékére.
Text/c7_viktor10/text,"Megszorítja a válladat. [color=CHARTREUSE]Köszönöm, hogy elmondtad.[/color] Ha eljön az idő... emlékezni fogok erre."
Text/c7_viktor11/text,Szomorúan bólint. [color=STEEL_BLUE]Gondoltam.[/color] Senki sem tud semmit. Vagy senki sem akar beszélni.
Text/c7_viktor12/text,Ha hallasz valamit... [color=YELLOW]kérlek.[/color] Ő mindenem.
Text/d0_qte1/text,"Később, az adott műszakban, egy utazó közeledik olyan papírokkal, amelyeken a [color=CHARTREUSE]finom ellenállási jel[/color] látható."
Text/d0_qte2/text,A [color=DARK_ORANGE]RealityScan[/color] megkezdi a pásztázást. [wave amp=15 freq=3][color=RED]Észlelni fogja a jelet![/color][/wave]
Text/d0_qte3/text,Másodperceid vannak a döntésre. A szkenner melegszik...
Choice/d0_qte4/text,"""Szimulálj szkenner-meghibásodást – gyorsan!"" (Segíts az ellenállásnak)"
Choice/d0_qte5/text,"""Hagyd, hogy a szkenner befejezze a pásztázást"" (Kövesd a protokollt)"
Text/d0_qte6/text,"[pulse freq=3][color=YELLOW]Gyorsan kell dolgoznod![/color][/pulse] Idézd elő a meghibásodást, mielőtt befejezi a pásztázást!"
Text/d0_qte7/text,"Babrálsz a szkenner kábeleivel. Szikrák repülnek. A képernyő villódzik, majd kialszik."
Text/d0_qte8/text,Russet odarohan. [color=YELLOW]Mi történt itt?[/color]
Choice/d0_qte9/text,"""Áramingadozás, uram. Ezek az új rendszerek szeszélyesek."""
Choice/d0_qte10/text,"""Nem tudom, uram. Egyszerűen csak leállt."""
Text/d0_qte11/text,"Russet morog. [color=STEEL_BLUE]Bürokraták adnak nekünk teszteletlen felszerelést.[/color] Dolgozd fel őket manuálisan, és jelöld meg újraellenőrzésre."
Text/d0_qte12/text,Russet gyanakodva néz rád. [color=YELLOW]Milyen kapóra jött.[/color] Megnézetem a karbantartókkal. Ne forduljon elő még egyszer.
Text/d0_qte13/text,"Az ellenállás tagja egy alig észrevehető hálát rejtő bólintással köszön meg, miközben áthalad."
Text/d0_qte14/text,A szkenner [pulse freq=3][color=RED]HANGOSAN SÍPOL[/color][/pulse]. Engedélyezetlen jelölések észlelve!
Text/d0_qte15/text,Russet azonnal megjelenik. [color=CHARTREUSE]Jól van![/color] Még egy áruló elfogva.
Text/d0_qte16/text,"Az ellenállás tagját elhurcolják, rettegés a szemében. ""[color=CRIMSON]Kérlek, ne! Gyerekeim vannak![/color]"""
Text/d0_qte17/text,Hűséged [color=DARK_ORANGE]feljegyezve az aktádban[/color]. Csak így tovább.
