keys,uk
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - ПРИМІТКИ ДО ОНОВЛЕННЯ
patch_1_2_0_personal_note_header,ОСОБИСТЕ ЗВЕРНЕННЯ ВІД РОЗРОБНИКА
patch_1_2_0_personal_note,"Це оновлення присвячується моєму малюку, який провів перші місяці життя у реанімації для новонароджених — від 1 фунта при народженні до нинішніх 20 фунтів чистої радості. Дякую всім, хто приєднався до цієї подорожі — понад 2000 гравців вже випробували Spud Customs!"
patch_1_2_0_visual_header,ВІЗУАЛЬНІ ПОКРАЩЕННЯ
patch_1_2_0_visual_1,Інтеграція анімованої графіки: Інтегровано нові анімовані GIF-зображення від StagNation у початкові сцени
patch_1_2_0_visual_2,"Переробка графіки: Перемальовано перші п'ять сцен, які бачать гравці, для покращення візуальної якості"
patch_1_2_0_visual_3,Динамічні фони: Фонові зображення тепер змінюються зі зростанням складності
patch_1_2_0_story_header,ІСТОРІЯ ТА ОПОВІДАННЯ
patch_1_2_0_story_1,Збереження вибору: Наративні вибори тепер коректно зберігаються на всіх рівнях
patch_1_2_0_story_2,Візуальний прогрес: Додано візуальні індикатори прогресу історії в основних ігрових сценах на основі поточного номера зміни
patch_1_2_0_story_3,Виправлення розгалужених діалогів: Виправлено проблеми з розгалуженими діалогами у фінальних наративних сценах
patch_1_2_0_bugfix_header,ВИПРАВЛЕННЯ ПОМИЛОК
patch_1_2_0_bugfix_1,Система досягнень: Виправлено відстеження досягнень — всі досягнення тепер розблоковуються коректно
patch_1_2_0_bugfix_2,"Таблиця лідерів: Виправлено проблему, коли таблиця лідерів зависала на завантаженні"
patch_1_2_0_bugfix_3,Тремтіння екрана: Тремтіння екрана тепер коректно скидається до початкового стану після кожного використання
patch_1_2_0_bugfix_4,Масштабування складності: Виправлено коефіцієнт масштабування легкого режиму
patch_1_2_0_bugfix_5,Відображення фону: Виправлено відсутність фонів під час діалогових сцен
patch_1_2_0_bugfix_6,Читабельність тексту: Покращено колір тексту для кращої читабельності
patch_1_2_0_engagement_header,ЗАЛУЧЕННЯ ГРАВЦІВ
patch_1_2_0_engagement_1,Запити на відгуки: Додано запити на відгуки для гравців демо-версії та повної гри
patch_1_2_0_engagement_2,Виправлення перекладу: Різноманітні покращення перекладу в усіх підтримуваних мовах
patch_1_2_0_technical_header,ТЕХНІЧНІ ПОКРАЩЕННЯ
patch_1_2_0_technical_1,"Розширена мовна підтримка: Тепер підтримуються всі 31 мова, що підтримуються Steam"
patch_1_2_0_technical_2,Переробка системи перекладу: Реорганізовано файли перекладу для зручнішого обслуговування
