keys,ar
Text/b8/text,المنشأة الحدودية في إغلاق تام، مع أمن مسلح يقوم بدوريات في كل ممر.
Text/b9/text,[pulse freq=3][color=RED]انتباه! وضع أمني من المستوى الأحمر![/color][/pulse] سُرقت وثائق سرية الليلة الماضية.
Text/ba/text,لدينا [tornado radius=4 freq=3][color=CRIMSON]خائن بيننا[/color][/tornado]. أي شخص يحجب معلومات سيعامل كمتواطئ.
Text/bb/text,جميع الضباط، اصطفوا لإجراء [wave amp=15 freq=2][color=DARK_ORANGE]الفحص الأمني[/color][/wave]. سيتم وضع علامة على من لديهم استجابات إجهاد مرتفعة.
Text/bc/text,هل رأيت ما يحدث في الخارج؟ منشورات في كل مكان تظهر أن [color=DARK_VIOLET]احتياطي الجذور[/color] مصنوع من... [pulse freq=3][color=CRIMSON]منا[/color][/pulse].
Choice/bd/text,"""اخفض صوتك. نحن جميعاً مراقبون."""
Choice/be/text,"""سمعت نفس الشائعات. إنه أمر مروع إن كان صحيحاً."""
Choice/bf/text,"""هذه دعاية سخيفة. لا تنشر مثل هذه الأكاذيب."""
Text/c0/text,أنت محق. ولكن إذا كان صحيحاً... فماذا يجعلنا ذلك؟
Text/c1/text,تم رفض ابن عمي الشهر الماضي. هل هذا يعني...؟ [color=CHARTREUSE]لا أستطيع فعل هذا بعد الآن[/color].
Text/c2/text,يصبح تعبيرهم حذراً. بالطبع. بطاطا مخلصة للأبد.
Text/c3/text,اذكر مكان تواجدك الليلة الماضية بين الساعة 22:00 والساعة 04:00.
Choice/c4/text,"""كنت في مسكني طوال الليل، نائماً."""
Choice/c5/text,"""أفضل التحدث إلى ممثلي القانوني أولاً."""
Text/c6/text,مستويات التوتر لديك تشير إلى [color=YELLOW]خداع[/color]. ومع ذلك... غير حاسمة. يمكنك الذهاب الآن.
Text/c7/text,ممثل قانوني؟ هذا إجراء أمني، وليس محاكمة. تم تسجيل رفضك.
Text/c7_viktor1/text,يقترب حارس أمن ضخم أثناء استراحتك. وجهه شاحب.
Text/c7_viktor2/text,مرحباً... أنت أحد ضباط الجمارك، أليس كذلك؟ كنت أسأل عن زوجتي، إيلينا.
Text/c7_viktor3/text,عبرت نقطة التفتيش هذه قبل ثلاثة أسابيع. [color=STEEL_BLUE]فشلت في التفتيش.[/color] لم أسمع عنها منذ ذلك الحين.
Choice/c7_viktor4/text,"""فيكتور... لقد وجدت شيئاً. عن إيلينا. يجب أن تعرف الحقيقة."""
Choice/c7_viktor5/text,"""أنا آسف يا فيكتور. لم أرَ شيئاً."""
Text/c7_viktor6/text,تريه نسخة من صفحة البيان. يتحول وجهه إلى الأبيض.
Text/c7_viktor7/text,[wave amp=25 freq=3]ترتجف يداه وهو يقرأ.[/wave] [color=GOLD]إيلينا بيتروف[/color]... [color=CRIMSON]تمت معالجتها... دفعة RR-2851...[/color]
Text/c7_viktor8/text,صوته بالكاد همس. [tornado radius=3 freq=2][color=CRIMSON]هم... لقد حولوها إلى...[/color][/tornado]
Text/c7_viktor9/text,يتحول حزنه إلى غضب بارد. [pulse freq=2][color=CRIMSON]أيداهو ستدفع ثمن هذا.[/color][/pulse] أقسم على ذكراها.
Text/c7_viktor10/text,يمسك كتفك. [color=CHARTREUSE]شكراً لإخبارك لي.[/color] عندما يحين الوقت... سأتذكر هذا.
Text/c7_viktor11/text,يهز رأسه بحزن. [color=STEEL_BLUE]لقد ظننت ذلك.[/color] لا أحد يعرف شيئاً. أو لا أحد يريد التحدث.
Text/c7_viktor12/text,إذا سمعت أي شيء... [color=YELLOW]أرجوك.[/color] هي كل ما أملك.
Text/c8/text,إنه يعمل. البيانات تسببت في ضجة، لكن [color=DARK_ORANGE]روسيت يشك بنا[/color].
Text/c9/text,راقب الحلفاء من منظمتنا خلال نوبة اليوم. [color=CHARTREUSE]ستتعرف عليهم[/color].
Text/ca/text,إذا تمكنت من إيصالهم بأمان، استخدم [color=CHARTREUSE]العلامة الخاصة التي ناقشناها[/color].
Choice/cb/text,"""الأمر يستحق المخاطرة. أنا موافق."""
Choice/cc/text,"""هذا يصبح خطيراً جداً. ربما يجب أن نلتزم الهدوء."""
Text/cd/text,كنت أعلم أنني أستطيع الاعتماد عليك. عندما ينتهي هذا، [color=CHARTREUSE]سيعرف سبود من هم الأبطال الحقيقيون[/color].
Text/ce/text,لقد تجاوزنا تلك النقطة بكثير. الاختباء لن ينقذنا. [color=CHARTREUSE]فقط إسقاط النظام هو ما سينقذنا[/color].
Text/cf/text,كل محطة لديها الآن نظام [color=DARK_ORANGE]RealityScan[/color] الجديد. إنه يكشف العلامات غير المصرح بها والتزوير.
Text/d0/text,يجب مسح جميع الوثائق قبل الموافقة. [color=CRIMSON]سيتم استئصال الخونة[/color]. أنا أضمن ذلك.
